,23A_origin,23A_Predicted
2023-02-19,34.08,41.017605
2023-02-20,11.6,24.748363
2023-02-21,30.640001,52.41971
2023-02-22,36.88,55.66465
2023-02-23,28.400002,54.19118
2023-02-24,23.359999,48.43276
2023-02-25,28.24,50.131336
2023-02-26,30.24,46.61402
2023-02-27,24.45,27.073812
2023-02-28,59.699997,59.80894
2023-03-01,64.049995,67.91676
2023-03-02,45.0,62.376923
2023-03-03,55.95,56.275917
2023-03-04,54.15,59.04598
2023-03-05,44.4,57.4737
2023-03-06,0.0,34.204086
2023-03-07,75.9,72.598854
2023-03-08,55.5,85.43135
2023-03-09,49.05,67.33882
2023-03-10,50.399998,70.41085
2023-03-11,49.65,71.585236
2023-03-12,47.25,66.63854
2023-03-13,37.7,36.478584
2023-03-14,91.35,98.282
2023-03-15,98.6,103.02909
2023-03-16,91.35,90.61729
2023-03-17,80.62,94.17711
2023-03-18,82.36,90.71918
2023-03-19,78.299995,88.20519
2023-03-20,0.0,45.009987
2023-03-21,116.58,122.31121
2023-03-22,89.32,131.94693
2023-03-23,91.64,113.72808
2023-03-24,78.01,114.074425
2023-03-25,80.04,110.733826
2023-03-26,76.56,103.20293
2023-03-27,43.239998,51.696556
2023-03-28,148.57999,156.74767
2023-03-29,179.40001,168.01433
2023-03-30,134.78,152.68227
2023-03-31,149.04,140.3955
2023-04-01,164.68001,152.39853
2023-04-02,133.86,138.2584
2023-04-03,73.6,62.321743
2023-04-04,177.1,194.38216
2023-04-05,215.74,207.26543
2023-04-06,181.24,184.9236
2023-04-07,166.06,179.86382
2023-04-08,167.9,187.36398
2023-04-09,166.06,174.87231
2023-04-10,93.52,85.98767
2023-04-11,222.32,236.06654
2023-04-12,267.12,271.43295
2023-04-13,262.08,244.59898
2023-04-14,211.68001,226.81117
2023-04-15,240.24,247.25658
2023-04-16,212.23999,223.85727
2023-04-17,82.88,109.518616
2023-04-18,259.84,274.4137
2023-04-19,288.96,319.4619
2023-04-20,253.68001,287.46985
2023-04-21,254.24,270.4067
2023-04-22,258.72,283.18555
2023-04-23,257.04,275.92188
2023-04-24,112.0,122.28461
2023-04-25,299.52002,322.53177
2023-04-26,382.08002,391.08798
2023-04-27,339.2,358.5672
2023-04-28,331.52,315.14896
2023-04-29,338.56,355.60196
2023-04-30,388.47998,328.13705
2023-05-01,142.72,171.77147
2023-05-02,344.96,353.0239
2023-05-03,473.6,449.47635
2023-05-04,477.44,407.12317
