,22D_origin,22D_Predicted
2023-02-19,306.72,262.82315
2023-02-20,104.4,184.86205
2023-02-21,275.76,296.3022
2023-02-22,331.91998,295.94788
2023-02-23,255.59999,272.6327
2023-02-24,210.24,261.8475
2023-02-25,254.15999,274.9198
2023-02-26,272.16,271.43054
2023-02-27,109.21,134.4036
2023-02-28,266.66,296.8278
2023-03-01,286.09,265.37183
2023-03-02,201.0,242.93219
2023-03-03,249.90999,250.14993
2023-03-04,241.87,256.0316
2023-03-05,198.31999,208.54227
2023-03-06,0.0,15.739733
2023-03-07,339.02,309.31793
2023-03-08,247.90001,277.48483
2023-03-09,219.09,247.56705
2023-03-10,225.12,231.38469
2023-03-11,221.77,225.3091
2023-03-12,211.05,207.75089
2023-03-13,72.799995,105.61528
2023-03-14,176.4,183.63365
2023-03-15,190.40001,188.12222
2023-03-16,176.4,180.10205
2023-03-17,155.68,172.20892
2023-03-18,159.04,169.21645
2023-03-19,151.20001,152.2294
2023-03-20,0.0,12.309309
2023-03-21,225.12,204.30344
2023-03-22,172.48,193.10335
2023-03-23,176.96,171.23628
2023-03-24,150.64,157.49075
2023-03-25,154.56,157.21643
2023-03-26,147.84,143.18008
2023-03-27,36.66,61.20882
2023-03-28,125.97,133.16925
2023-03-29,152.09999,146.1931
2023-03-30,114.270004,148.91081
2023-03-31,126.35999,145.64056
2023-04-01,139.62,148.74173
2023-04-02,113.49,138.48842
2023-04-03,62.4,88.355316
2023-04-04,150.15,177.32779
2023-04-05,182.91,178.08342
2023-04-06,153.66,163.43887
2023-04-07,140.79,147.6501
2023-04-08,142.35,140.39525
2023-04-09,140.79,123.72746
2023-04-10,43.420002,78.921906
2023-04-11,103.21999,102.79282
2023-04-12,124.02,111.004616
2023-04-13,121.68001,111.358864
2023-04-14,98.28,108.55583
2023-04-15,111.54,111.763176
2023-04-16,98.54,108.3248
2023-04-17,38.48,86.77879
2023-04-18,120.63999,129.94984
2023-04-19,134.16,133.44218
2023-04-20,117.78001,127.80692
2023-04-21,118.04,121.25047
2023-04-22,120.12,119.73258
2023-04-23,119.34,106.18017
2023-04-24,33.25,74.63379
2023-04-25,88.92,97.95424
2023-04-26,113.43,104.411316
2023-04-27,100.7,104.61809
2023-04-28,98.42,102.649994
2023-04-29,100.509995,109.29952
2023-04-30,115.33,103.57095
2023-05-01,42.37,33.393456
2023-05-02,102.41,109.56155
2023-05-03,140.59999,132.16682
2023-05-04,141.74,116.37658
