,Alpha_origin,Alpha_Predicted
2021-06-13,0.36,0.33683956
2021-06-14,0.48,0.3882048
2021-06-15,0.36,0.51391
2021-06-16,0.96,0.5328986
2021-06-17,0.72,0.5688712
2021-06-18,0.48,0.5716956
2021-06-19,0.6,0.6255848
2021-06-20,0.36,0.677367
2021-06-21,1.2,0.7302554
2021-06-22,0.96,0.7902876
2021-06-23,0.24,0.7923898
2021-06-24,0.72,0.8073321
2021-06-25,2.16,0.85814244
2021-06-26,0.36,0.7255041
2021-06-27,0.72,0.6556033
2021-06-28,0.24,0.5774086
2021-06-29,0.48,0.4943767
2021-06-30,0.84000003,0.5006703
2021-07-01,0.6,0.45536214
2021-07-02,0.48,0.42775542
2021-07-03,0.84000003,0.4909058
2021-07-04,0.0,0.3080842
2021-07-05,0.36,0.29412088
2021-07-06,0.24,0.27818832
2021-07-07,0.6,0.29876956
2021-07-08,0.54,0.31201833
2021-07-09,0.3,0.39064732
2021-07-10,0.12,0.3208786
2021-07-11,0.36,0.41184986
2021-07-12,1.14,0.5413075
2021-07-13,0.78,0.6145856
2021-07-14,0.36,0.7264815
2021-07-15,1.56,0.6438055
2021-07-16,0.48,0.57266384
2021-07-17,0.48,0.577227
2021-07-18,0.65999997,0.51412404
2021-07-19,0.48,0.49603695
2021-07-20,0.27,0.47787675
2021-07-21,0.63,0.508804
2021-07-22,0.54,0.45831826
2021-07-23,0.69,0.37663582
2021-07-24,0.6,0.31524464
2021-07-25,0.48,0.31890914
2021-07-26,0.84000003,0.33406547
2021-07-27,0.45,0.34418485
2021-07-28,0.6,0.3367259
2021-07-29,0.6,0.3402008
2021-07-30,0.57,0.34461924
2021-07-31,0.39,0.33567205
2021-08-01,0.27,0.3321711
2021-08-02,0.06,0.33648846
2021-08-03,0.040000003,0.32127324
2021-08-04,0.15,0.32211936
2021-08-05,0.2,0.3107347
2021-08-06,0.24,0.2931585
2021-08-07,0.2,0.28392208
2021-08-08,0.2,0.2889882
2021-08-09,0.14,0.27227253
2021-08-10,0.26,0.26624176
2021-08-11,0.18,0.26943535
2021-08-12,0.27,0.26680008
2021-08-13,0.18,0.27191785
2021-08-14,0.28,0.28391215
2021-08-15,0.18,0.29431447
