,23A_origin,23A_Predicted
2023-02-19,152.48,113.25467
2023-02-20,56.320004,134.32175
2023-02-21,200.24,232.84232
2023-02-22,188.31999,185.81207
2023-02-23,169.28,157.76196
2023-02-24,156.72,159.64876
2023-02-25,152.88,173.83865
2023-02-26,141.36,183.67061
2023-02-27,93.45,204.73012
2023-02-28,348.9,262.39706
2023-03-01,345.15,323.0824
2023-03-02,180.0,242.14455
2023-03-03,344.4,225.2192
2023-03-04,321.44998,282.817
2023-03-05,301.19998,226.15594
2023-03-06,110.100006,205.7451
2023-03-07,412.19998,389.52573
2023-03-08,367.05,316.10416
2023-03-09,319.65,318.33417
2023-03-10,325.49997,306.76807
2023-03-11,289.8,308.81104
2023-03-12,274.35,306.85046
2023-03-13,200.1,328.0408
2023-03-14,695.42,504.53705
2023-03-15,670.48,730.02136
2023-03-16,573.91,584.4705
2023-03-17,576.51996,573.1607
2023-03-18,548.10004,550.8521
2023-03-19,542.3,350.9688
2023-03-20,199.81,259.25967
2023-03-21,824.18,980.1846
2023-03-22,789.67,743.6463
2023-03-23,715.43,718.6495
2023-03-24,635.97,677.3499
2023-03-25,641.76996,739.861
2023-03-26,640.02997,592.6697
2023-03-27,355.58,444.0789
2023-03-28,1433.3601,1285.7671
2023-03-29,1366.66,1410.5253
2023-03-30,1258.1001,1230.0631
2023-03-31,1141.7201,1047.3004
2023-04-01,969.68,1090.9456
2023-04-02,1104.46,1010.29114
2023-04-03,387.32,372.1504
2023-04-04,1650.48,1672.408
2023-04-05,1542.3801,1547.3528
2023-04-06,1328.0201,1320.701
2023-04-07,1226.8201,1170.6053
2023-04-08,1127.4601,1128.107
2023-04-09,1051.1001,1093.8402
2023-04-10,463.68,504.50134
2023-04-11,1953.28,1981.78
2023-04-12,1958.8801,1922.1918
2023-04-13,1577.52,1637.516
2023-04-14,1686.16,1695.2025
2023-04-15,1549.52,1484.216
2023-04-16,1458.24,1486.7914
2023-04-17,591.92,568.98175
2023-04-18,2448.8801,2422.866
2023-04-19,2381.6802,2384.3733
2023-04-20,2063.04,2040.0542
2023-04-21,1949.92,1983.27
2023-04-22,1840.1599,1771.2522
2023-04-23,1659.2802,1481.2535
2023-04-24,653.44,599.4854
2023-04-25,2654.08,2780.5652
2023-04-26,2698.88,2672.0652
2023-04-27,2383.36,2207.4294
2023-04-28,2301.44,2259.5051
2023-04-29,2241.92,2069.718
2023-04-30,2138.8801,2046.6171
2023-05-01,711.68,900.9261
2023-05-02,2536.32,2901.4897
2023-05-03,3287.68,3206.8904
2023-05-04,3153.28,2848.8425
