,22D_origin,22D_Predicted
2023-02-19,1372.3201,1326.6713
2023-02-20,506.88,451.66833
2023-02-21,1802.1599,1898.0444
2023-02-22,1694.88,1615.5271
2023-02-23,1523.5199,1461.6151
2023-02-24,1410.48,1528.7369
2023-02-25,1375.9199,1457.2109
2023-02-26,1272.24,1317.4236
2023-02-27,417.41,361.576
2023-02-28,1558.42,1625.4664
2023-03-01,1541.6699,1432.1243
2023-03-02,804.00006,1303.2466
2023-03-03,1538.32,1378.0494
2023-03-04,1435.81,1390.72
2023-03-05,1345.36,1284.4249
2023-03-06,491.78,469.18475
2023-03-07,1841.1599,1861.0735
2023-03-08,1639.49,1722.8193
2023-03-09,1427.7699,1520.3602
2023-03-10,1453.8999,1502.0824
2023-03-11,1294.4401,1308.8195
2023-03-12,1225.4299,1235.1135
2023-03-13,386.4,337.77936
2023-03-14,1342.88,1421.7992
2023-03-15,1294.72,1258.7216
2023-03-16,1108.24,1166.4972
2023-03-17,1113.28,1142.8954
2023-03-18,1058.4,1090.6422
2023-03-19,1047.2001,1071.5073
2023-03-20,385.84003,407.6817
2023-03-21,1591.52,1658.884
2023-03-22,1524.88,1564.5343
2023-03-23,1381.5199,1374.3887
2023-03-24,1228.08,1272.935
2023-03-25,1239.2799,1271.8635
2023-03-26,1235.9199,1202.8939
2023-03-27,301.47,245.9331
2023-03-28,1215.24,1270.1267
2023-03-29,1158.69,1217.721
2023-03-30,1066.65,1075.4664
2023-03-31,967.98,963.39545
2023-04-01,822.12006,853.7685
2023-04-02,936.39,866.21735
2023-04-03,328.38,333.98
2023-04-04,1399.32,1367.7333
2023-04-05,1307.67,1317.7993
2023-04-06,1125.93,1200.5083
2023-04-07,1040.13,1084.4233
2023-04-08,955.89,984.5336
2023-04-09,891.15,883.09064
2023-04-10,215.28,163.32729
2023-04-11,906.88,976.1691
2023-04-12,909.48,992.81555
2023-04-13,732.42,906.2851
2023-04-14,782.86,794.3694
2023-04-15,719.42,718.98615
2023-04-16,677.04,731.2282
2023-04-17,274.82,315.83945
2023-04-18,1136.98,1166.2792
2023-04-19,1105.78,1161.0576
2023-04-20,957.84,1047.6338
2023-04-21,905.32,913.9248
2023-04-22,854.36,821.3856
2023-04-23,770.38,756.2581
2023-04-24,193.98999,22.69666
2023-04-25,787.93005,558.50024
2023-04-26,801.23,809.2349
2023-04-27,707.55994,769.78296
2023-04-28,683.24,685.3915
2023-04-29,665.57,637.7993
2023-04-30,634.98,667.4475
2023-05-01,211.28,301.05698
2023-05-02,752.97,870.11017
2023-05-03,976.02997,1033.6124
2023-05-04,936.13,890.3916
