,Alpha_origin,Alpha_Predicted
2021-06-13,21.12,20.753511
2021-06-14,14.639999,15.723167
2021-06-15,15.719999,19.247385
2021-06-16,24.12,22.980783
2021-06-17,24.12,25.435863
2021-06-18,23.999998,25.538895
2021-06-19,23.64,24.37253
2021-06-20,19.8,20.185495
2021-06-21,16.08,16.31832
2021-06-22,15.719999,19.672966
2021-06-23,28.32,27.611067
2021-06-24,30.239998,30.838068
2021-06-25,32.28,33.96602
2021-06-26,31.56,31.931068
2021-06-27,29.039999,30.333427
2021-06-28,22.199999,23.935623
2021-06-29,24.599998,30.867935
2021-06-30,45.000004,38.89697
2021-07-01,39.96,44.360504
2021-07-02,41.52,44.205666
2021-07-03,43.079998,41.588703
2021-07-04,34.68,32.246025
2021-07-05,18.42,24.28027
2021-07-06,19.2,24.66167
2021-07-07,34.92,29.224298
2021-07-08,33.0,30.346317
2021-07-09,30.18,32.923496
2021-07-10,30.539999,32.955338
2021-07-11,30.539999,29.206818
2021-07-12,24.179998,24.969759
2021-07-13,25.019999,27.462362
2021-07-14,38.219997,31.827908
2021-07-15,31.14,34.48313
2021-07-16,34.14,35.973507
2021-07-17,33.54,34.27574
2021-07-18,31.32,30.591713
2021-07-19,12.57,13.922858
2021-07-20,11.82,13.473183
2021-07-21,18.119999,14.71962
2021-07-22,14.969999,14.812507
2021-07-23,15.57,15.062969
2021-07-24,13.95,14.808644
2021-07-25,14.67,13.466833
2021-07-26,10.23,12.646999
2021-07-27,10.53,13.1678095
2021-07-28,17.189999,14.470122
2021-07-29,15.419999,15.323086
2021-07-30,14.639999,14.992924
2021-07-31,14.25,13.6798
2021-08-01,14.189999,10.813649
2021-08-02,3.6399999,6.47156
2021-08-03,3.1100001,4.894687
2021-08-04,4.86,5.120023
2021-08-05,4.66,5.3484106
2021-08-06,4.64,5.2354717
2021-08-07,5.03,4.4594216
2021-08-08,4.5,3.8192675
2021-08-09,4.15,3.363401
2021-08-10,3.5900002,3.7165837
2021-08-11,6.6,4.668131
2021-08-12,5.26,5.2406197
2021-08-13,5.2400002,5.4002814
2021-08-14,5.1299996,5.078967
2021-08-15,4.88,4.112198
