,23A_origin,23A_Predicted
2023-02-19,23.92,24.578503
2023-02-20,15.679999,15.051553
2023-02-21,25.359999,28.319944
2023-02-22,36.0,38.65896
2023-02-23,22.88,21.017979
2023-02-24,20.48,20.503378
2023-02-25,21.84,23.546635
2023-02-26,22.72,22.791245
2023-02-27,20.849998,21.55143
2023-02-28,47.85,46.737106
2023-03-01,58.949997,57.488518
2023-03-02,39.15,40.980835
2023-03-03,44.699997,44.62096
2023-03-04,54.449997,49.21311
2023-03-05,37.050003,32.38901
2023-03-06,0.0,8.391172
2023-03-07,82.350006,75.37922
2023-03-08,69.600006,70.22308
2023-03-09,54.449997,53.30751
2023-03-10,49.350002,47.553215
2023-03-11,51.75,53.14467
2023-03-12,43.949997,44.198647
2023-03-13,40.02,38.131775
2023-03-14,104.11,105.42941
2023-03-15,136.01,134.71513
2023-03-16,93.96,93.55853
2023-03-17,94.54,94.875435
2023-03-18,87.87,89.467186
2023-03-19,84.1,83.25793
2023-03-20,0.0,0.1415205
2023-03-21,150.22,149.91437
2023-03-22,145.29001,145.72234
2023-03-23,113.68,113.82953
2023-03-24,99.18001,99.29735
2023-03-25,120.64,120.581345
2023-03-26,97.44,96.47628
2023-03-27,108.560005,108.492485
2023-03-28,147.2,146.69633
2023-03-29,241.96,240.88866
2023-03-30,177.56,177.62772
2023-03-31,165.14,165.18207
2023-04-01,177.56,177.60756
2023-04-02,136.16,135.59836
2023-04-03,84.18,83.87875
2023-04-04,150.42,150.84218
2023-04-05,245.63998,245.91422
2023-04-06,190.44,190.49069
2023-04-07,153.18001,153.04355
2023-04-08,154.09999,154.21169
2023-04-09,107.64,108.01465
2023-04-10,106.4,105.59935
2023-04-11,197.12,197.68808
2023-04-12,217.28,217.80103
2023-04-13,203.28,203.25105
2023-04-14,184.79999,185.30898
2023-04-15,198.24,198.53174
2023-04-16,170.8,170.49171
2023-04-17,86.799995,86.83443
2023-04-18,208.87999,209.31047
2023-04-19,283.91998,284.59454
2023-04-20,232.4,232.21312
2023-04-21,226.79999,227.05682
2023-04-22,239.12,239.20079
2023-04-23,182.0,182.23598
2023-04-24,128.0,127.92711
2023-04-25,227.84,227.84555
2023-04-26,346.24,346.28394
2023-04-27,279.04,279.05667
2023-04-28,246.4,260.8523
2023-04-29,272.63998,273.5767
2023-04-30,256.64,239.00977
2023-05-01,169.6,149.28166
2023-05-02,250.87999,255.245
2023-05-03,384.0,378.8631
2023-05-04,377.6,331.22113
