,Alpha_origin,Alpha_Predicted
2021-06-13,0.24,0.33571833
2021-06-14,0.0,0.050576795
2021-06-15,0.48,0.49441436
2021-06-16,0.84000003,0.8755653
2021-06-17,2.6399999,2.6683884
2021-06-18,1.3199999,1.4450115
2021-06-19,0.6,0.63993096
2021-06-20,0.6,0.6642818
2021-06-21,0.0,0.026917197
2021-06-22,0.6,0.6249299
2021-06-23,0.6,0.6072636
2021-06-24,1.56,1.6797048
2021-06-25,1.92,2.088006
2021-06-26,2.6399999,2.8036597
2021-06-27,0.72,0.65078926
2021-06-28,0.96,0.987688
2021-06-29,1.56,1.588294
2021-06-30,0.48,0.51142097
2021-07-01,0.24,0.26331058
2021-07-02,1.3199999,1.4119052
2021-07-03,0.12,0.17924143
2021-07-04,1.56,1.6011676
2021-07-05,0.06,0.04436155
2021-07-06,0.18,0.16114229
2021-07-07,0.06,-0.039952453
2021-07-08,0.53999996,0.5978501
2021-07-09,0.96,1.0158615
2021-07-10,1.8,1.9310071
2021-07-11,1.3199999,1.3497745
2021-07-12,0.48,0.46930653
2021-07-13,0.42000002,0.48901585
2021-07-14,0.65999997,0.5854601
2021-07-15,1.14,0.98591727
2021-07-16,0.84000003,0.8500246
2021-07-17,0.65999997,0.5900308
2021-07-18,0.72,0.6905077
2021-07-19,0.42000002,0.43154225
2021-07-20,0.26999998,0.34191957
2021-07-21,0.53999996,0.5025949
2021-07-22,0.75000006,0.71094877
2021-07-23,0.65999997,0.6515636
2021-07-24,0.57,0.5357674
2021-07-25,0.26999998,0.41099325
2021-07-26,0.09,0.31748393
2021-07-27,0.15,0.3868649
2021-07-28,0.53999996,0.3538048
2021-07-29,0.42000002,0.4435112
2021-07-30,0.53999996,0.40985328
2021-07-31,0.51,0.37830454
2021-08-01,0.6,0.3730083
2021-08-02,0.13,0.32406974
2021-08-03,0.08,0.36326054
2021-08-04,0.15,0.39934567
2021-08-05,0.13,0.3620035
2021-08-06,0.24,0.4232324
2021-08-07,0.21000001,0.34765592
2021-08-08,0.58,0.38899404
2021-08-09,0.25,0.36598
2021-08-10,0.51,0.45351088
2021-08-11,0.48,0.31708214
2021-08-12,0.53999996,0.34557167
2021-08-13,0.39,0.3329471
2021-08-14,0.26,0.28246704
2021-08-15,0.29,0.26999837
