,23A_origin,23A_Predicted
2023-02-19,21.76,16.145565
2023-02-20,5.52,16.207907
2023-02-21,19.04,16.48577
2023-02-22,23.119999,17.033272
2023-02-23,16.8,17.417324
2023-02-24,16.56,17.720978
2023-02-25,18.88,18.201538
2023-02-26,13.999999,18.94985
2023-02-27,11.7,20.028435
2023-02-28,30.15,21.386688
2023-03-01,40.199997,22.539572
2023-03-02,24.75,22.893013
2023-03-03,25.800001,22.490864
2023-03-04,29.7,22.09881
2023-03-05,29.7,21.767588
2023-03-06,7.3500004,21.670305
2023-03-07,28.650002,21.943008
2023-03-08,32.25,22.84544
2023-03-09,26.7,23.296553
2023-03-10,23.4,23.675352
2023-03-11,24.3,24.393072
2023-03-12,22.650002,25.69092
2023-03-13,14.209999,27.682114
2023-03-14,49.879997,30.125502
2023-03-15,44.95,32.258945
2023-03-16,42.92,32.587627
2023-03-17,33.64,32.02791
2023-03-18,31.900002,30.976465
2023-03-19,27.260002,30.308737
2023-03-20,12.469999,30.228823
2023-03-21,34.51,30.86902
2023-03-22,44.369995,31.96687
2023-03-23,34.22,32.167408
2023-03-24,35.96,31.813625
2023-03-25,22.62,31.931625
2023-03-26,24.94,32.80776
2023-03-27,20.24,35.189556
2023-03-28,43.239998,38.458675
2023-03-29,50.6,41.573723
2023-03-30,50.6,43.006577
2023-03-31,41.4,42.78044
2023-04-01,51.52,41.43336
2023-04-02,45.539997,40.21542
2023-04-03,16.56,39.172516
2023-04-04,56.58,39.15255
2023-04-05,73.14,40.558662
2023-04-06,41.86,40.354454
2023-04-07,34.5,38.42372
2023-04-08,38.64,37.61689
2023-04-09,37.26,38.495552
2023-04-10,24.080002,41.10328
2023-04-11,44.239998,45.39422
2023-04-12,57.679996,50.316917
2023-04-13,62.16,52.88301
2023-04-14,45.359997,53.626793
2023-04-15,45.92,52.912735
2023-04-16,48.719997,52.116085
2023-04-17,23.520002,51.598736
2023-04-18,69.439995,51.436474
2023-04-19,77.28,52.076057
2023-04-20,66.64,49.78499
2023-04-21,64.4,45.2101
2023-04-22,57.679996,40.291153
2023-04-23,54.879997,37.28569
2023-04-24,30.720001,38.138584
2023-04-25,74.880005,55.612713
2023-04-26,71.04,70.35634
2023-04-27,84.48,80.08172
2023-04-28,97.920006,87.83595
2023-04-29,103.68,93.985115
2023-04-30,101.76,98.815926
2023-05-01,30.080002,103.43526
2023-05-02,127.36,109.17535
2023-05-03,115.2,114.6762
2023-05-04,142.72,118.36439
