stdDay,Susceptible,22D_Infected,22D_Recovered,22D_Dead,22D_alpha,22D_beta,22D_gamma,23A_Infected,23A_Recovered,23A_Dead,23A_alpha,23A_beta,23A_gamma
2022-12-19,1154500,7646.889999999999,28392.09,32.730000000000004,0.4708839473227459,0.19102667881975577,0.00014515705077489013,9.73,0.0,0.0,7.709827312313362,0.0,0.0
2022-12-20,1150875,7925.019999999997,29852.850000000002,33.84,0.4546577029112823,0.17255729323080585,0.00023343789668669543,45.980000000000004,0.0,0.0,1.6325809177568007,0.0,0.0
2022-12-21,1147259,8291.329999999998,31220.370000000003,35.69,0.3854265405227531,0.13762327636217572,0.00013387478245347847,82.14000000000001,0.0,0.0,0.8105314702115588,0.0,0.0
2022-12-22,1144062,8683.699999999997,32361.45,36.8,0.30670569280010246,0.12207354008084108,0.0001704342618929724,114.11000000000001,0.0,0.0,0.486252341411841,0.0,0.0
2022-12-23,1141405,8897.529999999999,33421.5,38.28,0.3193411082229623,0.12774781315713457,0.00012475372378626423,140.68,0.0,0.0,0.42077573965842296,0.0,0.0
2022-12-24,1138577,9117.220000000001,34558.14,39.39,0.27463819612911117,0.11038452510743421,8.116509199076055e-05,168.96,0.0,0.0,0.3087437922329071,0.0,0.0
2022-12-25,1136091,9303.36,35564.54,40.13,0.09168291597496234,0.050149623361881904,5.159426271798542e-05,193.82000000000002,0.0,0.0,0.09168291597496234,0.050149623361882154,5.1594262717985754e-05
2022-12-26,1135246,9241.919999999998,36031.1,40.61,0.37862592974978854,0.18816869221979862,0.00010387451958034705,192.54000000000002,9.72,0.01,0.3786259297497884,0.18816869221979848,0.00010387451958034692
2022-12-27,1131782,9164.64,37770.14,41.57,0.38939988037897194,0.18912690514848363,0.00026187608023883085,190.93,45.95,0.03,0.3893998803789719,0.1891269051484838,0.000261876080238831
2022-12-28,1128260,9119.520000000004,39503.42,43.97,0.295135508593527,0.16806147691983775,0.00021053739670508985,189.98999999999998,82.06000000000002,0.08,0.29513550859352716,0.16806147691983786,0.00021053739670508974
2022-12-29,1125612,8856.0,41036.06,45.89,0.3109598929221347,0.14379403794037968,0.0002168021680216804,184.5,113.99000000000001,0.12,0.3109598929221347,0.1437940379403794,0.00021680216802168027
2022-12-30,1122909,8878.080000000002,42309.5,47.81,0.30035018908162037,0.15246539792387523,0.00043252595155709295,184.95999999999998,140.52,0.16,0.3003501890816204,0.1524653979238754,0.0004325259515570934
2022-12-31,1120298,8773.919999999998,43663.1,51.65,0.2889904094766703,0.13578423327315509,0.0002188303517697907,182.79,168.72,0.24,0.28899040947667026,0.1357842332731551,0.00021883035176979067
2023-01-01,1117821,8769.599999999999,44854.46,53.57,0.08251875538221105,0.046195949644224986,5.473453749315783e-05,182.69999999999996,193.54000000000002,0.28,0.06948947821659879,0.046195949644225506,5.473453749315794e-05
2023-01-02,1117227,8702.580000000002,45259.579999999994,54.05,0.42901830501425997,0.19083995780561655,0.00022062422867701316,180.19000000000003,201.98000000000002,0.29,0.36351162669920534,0.19201953493534596,0.00022198790165935974
2023-01-03,1114164,8785.770000000004,46920.38,55.97,0.43822775013435444,0.19236560938881944,5.463379988322068e-05,176.18,236.58,0.33,0.38339658804869714,0.19985242365762293,5.6760131683505556e-05
2023-01-04,1111014,8890.71,48610.46000000001,56.45,0.37417273654148986,0.1427467547586175,0.00021595575606447572,172.46000000000004,271.79,0.34,0.3384116825968075,0.15331091267540295,0.0002319378406587033
2023-01-05,1108300,9166.650000000001,49879.579999999994,58.37,0.28792844200551576,0.14127734777699683,0.00026181865785210496,173.12,298.23,0.38,0.26746879285738945,0.15584565619223636,0.0002888170055452864
2023-01-06,1106152,9093.57,51174.62,60.769999999999996,0.27171675684087215,0.13745096810163646,0.00036949184973558236,167.57000000000005,325.21,0.43,0.25869004192073164,0.15539774422629357,0.00041773587157605766
2023-01-07,1104145,8984.279999999999,52424.54,64.13,0.2764829473976458,0.13223096341610013,0.00010685330377058685,161.52999999999997,351.25,0.5,0.2697885911851388,0.15322231164489572,0.00012381600941001686
2023-01-08,1102131,8943.300000000003,53612.54,65.09,0.07778496317400434,0.037858508604206684,0.0,156.89999999999998,376.0,0.52,0.07778496317400439,0.03785850860420686,0.0
2023-01-09,1101568,8925.629999999997,53951.12,65.09,0.33213700146742375,0.19522319432913962,0.0003831662302829047,156.59000000000003,381.94000000000005,0.52,0.3321370014674236,0.1952231943291397,0.00038316623028290467
2023-01-10,1099170,8546.579999999994,55693.61,68.51,0.3445801263877976,0.2098839535814328,0.0002000800320128045,149.93999999999994,412.51000000000005,0.5800000000000001,0.3445801263877976,0.20988395358143247,0.00020008003201280465
2023-01-11,1096793,8105.969999999994,57487.4,70.22,0.28996075693958845,0.1904226144434286,0.0004219112579987348,142.20999999999992,443.98,0.61,0.2899607569395884,0.19042261444342873,0.00042191125799873486
2023-01-12,1094900,7638.000000000007,59030.96,73.64,0.28073814415001414,0.1602238805970149,7.462686567164083e-05,134.0,471.06,0.67,0.2807381441500144,0.16022388059701512,7.462686567164186e-05
2023-01-13,1093176,7396.32,60254.75,74.21,0.25870433594108583,0.1545930949445127,7.706535141800347e-05,129.76,492.53000000000003,0.68,0.25870433594108583,0.1545930949445121,7.706535141800253e-05
2023-01-14,1091640,7127.850000000006,61398.17,74.78,0.2663759017297406,0.16097560975609793,7.996801279488103e-05,125.05000000000007,512.5899999999999,0.6900000000000001,0.26637590172974074,0.16097560975609743,7.996801279488207e-05
2023-01-15,1090118,6847.409999999996,62545.58,75.35,0.13263658162740982,0.04669940897361148,0.00016648630650129044,120.13000000000011,532.7199999999999,0.7000000000000001,0.1080040736108907,0.04669940897361294,0.00016648630650128933
2023-01-16,1089526,6940.900000000009,62865.35,76.49,0.37064836238559296,0.19676410840092776,0.00016424383005085783,120.41999999999996,538.33,0.72,0.3051976675068412,0.19897027071914908,0.00016608536787909004
2023-01-17,1087850,6747.240000000005,64231.07,77.63,0.3964564895596486,0.2005531150514876,0.0002534369608906763,113.20000000000005,562.29,0.74,0.33758039937108086,0.2097173144876325,0.0002650176678445231
2023-01-18,1086110,6610.350000000006,65584.25,79.34,0.3156330597265145,0.16279924663595763,0.00043114207265878386,106.83000000000004,586.03,0.77,0.2790073676954262,0.1767293831320789,0.0004680333239726671
2023-01-19,1084755,6479.8399999999965,66660.41,82.19,0.3016926764116949,0.151563927504383,8.796513494160249e-05,101.45000000000005,604.91,0.8200000000000001,0.2752827251030846,0.16983735830458363,9.857072449482508e-05
2023-01-20,1083487,6384.759999999995,67642.52,82.75999999999999,0.31452159686966674,0.13694798238305048,0.0001785501725985004,96.88999999999999,622.14,0.8300000000000001,0.29608612282405256,0.15832387243265594,0.00020641965115078976
2023-01-21,1082186,6419.940000000002,68516.90000000001,83.89999999999999,0.247458109918737,0.1349545322853475,0.00017757175300703749,94.53999999999996,637.48,0.8500000000000001,0.24005956937225326,0.16077850645229586,0.0002115506663845982
2023-01-22,1081158,6272.0,69383.3,85.03999999999999,0.08434752573827586,0.0657366071428576,0.00033482142857142993,89.59999999999991,652.6800000000001,0.87,0.08434752573827595,0.06573660714285706,0.0003348214285714292
2023-01-23,1080816,6097.0,69795.6,87.14,0.1319704934933628,0.19242250287026358,0.0,87.10000000000002,658.57,0.9,0.13197049349336276,0.1924225028702639,0.0
2023-01-24,1080296,5287.800000000003,70968.8,87.14,0.31882439812939084,0.22994440031771124,0.00039714058776806863,75.53999999999996,675.33,0.9,0.3188243981293911,0.22994440031771265,0.0003971405877680704
2023-01-25,1079207,4832.099999999991,72184.7,89.24,0.45411311387162256,0.1960017383746213,0.00028972910328842704,69.02999999999997,692.7,0.93,0.45411311387162195,0.1960017383746194,0.0002897291032884257
2023-01-26,1077791,4874.799999999988,73131.8,90.64,0.5089774784639122,0.18207926479034903,0.0,69.63999999999999,706.23,0.9500000000000001,0.5089774784639111,0.1820792647903497,0.0
2023-01-27,1076192,5106.5,74019.4,90.64,0.35909583587175165,0.17779300891021418,0.0005483207676490741,72.95000000000005,718.91,0.9500000000000001,0.35909583587175137,0.17779300891021274,0.0005483207676490734
2023-01-28,1075012,5021.799999999988,74927.3,93.44,0.3506833605034806,0.14329523278505574,0.0,71.74000000000001,731.88,0.99,0.3506833605034797,0.14329523278505676,0.0
2023-01-29,1073880,5094.600000000006,75646.9,93.44,0.10405552944912408,0.046853531189889566,0.00013740038472107762,72.78000000000009,742.16,0.99,0.2952927187069737,0.0468535311898884,0.00013740038472107719
2023-01-30,1073558,5093.479999999996,75885.6,94.14,0.29971933019064445,0.07132648012753623,0.0001374305975482388,79.01999999999998,745.57,1.0,0.7832165722359595,0.06567957479119137,0.000126550240445457
2023-01-31,1072631,5415.459999999992,76248.90000000001,94.84,0.3287102115103541,0.14076366550579072,0.0,101.63,750.76,1.01,0.7100945142923827,0.10715339958673607,0.0
2023-02-01,1071551,5452.360000000001,77011.2,94.84,0.2771872448328962,0.18127929923922742,0.0005135390913292586,123.1400000000001,761.65,1.01,0.497563083406633,0.11466623355530377,0.000324833522819555
2023-02-02,1070635,5139.0,77999.59999999999,97.64,0.2750608921365155,0.21712395407666918,0.0006810663553220471,136.45999999999992,775.7700000000001,1.05,0.41994424403831465,0.116810787043822,0.00036640773853143833
2023-02-03,1069779,4653.139999999999,79115.4,101.14,0.28022827436268793,0.17721366647038472,0.0003008720992705983,146.14999999999998,791.71,1.1,0.3617002318706247,0.08060212110845005,0.00013684570646595978
2023-02-04,1068990,4411.0,79940.0,102.53999999999999,0.3232002607571347,0.1790070278848347,0.0006347766946270681,158.01999999999998,803.49,1.12,0.3657516026537151,0.0713833691937735,0.0002531325148715355
2023-02-05,1068128,4256.479999999996,80729.6,105.33999999999999,0.11432693759445259,0.05528511821974793,0.0006954102920723252,172.55999999999995,814.7700000000001,1.1600000000000001,0.11432693759445252,0.055285118219749456,0.0006954102920723222
2023-02-06,1067834,4235.759999999995,80964.92,108.3,0.332636274177971,0.16177498252970096,0.00017470300489168315,171.72000000000003,824.3100000000001,1.28,0.33263627417797054,0.16177498252969932,0.00017470300489168426
2023-02-07,1066983,4179.520000000004,81650.16,109.03999999999999,0.3920915842957996,0.19086402266288613,0.0003541076487252131,169.44000000000005,852.09,1.31,0.3920915842957998,0.19086402266288965,0.00035410764872521264
2023-02-08,1065994,4112.180000000008,82447.87999999999,110.52,0.3307212590425165,0.16447723591866098,0.0003599064243296746,166.70999999999992,884.4300000000001,1.37,0.3307212590425172,0.16447723591866098,0.00035990642432967346
2023-02-09,1065174,4041.140000000014,83124.23999999999,112.0,0.3166686434704485,0.15674784837941771,0.0,163.82999999999993,911.85,1.43,0.3166686434704497,0.15674784837941816,0.0
2023-02-10,1064403,3978.2400000000052,83757.68,112.0,0.3110529611294957,0.14676339285714282,0.0,161.27999999999997,937.5300000000001,1.43,0.3110529611294961,0.14676339285714263,0.0
