stdDay,Delta_alpha,predicted_Delta_alpha,Delta_Infected,predicted_Delta_Infected
2021-06-13,0.055896051,0.101523563,32.61,33.09630481
2021-06-14,0.012390013,0.127230585,33.95,32.78289543
2021-06-15,0.028757586,0.090875171,34.13,34.29815412
2021-06-16,0.020332667,0.114622161,34.48,34.13989849
2021-06-17,0.056915047,0.091395907,34.49,35.11981444
2021-06-18,0.043904459,0.098085433,35.13,35.41287504
2021-06-19,0.042760432,0.103277072,36.07,36.13315775
2021-06-20,0.136868339,0.096558809,37.1,37.18807278
2021-06-21,0.112330193,0.104438767,38.25,34.74305882
2021-06-22,0.196283426,0.086650789,35.82,39.91582915
2021-06-23,0.240340859,0.120219693,37.38,39.98845907
2021-06-24,0.159126543,0.097462989,41.73,40.81075485
2021-06-25,0.102882582,0.099475205,45.56,42.81080334
2021-06-26,0.116999829,0.094435282,46.74,49.79043218
2021-06-27,0.076471014,0.103442021,51.08,48.6432733
2021-06-28,0.110218714,0.090579085,53.16,56.2975395
2021-06-29,0.113338235,0.101167358,58.59,58.28636969
2021-06-30,0.06080618,0.094101749,64.24,61.50855542
2021-07-01,0.075297466,0.097367011,67.44,67.20243179
2021-07-02,0.055368054,0.108147323,70.55,69.69596598
2021-07-03,0.080364038,0.083291873,72.91,74.72049102
2021-07-04,0.168360361,0.10348399,77.22,80.37850686
2021-07-05,0.131892719,0.117290817,85.13,83.49701633
2021-07-06,0.096298565,0.080886051,92.05,86.82242694
2021-07-07,0.062947899,0.1038647,93.88,89.03984342
2021-07-08,0.110629482,0.107402153,90.81,97.39494329
2021-07-09,0.2258205,0.104522094,94.21,106.7723564
2021-07-10,0.357449952,0.11385034,110.77,123.1865704
2021-07-11,0.163208537,0.124987639,144.84,125.836066
2021-07-12,0.183178853,0.089079022,164.54,166.1777999
2021-07-13,0.278623264,0.113365561,188.78,204.5288505
2021-07-14,0.221635155,0.1347671,234.66,227.4112776
2021-07-15,0.167263626,0.105599806,282.68,269.6332057
2021-07-16,0.161948798,0.118510835,324.81,324.9849623
2021-07-17,0.156699072,0.100910023,373.42,370.5279948
2021-07-18,0.134005627,0.107315496,425.98,411.9910127
2021-07-19,0.093559033,0.106685743,469.98,455.6004656
2021-07-20,0.136588274,0.099916235,502.66,525.779957
2021-07-21,0.12483945,0.109883212,562.34,560.0197685
2021-07-22,0.114518679,0.107528709,626.51,617.6126967
2021-07-23,0.124454711,0.112053201,688.09,684.9917935
2021-07-24,0.122037287,0.098733909,752.32,735.7419154
2021-07-25,0.074812742,0.091454148,804.42,786.4185893
2021-07-26,0.080746318,0.094041094,840.88,840.4566537
2021-07-27,0.086068698,0.108292267,878.55,862.8459621
2021-07-28,0.077032732,0.084786281,901.5,895.4875474
2021-07-29,0.083135544,0.104312569,918.88,929.980917
2021-07-30,0.08059191,0.099184722,947.91,941.8735686
2021-07-31,0.066713656,0.092344426,971.63,954.0269331
2021-08-01,0.081783394,0.097862065,977.9,994.303685
2021-08-02,0.068503261,0.10873986,1000.72,1001.851084
2021-08-03,0.105872786,0.112573087,1025.23,1063.894921
2021-08-04,0.073312837,0.115567788,1065,1103.889875
2021-08-05,0.086980465,0.121948674,1072.83,1143.055343
2021-08-06,0.113989907,0.119447082,1094.32,1183.362805
2021-08-07,0.099150242,0.124819286,1133.3,1195.097088
2021-08-08,0.072633271,0.126860276,1153.77,1194.001804
2021-08-09,0.088978605,0.125175178,1177.31,1237.936305
2021-08-10,0.110606523,0.113519691,1214.05,1259.719683
2021-08-11,0.082326183,0.123953611,1272.54,1241.832822
2021-08-12,0.091037392,0.126848951,1307.74,1239.71403
2021-08-13,0.072655326,0.135845765,1350.26,1211.918421
2021-08-14,0.064569586,0.133606553,1371.88,1178.574841
2021-08-15,0,0.125371948,1395.55,1153.195284
