stdDay,Delta_alpha,predicted_Delta_alpha,Delta_Infected,predicted_Delta_Infected
2021-06-13,0.075113862,0.100569271,37.44,37.73508013
2021-06-14,0.057233002,0.110359408,39.31,38.37338082
2021-06-15,0.055841262,0.104437023,40.29,40.35397369
2021-06-16,0.023798684,0.094026819,41.36,39.0820793
2021-06-17,0.038553914,0.095959574,40.12,40.93732802
2021-06-18,0.046034368,0.099905699,39.71,40.71609166
2021-06-19,0.055828509,0.113185123,40.3,40.55740943
2021-06-20,0.171308031,0.095493622,41.16,43.60937804
2021-06-21,0.026384867,0.106012203,44.54,37.97180961
2021-06-22,0.066733871,0.098697647,41.09,40.82201022
2021-06-23,0.031205176,0.101514451,37.66,37.78403346
2021-06-24,0.056559265,0.104300566,34.63,36.12663009
2021-06-25,0.153296021,0.09515211,33.22,36.55852197
2021-06-26,0.089360122,0.116013214,35.07,34.18619333
2021-06-27,0.054271786,0.110639147,36.09,34.24402328
2021-06-28,0.088929529,0.11049629,35.24,36.99122588
2021-06-29,0.119299414,0.103787288,36.12,37.24005537
2021-06-30,0.071840816,0.100972958,38.17,37.77601258
2021-07-01,0.088317879,0.111390591,39.92,40.05363978
2021-07-02,0.074813147,0.101724111,41.89,41.15886369
2021-07-03,0.02721058,0.098957568,43.19,40.85220653
2021-07-04,0.08442102,0.102789804,42.12,39.62159544
2021-07-05,0.122699184,0.112459399,38.64,45.9897205
2021-07-06,0.182609805,0.105157822,42.19,43.16433278
2021-07-07,0.188619443,0.110854626,47.13,49.06500955
2021-07-08,0.205441972,0.106273554,54.81,55.09248495
2021-07-09,0.129500713,0.106396541,64.07,57.53895115
2021-07-10,0.202662024,0.107637376,67.26,74.02437853
2021-07-11,0.282182721,0.113077171,77.71,84.46665037
2021-07-12,0.230775998,0.11204654,97.59,93.07840865
2021-07-13,0.263660628,0.112188138,116.89,119.6226812
2021-07-14,0.210966451,0.106094576,143.28,139.2107035
2021-07-15,0.111149431,0.113144182,170.64,156.1856118
2021-07-16,0.092407167,0.103853397,186.01,183.4740068
2021-07-17,0.124471104,0.105878748,200,207.9684805
2021-07-18,0.114161153,0.104553677,223.61,219.5608425
2021-07-19,0.094538084,0.111021757,245.48,240.3525118
2021-07-20,0.102612819,0.097628027,263.86,263.4169908
2021-07-21,0.103823555,0.108804762,283.14,282.8802112
2021-07-22,0.152911968,0.110622868,303.55,315.7773533
2021-07-23,0.118829639,0.107237071,338.54,332.0453595
2021-07-24,0.144149402,0.110119551,370.32,374.7050529
2021-07-25,0.113252565,0.111281954,409.88,392.3379038
2021-07-26,0.12293449,0.10715498,434.25,438.8665626
2021-07-27,0.091521722,0.099773653,464.96,445.1492118
2021-07-28,0.090906258,0.109458044,476.63,477.6709683
2021-07-29,0.097970296,0.097680725,489.66,504.7220267
2021-07-30,0.068643751,0.112198897,518.52,506.9508945
2021-07-31,0.033151879,0.097833291,536.83,511.691141
2021-08-01,0.046854181,0.095002174,529.76,536.1105246
2021-08-02,0.066767317,0.099998251,529.05,541.8261714
2021-08-03,0.132327287,0.108280823,541.1,571.2497038
2021-08-04,0.197338595,0.130506277,585.4,601.850692
2021-08-05,0.119508832,0.12392047,671.09,644.0474315
2021-08-06,0.092135635,0.125871897,704.69,662.9217681
2021-08-07,0.082488492,0.128205746,729.25,689.0915514
2021-08-08,0.111578136,0.128811657,735.97,694.5851436
2021-08-09,0.099021026,0.122131407,771.47,704.8192821
2021-08-10,0.079342996,0.120633252,794.34,692.7373232
2021-08-11,0.045714648,0.119147219,814.69,692.1969559
2021-08-12,0.067316365,0.126422137,808.62,682.4592979
2021-08-13,0.096081761,0.142561495,815.03,656.7438167
2021-08-14,0.063482109,0.131152079,857.51,660.0583339
2021-08-15,0,0.12266051,893.95,698.3805172
