,Delta_origin,Delta_Predicted
2021-06-13,1.12,-34.064083
2021-06-14,1.82,-32.559193
2021-06-15,0.42000002,-30.69724
2021-06-16,0.97999996,-28.84505
2021-06-17,0.7,-25.317284
2021-06-18,1.96,-31.181929
2021-06-19,1.54,-30.239468
2021-06-20,1.54,-26.022207
2021-06-21,5.07,-25.913855
2021-06-22,4.29,-13.17872
2021-06-23,7.02,-23.974894
2021-06-24,8.97,8.972015
2021-06-25,6.63,-1.2511736
2021-06-26,4.68,13.19104
2021-06-27,5.46,31.383423
2021-06-28,3.8999999,51.002296
2021-06-29,5.8500004,65.51272
2021-06-30,6.63,95.4448
2021-07-01,3.8999999,94.515434
2021-07-02,5.07,116.96604
2021-07-03,3.8999999,140.32697
2021-07-04,5.8500004,163.73447
2021-07-05,12.98,185.22798
2021-07-06,11.21,215.2162
2021-07-07,8.849999,187.08092
2021-07-08,5.9,242.29146
2021-07-09,10.03,181.75311
2021-07-10,21.240002,228.58325
2021-07-11,39.53,261.33493
2021-07-12,23.6,280.05038
2021-07-13,30.090002,325.99545
2021-07-14,52.51,345.9154
2021-07-15,51.92,337.32248
2021-07-16,47.2,252.04964
2021-07-17,52.51,289.24384
2021-07-18,58.41,328.40372
2021-07-19,56.980003,355.49734
2021-07-20,43.89,341.88797
2021-07-21,68.53,296.56375
2021-07-22,70.07,302.34314
2021-07-23,71.61,275.84955
2021-07-24,85.47,331.31256
2021-07-25,91.630005,303.28833
2021-07-26,60.06,293.52933
2021-07-27,67.76,329.05252
2021-07-28,75.46,301.09692
2021-07-29,69.3,338.84955
2021-07-30,76.23,225.20694
2021-07-31,76.23,303.01303
2021-08-01,64.68,273.6537
2021-08-02,79.799995,325.34808
2021-08-03,68.399994,313.6788
2021-08-04,108.3,332.07275
2021-08-05,77.9,351.47354
2021-08-06,93.1,274.7248
2021-08-07,124.450005,351.06842
2021-08-08,112.1,386.1046
2021-08-09,83.6,354.19238
2021-08-10,104.5,403.31628
2021-08-11,133.95,401.8344
2021-08-12,104.5,376.0516
2021-08-13,118.75,388.41013
2021-08-14,97.85,410.9149
2021-08-15,88.350006,399.13004
