,23A_origin,23A_Predicted
2023-02-19,199.12,202.89914
2023-02-20,95.759995,96.4194
2023-02-21,252.80002,249.08206
2023-02-22,264.16,263.07208
2023-02-23,223.44,196.8884
2023-02-24,198.95999,224.21408
2023-02-25,192.07999,203.33028
2023-02-26,188.72,206.38466
2023-02-27,160.2,168.0374
2023-02-28,426.30002,462.78766
2023-03-01,480.00003,484.70422
2023-03-02,308.85,340.04437
2023-03-03,407.25,359.74725
2023-03-04,459.0,443.622
2023-03-05,391.05,370.98972
2023-03-06,194.84999,198.76521
2023-03-07,514.95,498.3507
2023-03-08,520.8,530.2956
2023-03-09,433.95,450.43607
2023-03-10,409.34998,432.82114
2023-03-11,413.25,421.79785
2023-03-12,363.3,366.66974
2023-03-13,372.65,369.16092
2023-03-14,959.32,943.64746
2023-03-15,972.37006,981.5338
2023-03-16,805.04,788.5277
2023-03-17,722.39,754.86725
2023-03-18,752.26,768.5201
2023-03-19,711.66003,719.47534
2023-03-20,349.74,359.5366
2023-03-21,1008.62006,1017.8009
2023-03-22,1115.05,1114.5262
2023-03-23,961.6401,971.0385
2023-03-24,883.05,868.67163
2023-03-25,870.0,867.3997
2023-03-26,774.88,778.2197
2023-03-27,608.58,601.9325
2023-03-28,1651.8601,1636.5753
2023-03-29,1749.38,1735.7129
2023-03-30,1418.18,1420.8802
2023-03-31,1364.3601,1375.8763
2023-04-01,1278.3401,1282.0781
2023-04-02,1261.3201,1263.9274
2023-04-03,637.1,643.09216
2023-04-04,1811.4801,1815.6487
2023-04-05,1911.3,1918.4347
2023-04-06,1649.1001,1651.1653
2023-04-07,1408.98,1407.3682
2023-04-08,1320.66,1327.2374
2023-04-09,1293.06,1290.1385
2023-04-10,715.12,717.7912
2023-04-11,2081.52,2113.984
2023-04-12,2313.36,2316.8936
2023-04-13,1905.1201,1912.8738
2023-04-14,1949.3599,1946.933
2023-04-15,1915.76,1909.4506
2023-04-16,1667.1201,1673.4951
2023-04-17,976.64,969.4255
2023-04-18,2584.4,2577.2222
2023-04-19,2728.88,2732.2122
2023-04-20,2331.8398,2325.5652
2023-04-21,2177.2798,2179.4338
2023-04-22,2169.44,2172.664
2023-04-23,1898.9601,1897.6812
2023-04-24,1022.72003,1023.81744
2023-04-25,2808.32,2808.831
2023-04-26,3073.2798,3073.9807
2023-04-27,2669.44,2670.2634
2023-04-28,2501.1199,2714.0498
2023-04-29,2678.4,2735.4585
2023-04-30,2402.5598,2378.6453
2023-05-01,1249.92,1206.6577
2023-05-02,3065.6,3197.9463
2023-05-03,3856.0,3589.2654
2023-05-04,3769.5999,3119.5498
