stdDay,22D_alpha,predicted_22D_alpha,22D_Infected,predicted_22D_Infected
2023-02-19,0.149052921,0.310436845,1707.12,1790.953488
2023-02-20,0.314201363,0.424277633,1661.76,1622.059861
2023-02-21,0.482629728,0.347153604,1578.96,1596.592941
2023-02-22,0.411298489,0.354765356,1517.04,1563.222857
2023-02-23,0.376991303,0.351546466,1501.92,1490.131812
2023-02-24,0.333146393,0.341728479,1475.28,1459.405915
2023-02-25,0.405856035,0.326660872,1433.52,1503.437027
2023-02-26,0.129184143,0.353647888,1460.88,1408.438699
2023-02-27,0.322687424,0.349631727,1435.32,1437.134542
2023-02-28,0.42601033,0.374099493,1411.99,1371.726335
2023-03-01,0.307299586,0.365762889,1349.43,1327.266205
2023-03-02,0.343615817,0.349463433,1268.46,1295.589396
2023-03-03,0.450087792,0.383770347,1217.85,1290.405603
2023-03-04,0.379039858,0.328422964,1238.92,1174.952174
2023-03-05,0.137867803,0.298211515,1195.28,1229.197534
2023-03-06,0.437645467,0.325758338,1185.9,1216.214282
2023-03-07,0.513214031,0.40992856,1206.67,1191.826208
2023-03-08,0.4603252,0.336292922,1212.7,1260.670149
2023-03-09,0.471362243,0.300028384,1266.97,1271.058382
2023-03-10,0.375881396,0.28810218,1327.94,1248.432094
2023-03-11,0.378972423,0.327512145,1308.51,1337.459283
2023-03-12,0.120508172,0.308064699,1317.89,1306.027794
2023-03-13,0.298547968,0.401125997,1315.39,1268.997252
2023-03-14,0.410116704,0.351649284,1266.59,1275.063933
2023-03-15,0.321417701,0.39355588,1227.76,1201.61815
2023-03-16,0.294695116,0.384046197,1164.78,1125.177879
2023-03-17,0.393494765,0.389111727,1067.46,1131.302914
2023-03-18,0.349880983,0.371857822,1036.78,1014.765501
2023-03-19,0.202069235,0.351555347,985.6,1052.685148
2023-03-20,0.415825251,0.39086929,1000.72,993.8730834
2023-03-21,0.598382451,0.384952366,1009.12,1031.818957
2023-03-22,0.501261608,0.331249505,1040.48,1055.285339
2023-03-23,0.366865787,0.309285611,1088.08,1060.293567
2023-03-24,0.382866929,0.329323977,1108.8,1089.179071
2023-03-25,0.304012116,0.319790661,1109.92,1098.730172
2023-03-26,0.134064094,0.315648705,1099.84,1089.908259
2023-03-27,0.28076274,0.337225407,1080.01,1055.785706
2023-03-28,0.393167287,0.406869203,1036.75,1001.890926
2023-03-29,0.350042153,0.391929626,961.76,960.7098808
2023-03-30,0.389568709,0.355301231,891.22,940.0043374
2023-03-31,0.400018378,0.328638673,871.06,861.2521059
2023-04-01,0.411736005,0.342037916,841.77,874.1333433
2023-04-02,0.191177579,0.336134583,844.74,846.8221745
2023-04-03,0.491070056,0.375400901,849.81,886.9963837
2023-04-04,0.648031997,0.414022446,892.32,910.3515341
2023-04-05,0.463393519,0.246582136,955.89,929.0904284
2023-04-06,0.356741217,0.33630538,995.28,958.1373903
2023-04-07,0.348840263,0.310360193,997.62,994.5018296
2023-04-08,0.332645159,0.316404253,996.84,991.3751174
2023-04-09,0.100796449,0.340501845,990.6,973.2925984
2023-04-10,0.230189533,0.339890361,967.2,915.1066935
2023-04-11,0.353408262,0.405885041,893.49,859.6864251
2023-04-12,0.295613611,0.350759834,794.17,805.0039221
2023-04-13,0.360367464,0.349139303,715.52,753.1917515
2023-04-14,0.405857696,0.361587793,678.6,686.3234943
2023-04-15,0.307952256,0.337985158,650.91,626.9629718
2023-04-16,0.226961069,0.382146478,601.38,665.5435149
2023-04-17,0.438438823,0.355701178,614.9,618.1626977
2023-04-18,0.619859383,0.410677522,632.06,641.9647059
2023-04-19,0.457923063,0.325061977,659.88,655.7186682
2023-04-20,0.434615703,0.305856198,684.58,673.6640486
2023-04-21,0.428061554,0.31993261,698.88,692.7297619
2023-04-22,0.35016523,0.288820803,707.2,673.1144291
2023-04-23,0.135589543,0.301202476,724.36,674.1002871
2023-04-24,0.293389609,0.311812043,709.88,702.0910571
2023-04-25,0.410979253,0.353735089,686.59,683.8590047
2023-04-26,0.325784224,0.364148289,645.16,628.0698186
2023-04-27,0.342034681,0.360316455,610.48,603.238919
2023-04-28,0.427077142,0.387204558,577.05,574.289709
2023-04-29,0.365370129,0.369168848,556.97,545.8319163
2023-04-30,0.257054907,0.364547998,540.17,530.1344964
2023-05-01,0.354153162,0.365186363,554.99,565.732825
2023-05-02,0.537136371,0.360714406,550.24,563.1957883
2023-05-03,0.567868059,0.367571652,554.61,531.0045999
2023-05-04,0,0.362992793,592.8,528.3650846
