stdDay,22D_origin,22D_Predicted
2023-02-19,406.80002,408.15768
2023-02-20,162.72,163.35948
2023-02-21,406.80002,407.9558
2023-02-22,433.44,434.28094
2023-02-23,366.48,367.3961
2023-02-24,401.04,402.3779
2023-02-25,362.88,363.69403
2023-02-26,255.6,256.8079
2023-02-27,161.46999,162.11963
2023-02-28,339.69,340.68027
2023-03-01,362.47,363.2439
2023-03-02,227.12999,227.9759
2023-03-03,290.78,291.78458
2023-03-04,337.01,337.74994
2023-03-05,343.71,344.54803
2023-03-06,0.0,0.537201
2023-03-07,429.47,430.43976
2023-03-08,377.88,378.3843
2023-03-09,314.22998,314.97296
2023-03-10,274.03,275.00864
2023-03-11,278.05,278.7752
2023-03-12,240.53001,241.29858
2023-03-13,119.840004,120.4279
2023-03-14,289.52002,290.21075
2023-03-15,239.12,239.7875
2023-03-16,216.16,216.81096
2023-03-17,221.2,221.97485
2023-03-18,211.68001,212.33752
2023-03-19,240.23999,240.94305
2023-03-20,62.72,63.21368
2023-03-21,299.6,300.45776
2023-03-22,280.0,280.5054
2023-03-23,223.44,223.89977
2023-03-24,224.0,224.72876
2023-03-25,197.12,197.5751
2023-03-26,205.52,206.13193
2023-03-27,44.85,45.315258
2023-03-28,173.55,174.1743
2023-03-29,162.24,162.67595
2023-03-30,144.69,145.0543
2023-03-31,144.3,144.74734
2023-04-01,145.08,145.53065
2023-04-02,141.95999,142.46472
2023-04-03,56.160004,56.390743
2023-04-04,160.29001,160.75168
2023-04-05,193.44,193.88683
2023-04-06,145.47,145.81854
2023-04-07,131.43001,132.13222
2023-04-08,122.06999,122.56721
2023-04-09,125.58,125.84895
2023-04-10,23.4,23.542572
2023-04-11,98.02,98.524734
2023-04-12,104.78,105.17202
2023-04-13,88.4,88.90753
2023-04-14,85.28,85.77363
2023-04-15,91.26,91.495384
2023-04-16,74.88,75.21476
2023-04-17,25.740002,26.218422
2023-04-18,113.09999,113.53942
2023-04-19,133.38,133.7025
2023-04-20,103.74,103.82555
2023-04-21,114.920006,114.92308
2023-04-22,128.44,128.65553
2023-04-23,86.840004,87.595406
2023-04-24,31.92,32.19491
2023-04-25,81.51,81.830284
2023-04-26,81.51,81.80476
2023-04-27,75.24,75.53724
2023-04-28,72.01,69.32643
2023-04-29,85.88,80.21351
2023-04-30,75.24,73.96126
2023-05-01,23.18,26.184658
2023-05-02,91.200005,91.019356
2023-05-03,88.16,79.32315
2023-05-04,111.340004,92.051834
