,Infected,predicted_Infected
2020-12-02,20,18.9
2020-12-03,21,20.000000000000004
2020-12-04,21,22.0
2020-12-05,22,21.0
2020-12-06,22,21.0
2020-12-07,21,23.047619047619044
2020-12-08,22,18.13636363636364
2020-12-09,19,33.57894736842105
2020-12-10,29,20.310344827586206
2020-12-11,31,27.12903225806452
2020-12-12,29,33.13793103448276
2020-12-13,31,35.54838709677419
2020-12-14,38,37.526315789473685
2020-12-15,46,48.73913043478261
2020-12-16,59,54.57627118644068
2020-12-17,70,80.07142857142857
2020-12-18,95,86.94736842105264
2020-12-19,118,114.32203389830508
2020-12-20,142,137.11267605633802
2020-12-21,165,156.63030303030303
2020-12-22,182,194.91758241758242
2020-12-23,215,193.00465116279068
2020-12-24,228,229.14473684210523
2020-12-25,243,250.5185185185185
2020-12-26,267,246.6404494382022
2020-12-27,271,269.95571955719555
2020-12-28,274,267.04379562043795
2020-12-29,270,268.9259259259259
2020-12-30,265,266.9433962264151
2020-12-31,262,242.74809160305344
2021-01-01,240,249.99166666666667
2021-01-02,229,255.4790469353323
2021-01-03,209,280.16202852472696
2021-01-04,196,329.8517676839328
2021-01-05,185,417.9831067202223
2021-01-06,157,530.91096289248
2021-01-07,140,722.6466978709783
2021-01-08,126,1030.9554763862695
2021-01-09,107,1400.8736746670418
2021-01-10,104,1979.9589608241215
2021-01-11,95,2499.6089694977527
2021-01-12,92,3017.470651759892
2021-01-13,83,3194.390443764624
2021-01-14,76,3202.264118892136
