stdDay,Delta_alpha,predicted_Delta_alpha,Delta_Infected,predicted_Delta_Infected
2021-06-13,0.073398291,0.158654213,1.91,2.00104712
2021-06-14,0.572208633,0.171396762,1.96,2.91372449
2021-06-15,0.187550698,0.205747604,2.99,2.268093645
2021-06-16,0.081037955,0.054961257,3.46,3.206040462
2021-06-17,0.037788793,0.109271921,3.71,3.506630728
2021-06-18,0.074572766,0.17098482,3.76,3.86787234
2021-06-19,0.107294049,0.186878815,3.92,4.162857143
2021-06-20,0.179978575,0.174479336,4.34,4.624516129
2021-06-21,0.457682366,0.154755771,5.12,6.323515625
2021-06-22,0.418833194,0.193009481,7.46,6.97308311
2021-06-23,0.038441969,0.101424828,10.16,7.437972441
2021-06-24,0.077111837,-0.018521929,10.13,10.66148075
2021-06-25,0.073485149,0.124097824,10.63,10.73989652
2021-06-26,0.277249817,0.154738396,11.27,13.44077196
2021-06-27,0,0.159963861,14.25,11.15927719
2021-06-28,0.083044109,0.083180912,14.11,14.3004961
2021-06-29,0.082751546,0.145948529,14.16,14.71784605
2021-06-30,0.13222426,0.156721517,14.77,15.76102911
2021-07-01,0.04751773,0.15386495,16.44,15.34498783
2021-07-02,0.068606181,0.149266526,17.08,17.29665105
2021-07-03,0.086945136,0.174420461,17.97,18.16353923
2021-07-04,0.123687207,0.174884796,19.11,19.45574568
2021-07-05,0.142803775,0.163380533,20.69,19.67341711
2021-07-06,0.138715965,0.148991719,21.3,20.52486854
2021-07-07,0.139833885,0.141136676,21.13,23.88059631
2021-07-08,0.024944955,0.142792851,23.69,20.96053187
2021-07-09,0,0.149726346,23.5,22.90369362
2021-07-10,0.078030051,0.193042278,22.72,22.10365317
2021-07-11,0.165920181,0.190418914,21.37,26.48363126
2021-07-12,0.189791077,0.160258248,24.91,24.41550381
2021-07-13,0.124590601,0.129914656,28.46,26.98437456
2021-07-14,0.038338264,0.114440851,30.83,27.74919235
2021-07-15,0.137621848,0.147415444,30.06,34.26581171
2021-07-16,0.035378553,0.165953174,33.41,30.06899731
2021-07-17,0.088420395,0.148137093,33.42,34.79958408
2021-07-18,0.177263548,0.168329,34.81,37.06826199
2021-07-19,0.259708654,0.153776705,38.61,41.17515411
2021-07-20,0.101339411,0.137352556,45.67,40.02183928
2021-07-21,0.162943459,0.078131743,47.34,50.25243557
2021-07-22,0.118471138,0.139083624,52.09,52.40208101
2021-07-23,0.080271788,0.126246765,57.66,56.26370447
2021-07-24,0.111477515,0.148800999,62.28,62.43722543
2021-07-25,0.057194779,0.164231911,67.44,62.56628114
2021-07-26,0.068320615,0.163452804,67.75,67.34045756
2021-07-27,0.125441647,0.179298148,67.65,72.68728751
2021-07-28,0.053147498,0.170055166,72.58,70.13864012
2021-07-29,0.041009941,0.158163697,75.25,71.56725581
2021-07-30,0.124772161,0.18225649,74.2,83.4240566
2021-07-31,0.084412791,0.174489945,82.26,77.79003161
2021-08-01,0.033113906,0.152899057,86.24,79.10275742
2021-08-02,0.080350356,0.172315389,82.93,82.74589172
2021-08-03,0.09570845,0.159820318,79.57,86.73076187
2021-08-04,0.172978941,0.170197934,82.55,95.04740451
2021-08-05,0.213692346,0.142613962,89.1,100.7461869
2021-08-06,0.168107871,0.125165731,101.94,105.712086
2021-08-07,0.058247517,0.11490427,114.42,111.4237054
2021-08-08,0.008341645,0.108187102,114.14,112.3543103
2021-08-09,0.034236529,0.107637733,111.24,117.2803929
2021-08-10,0.068982299,0.102570601,110.42,120.2804398
2021-08-11,0.095605995,0.101372771,109.55,113.321875
2021-08-12,0.05738476,0.098054178,116.15,115.3923865
2021-08-13,0.079535179,0.095990367,119.72,118.8580086
2021-08-14,0.039682486,0.094554834,119.98,105.3636724
2021-08-15,0,0.096276745,117.8,95.8180177
