stdDay,Delta_alpha,predicted_Delta_alpha,Delta_Infected,predicted_Delta_Infected
2021-06-13,0.088589399,0.116021603,193.39,189.4154718
2021-06-14,0.081578152,0.15414013,206.57,205.8601302
2021-06-15,0.121342197,0.112213612,219.89,226.1476015
2021-06-16,0.106755614,0.114380464,240.73,237.5100644
2021-06-17,0.082634313,0.136388823,260.02,254.756073
2021-06-18,0.074002704,0.126559258,275.17,273.2208555
2021-06-19,0.054885245,0.117986202,289.14,285.657561
2021-06-20,0.118608039,0.107436016,300.16,302.9631576
2021-06-21,0.114441054,0.132963002,314.51,317.0333229
2021-06-22,0.224945991,0.116206944,332.19,363.6950884
2021-06-23,0.188416873,0.124782436,384.14,372.7906157
2021-06-24,0.166083579,0.111493759,431.09,426.1548948
2021-06-25,0.153801794,0.134132966,478.24,475.223001
2021-06-26,0.128388524,0.108964629,527.2,520.5214234
2021-06-27,0.110460747,0.121195003,573.81,569.5553441
2021-06-28,0.145166193,0.122590519,619.91,641.2887453
2021-06-29,0.135541034,0.110988028,692.81,679.8600152
2021-06-30,0.128225905,0.116677843,759.81,757.9960161
2021-07-01,0.124261216,0.146147892,831.3,834.3377366
2021-07-02,0.108019916,0.133170962,912.84,902.3143881
2021-07-03,0.091226978,0.120849736,990.82,981.2647662
2021-07-04,0.122274893,0.125555933,1065.09,1078.553651
2021-07-05,0.116925757,0.126672402,1159.4,1156.248255
2021-07-06,0.172616922,0.111706704,1258.63,1290.24161
2021-07-07,0.165682807,0.154710576,1400.67,1401.622848
2021-07-08,0.15371843,0.135344595,1559.8,1551.153574
2021-07-09,0.154575811,0.1030543,1727.38,1733.868616
2021-07-10,0.125495069,0.131593913,1920.15,1882.70611
2021-07-11,0.092512086,0.110973991,2092.81,2039.195428
2021-07-12,0.084715852,0.114293985,2222.56,2185.013565
2021-07-13,0.118397206,0.113658302,2320.48,2395.117578
2021-07-14,0.117448306,0.128684431,2500.64,2501.922932
2021-07-15,0.100149735,0.129329532,2696.17,2654.675647
2021-07-16,0.081307745,0.137477249,2862.25,2822.008536
2021-07-17,0.073730947,0.103294298,2995.84,2986.433953
2021-07-18,0.084066947,0.104105182,3125.82,3122.351085
2021-07-19,0.090864234,0.123024821,3257.82,3279.145241
2021-07-20,0.105162961,0.131478205,3417.62,3392.722852
2021-07-21,0.081005102,0.143568039,3559.14,3471.326088
2021-07-22,0.0887344,0.140877709,3615.07,3638.493009
2021-07-23,0.097050729,0.123787194,3695.67,3704.271209
2021-07-24,0.065322033,0.096826658,3786.86,3701.789014
2021-07-25,0.071329568,0.125331506,3793.13,3863.303431
2021-07-26,0.074514723,0.13388367,3869.7,3890.749406
2021-07-27,0.10828905,0.126706511,3969.29,4020.187088
2021-07-28,0.087928881,0.114663668,4123.65,4035.216224
2021-07-29,0.096638711,0.153951257,4192.14,4255.893557
2021-07-30,0.070587024,0.132082179,4326.58,4262.174041
2021-07-31,0.071362678,0.107194453,4398.86,4417.609262
2021-08-01,0.071577811,0.128264904,4491.41,4456.00764
2021-08-02,0.075484206,0.141764298,4549.76,4537.896078
2021-08-03,0.101070012,0.1515598,4596.85,4868.455312
2021-08-04,0.098622007,0.144535482,4701.45,5179.461313
2021-08-05,0.090400052,0.13412714,4875.94,5541.555732
2021-08-06,0.098175329,0.130480796,4995.29,5805.380502
2021-08-07,0.085991127,0.138258755,5126.31,5969.874107
2021-08-08,0.073194275,0.137482226,5318.81,6344.803983
2021-08-09,0.0737126,0.12136849,5436.91,6672.834958
2021-08-10,0.114535762,0.114844888,5548.7,6840.116506
2021-08-11,0.095374426,0.123586416,5753.28,6583.645378
2021-08-12,0.086780563,0.134784445,5938.4,6465.834808
2021-08-13,0.090419926,0.120840952,6047.92,6222.766601
2021-08-14,0.077407564,0.12759085,6288.12,6063.165111
2021-08-15,0,0.126915246,6460,5849.587768
