stdDay,Delta_origin,Delta_Predicted
2021-06-13,20.86,20.673618
2021-06-14,17.08,13.675085
2021-06-15,16.800001,15.136892
2021-06-16,26.6,20.434277
2021-06-17,25.62,23.206467
2021-06-18,21.42,24.213194
2021-06-19,20.300001,21.253736
2021-06-20,15.82,16.720861
2021-06-21,35.49,34.100925
2021-06-22,35.88,32.67627
2021-06-23,74.49,58.792225
2021-06-24,72.15,73.387924
2021-06-25,71.37,67.969444
2021-06-26,73.32,71.904
2021-06-27,67.47,67.64772
2021-06-28,63.18,63.744743
2021-06-29,89.700005,82.471504
2021-06-30,93.6,91.343636
2021-07-01,97.11,97.021164
2021-07-02,102.96,102.546646
2021-07-03,98.28,91.7648
2021-07-04,90.090004,86.35786
2021-07-05,129.8,129.1521
2021-07-06,135.11,132.97026
2021-07-07,216.52998,215.94461
2021-07-08,231.27998,228.9096
2021-07-09,238.95,239.16737
2021-07-10,266.09,259.85938
2021-07-11,240.12999,238.18748
2021-07-12,192.92998,191.26094
2021-07-13,187.62,185.69783
2021-07-14,273.75998,271.54272
2021-07-15,292.63998,291.4444
2021-07-16,269.03998,267.39795
2021-07-17,231.86998,230.19415
2021-07-18,220.06999,217.98463
2021-07-19,261.8,260.06168
2021-07-20,294.91,293.6236
2021-07-21,358.05,357.8698
2021-07-22,287.21,285.8944
2021-07-23,319.55,318.35654
2021-07-24,357.28,357.08188
2021-07-25,246.4,245.17012
2021-07-26,269.5,268.49908
2021-07-27,287.21,286.2911
2021-07-28,428.12,427.2668
2021-07-29,361.12997,360.3684
2021-07-30,403.47998,402.92563
2021-07-31,304.15,303.3064
2021-08-01,312.62,311.876
2021-08-02,320.15,319.2069
2021-08-03,342,341.20663
2021-08-04,462.65,462.19577
2021-08-05,461.69998,461.30905
2021-08-06,438.9,438.559
2021-08-07,488.3,487.9188
2021-08-08,438.9,438.44168
2021-08-09,387.6,417.08984
2021-08-10,399,327.04358
2021-08-11,632.7,576.29315
2021-08-12,546.25,436.7618
2021-08-13,513,516.0104
2021-08-14,544.35,408.9113
2021-08-15,484.5,366.13992
