,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-01
1,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-02
2,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-03
3,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-04
4,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-05
5,1,55,?胳偘,?氬北,Ulsan,0,52,2,0,0,4.79,2020-07-06
6,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-07
7,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-08
8,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-09
9,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-10
10,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-11
11,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-12
12,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-13
13,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-14
14,1,55,?胳偘,?氬北,Ulsan,0,53,1,0,0,4.79,2020-07-15
15,1,56,?胳偘,?氬北,Ulsan,1,53,2,0,1,4.88,2020-07-16
16,1,56,?胳偘,?氬北,Ulsan,0,53,2,0,0,4.88,2020-07-17
17,1,57,?胳偘,?氬北,Ulsan,1,53,3,1,0,4.97,2020-07-18
18,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-19
19,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-20
20,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-21
21,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-22
22,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-23
23,1,57,?胳偘,?氬北,Ulsan,0,53,3,0,0,4.97,2020-07-24
24,1,58,?胳偘,?氬北,Ulsan,1,53,4,0,1,5.06,2020-07-25
25,1,58,?胳偘,?氬北,Ulsan,0,53,4,0,0,5.06,2020-07-26
26,1,58,?胳偘,?氬北,Ulsan,0,53,4,0,0,5.06,2020-07-27
27,1,58,?胳偘,?氬北,Ulsan,0,53,4,0,0,5.06,2020-07-28
28,1,59,?胳偘,?氬北,Ulsan,1,53,5,0,1,5.14,2020-07-29
29,1,59,?胳偘,?氬北,Ulsan,0,53,5,0,0,5.14,2020-07-30
30,1,59,?胳偘,?氬北,Ulsan,0,53,5,0,0,5.14,2020-07-31
31,1,59,?胳偘,?氬北,Ulsan,0,53,5,0,0,5.14,2020-08-01
32,1,59,?胳偘,?氬北,Ulsan,0,54,4,0,0,5.14,2020-08-02
33,1,59,?胳偘,?氬北,Ulsan,0,54,4,0,0,5.14,2020-08-03
34,1,59,?胳偘,?氬北,Ulsan,0,54,4,0,0,5.14,2020-08-04
35,1,59,?胳偘,?氬北,Ulsan,0,56,2,0,0,5.14,2020-08-05
36,1,59,?胳偘,?氬北,Ulsan,0,56,2,0,0,5.14,2020-08-06
37,1,59,?胳偘,?氬北,Ulsan,0,56,2,0,0,5.14,2020-08-07
38,1,59,?胳偘,?氬北,Ulsan,0,56,2,0,0,5.14,2020-08-08
39,1,60,?胳偘,?氬北,Ulsan,1,56,3,0,1,5.23,2020-08-09
40,1,60,?胳偘,?氬北,Ulsan,0,56,3,0,0,5.23,2020-08-10
41,1,60,?胳偘,?氬北,Ulsan,0,56,3,0,0,5.23,2020-08-11
42,1,60,?胳偘,?氬北,Ulsan,0,56,3,0,0,5.23,2020-08-12
43,1,61,?胳偘,?氬北,Ulsan,1,56,4,1,0,5.32,2020-08-13
44,1,62,?胳偘,?氬北,Ulsan,1,56,5,1,0,5.41,2020-08-14
45,1,62,?胳偘,?氬北,Ulsan,0,56,5,0,0,5.41,2020-08-15
46,1,65,?胳偘,?氬北,Ulsan,3,56,8,1,2,5.67,2020-08-16
47,1,65,?胳偘,?氬北,Ulsan,0,56,8,0,0,5.67,2020-08-17
48,1,68,?胳偘,?氬北,Ulsan,3,56,11,2,1,5.93,2020-08-18
49,1,68,?胳偘,?氬北,Ulsan,0,56,11,0,0,5.93,2020-08-19
50,1,68,?胳偘,?氬北,Ulsan,0,57,10,0,0,5.93,2020-08-20
51,1,69,?胳偘,?氬北,Ulsan,1,57,11,1,0,6.02,2020-08-21
52,1,72,?胳偘,?氬北,Ulsan,3,58,13,1,2,6.28,2020-08-22
53,1,75,?胳偘,?氬北,Ulsan,3,58,16,3,0,6.54,2020-08-23
54,1,76,?胳偘,?氬北,Ulsan,1,58,17,1,0,6.63,2020-08-24
55,1,76,?胳偘,?氬北,Ulsan,0,59,16,0,0,6.63,2020-08-25
