,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,3,154,부산,釜山,Busan,0,142,9,0,0,4.51,2020-07-01
1,3,154,부산,釜山,Busan,0,146,5,0,0,4.51,2020-07-02
2,3,154,부산,釜山,Busan,0,146,5,0,0,4.51,2020-07-03
3,3,155,부산,釜山,Busan,1,146,6,0,1,4.54,2020-07-04
4,3,155,부산,釜山,Busan,0,146,6,0,0,4.54,2020-07-05
5,3,156,부산,釜山,Busan,1,146,7,0,1,4.57,2020-07-06
6,3,156,부산,釜山,Busan,0,146,7,0,0,4.57,2020-07-07
7,3,156,부산,釜山,Busan,0,146,7,0,0,4.57,2020-07-08
8,3,156,부산,釜山,Busan,0,146,7,0,0,4.57,2020-07-09
9,3,156,부산,釜山,Busan,0,146,7,0,0,4.57,2020-07-10
10,3,156,부산,釜山,Busan,0,146,7,0,0,4.57,2020-07-11
11,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-12
12,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-13
13,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-14
14,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-15
15,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-16
16,3,156,부산,釜山,Busan,0,148,5,0,0,4.57,2020-07-17
17,3,157,부산,釜山,Busan,1,149,5,0,1,4.60,2020-07-18
18,3,157,부산,釜山,Busan,0,149,5,0,0,4.60,2020-07-19
19,3,157,부산,釜山,Busan,0,149,5,0,0,4.60,2020-07-20
20,3,157,부산,釜山,Busan,0,149,5,0,0,4.60,2020-07-21
21,3,157,부산,釜山,Busan,0,149,5,0,0,4.60,2020-07-22
22,3,159,부산,釜山,Busan,2,150,6,0,2,4.66,2020-07-23
23,3,161,부산,釜山,Busan,2,150,8,2,0,4.72,2020-07-24
24,3,166,부산,釜山,Busan,5,151,12,5,0,4.87,2020-07-25
25,3,167,부산,釜山,Busan,1,151,13,1,0,4.89,2020-07-26
26,3,168,부산,釜山,Busan,1,151,14,1,0,4.92,2020-07-27
27,3,170,부산,釜山,Busan,2,151,16,1,1,4.98,2020-07-28
28,3,171,부산,釜山,Busan,1,151,17,1,0,5.01,2020-07-29
29,3,171,부산,釜山,Busan,0,152,16,0,0,5.01,2020-07-30
30,3,171,부산,釜山,Busan,0,154,14,0,0,5.01,2020-07-31
31,3,172,부산,釜山,Busan,1,154,15,0,1,5.04,2020-08-01
32,3,173,부산,釜山,Busan,1,154,16,1,0,5.07,2020-08-02
33,3,173,부산,釜山,Busan,0,154,16,0,0,5.07,2020-08-03
34,3,174,부산,釜山,Busan,1,154,17,1,0,5.10,2020-08-04
35,3,174,부산,釜山,Busan,0,154,17,0,0,5.10,2020-08-05
36,3,177,부산,釜山,Busan,3,154,20,3,0,5.19,2020-08-06
37,3,177,부산,釜山,Busan,0,154,20,0,0,5.19,2020-08-07
38,3,177,부산,釜山,Busan,0,154,20,0,0,5.19,2020-08-08
39,3,177,부산,釜山,Busan,0,154,20,0,0,5.19,2020-08-09
40,3,178,부산,釜山,Busan,1,156,19,1,0,5.22,2020-08-10
41,3,187,부산,釜山,Busan,9,157,27,9,0,5.48,2020-08-11
42,3,191,부산,釜山,Busan,4,159,29,3,1,5.60,2020-08-12
43,3,193,부산,釜山,Busan,2,159,31,2,0,5.66,2020-08-13
44,3,198,부산,釜山,Busan,5,159,36,5,0,5.80,2020-08-14
45,3,201,부산,釜山,Busan,3,161,37,3,0,5.89,2020-08-15
46,3,208,부산,釜山,Busan,7,161,44,6,1,6.10,2020-08-16
47,3,215,부산,釜山,Busan,7,161,51,7,0,6.30,2020-08-17
48,3,222,부산,釜山,Busan,7,162,57,7,0,6.51,2020-08-18
49,3,231,부산,釜山,Busan,9,163,65,9,0,6.77,2020-08-19
50,3,246,부산,釜山,Busan,15,165,78,15,0,7.21,2020-08-20
