,22D_origin,22D_Predicted
2023-02-19,169.92,156.67128
2023-02-20,92.16,88.19647
2023-02-21,178.56001,169.09302
2023-02-22,203.04,199.47339
2023-02-23,164.15999,157.78609
2023-02-24,175.68,169.84705
2023-02-25,151.92001,144.97246
2023-02-26,118.799995,116.22232
2023-02-27,89.11,83.459656
2023-02-28,152.09001,150.08626
2023-03-01,188.93999,181.74303
2023-03-02,117.24999,115.2163
2023-03-03,145.39001,141.6275
2023-03-04,191.62,181.34222
2023-03-05,121.270004,114.45702
2023-03-06,79.729996,67.50202
2023-03-07,187.59999,177.57689
2023-03-08,210.38,205.6487
2023-03-09,182.90999,174.84976
2023-03-10,189.61,180.44554
2023-03-11,179.56,177.49617
2023-03-12,161.47,147.69612
2023-03-13,73.920006,66.37198
2023-03-14,166.32,155.04764
2023-03-15,217.28,211.56154
2023-03-16,164.08,158.4373
2023-03-17,126.56,122.17862
2023-03-18,139.44,127.50096
2023-03-19,110.88,98.13749
2023-03-20,68.32,52.769684
2023-03-21,134.95999,124.18009
2023-03-22,209.44,197.98566
2023-03-23,150.64,148.82681
2023-03-24,145.04,136.09676
2023-03-25,143.36,133.17867
2023-03-26,102.479996,92.75144
2023-03-27,49.530003,37.37241
2023-03-28,92.82,84.51347
2023-03-29,134.94,133.34047
2023-03-30,95.939995,90.76321
2023-03-31,102.18,92.046875
2023-04-01,81.899994,84.408615
2023-04-02,77.22,66.04609
2023-04-03,51.87,39.64499
2023-04-04,103.74,90.6068
2023-04-05,148.59,135.24403
2023-04-06,107.64,98.6384
2023-04-07,107.64,102.84365
2023-04-08,102.96001,92.98244
2023-04-09,86.97,64.138
2023-04-10,38.22,31.960035
2023-04-11,82.420006,66.65563
2023-04-12,107.64,98.49182
2023-04-13,76.96,74.6881
2023-04-14,74.88,77.12992
2023-04-15,71.76,77.02498
2023-04-16,50.7,58.2819
2023-04-17,48.1,35.019352
2023-04-18,96.2,78.65776
2023-04-19,108.42,105.094864
2023-04-20,109.200005,99.162964
2023-04-21,122.200005,97.92932
2023-04-22,109.72,86.83946
2023-04-23,75.14,65.11595
2023-04-24,38.57,30.251726
2023-04-25,62.129997,53.38948
2023-04-26,84.17,77.55033
2023-04-27,76.0,68.85667
2023-04-28,68.78,68.325096
2023-04-29,60.23,64.56852
2023-04-30,49.78,54.33725
2023-05-01,37.429996,37.355377
2023-05-02,66.31,67.592285
2023-05-03,86.83,92.93775
2023-05-04,104.31,91.28298
