,23A_origin,23A_Predicted
2023-02-19,18.88,20.85233
2023-02-20,10.240001,20.018934
2023-02-21,19.839998,24.362041
2023-02-22,22.56,32.583897
2023-02-23,18.24,30.15671
2023-02-24,19.519999,25.683487
2023-02-25,16.88,25.74324
2023-02-26,13.2,23.168913
2023-02-27,19.949999,21.10678
2023-02-28,34.05,28.355267
2023-03-01,42.300003,36.24556
2023-03-02,26.25,33.641144
2023-03-03,32.550003,27.448227
2023-03-04,42.9,29.348795
2023-03-05,27.150002,28.700487
2023-03-06,17.85,25.653152
2023-03-07,42.0,33.267715
2023-03-08,47.099995,46.09267
2023-03-09,40.95,40.803642
2023-03-10,42.45,36.402905
2023-03-11,40.2,39.14742
2023-03-12,36.15,34.92321
2023-03-13,38.28,32.951286
2023-03-14,86.13,46.646538
2023-03-15,112.52,65.591995
2023-03-16,84.97,59.31564
2023-03-17,65.54,49.070652
2023-03-18,72.21,49.028248
2023-03-19,57.42,49.02984
2023-03-20,35.38,48.182537
2023-03-21,69.89,68.313675
2023-03-22,108.45999,94.28913
2023-03-23,78.009995,89.14763
2023-03-24,75.10999,70.81515
2023-03-25,74.24,71.75985
2023-03-26,53.07,64.58228
2023-03-27,58.42,59.512577
2023-03-28,109.479996,91.77215
2023-03-29,159.16,127.2307
2023-03-30,113.16,119.77808
2023-03-31,120.52,95.34866
2023-04-01,96.6,97.52631
2023-04-02,91.08,81.78731
2023-04-03,61.179996,80.561356
2023-04-04,122.35999,116.47917
2023-04-05,175.26001,164.79662
2023-04-06,126.96,153.98453
2023-04-07,126.96,126.45076
2023-04-08,121.439995,123.87981
2023-04-09,102.579994,105.0642
2023-04-10,82.32,97.274734
2023-04-11,177.52,145.60641
2023-04-12,231.84,207.15942
2023-04-13,165.76,191.35944
2023-04-14,161.28,159.65248
2023-04-15,154.56,155.33334
2023-04-16,109.2,130.50017
2023-04-17,103.6,114.152794
2023-04-18,207.2,177.88904
2023-04-19,233.52,243.93779
2023-04-20,235.19998,219.32986
2023-04-21,263.2,194.47964
2023-04-22,236.32,191.56714
2023-04-23,161.84,149.6659
2023-04-24,129.92,129.8613
2023-04-25,209.28,208.01614
2023-04-26,283.52002,277.53317
2023-04-27,256.0,263.14496
2023-04-28,231.68001,237.38254
2023-04-29,202.88,223.10732
2023-04-30,167.68,173.48262
2023-05-01,126.08,155.14615
2023-05-02,223.36,228.37035
2023-05-03,292.47998,297.0351
2023-05-04,351.36002,287.972
