,Alpha_origin,Alpha_Predicted
2021-06-13,1.2,1.1182548
2021-06-14,1.32,1.2612615
2021-06-15,0.35999998,0.31911507
2021-06-16,0.84000003,0.7824708
2021-06-17,0.84000003,0.7792907
2021-06-18,1.08,1.0412276
2021-06-19,0.6,0.5981278
2021-06-20,1.56,1.4913862
2021-06-21,1.08,1.0490136
2021-06-22,1.2,1.1145186
2021-06-23,2.0400002,2.0698802
2021-06-24,0.6,0.5409096
2021-06-25,1.56,1.5912238
2021-06-26,4.2000003,4.1714954
2021-06-27,2.28,2.3112347
2021-06-28,2.0400002,1.9385039
2021-06-29,0.96,0.9972282
2021-06-30,1.8000001,1.7127099
2021-07-01,1.2,1.2516072
2021-07-02,1.6800001,1.6169146
2021-07-03,1.32,1.3390412
2021-07-04,2.28,2.3204095
2021-07-05,0.42000002,0.38189808
2021-07-06,0.54,0.6302386
2021-07-07,0.71999997,0.7066605
2021-07-08,0.96,0.9579027
2021-07-09,1.4399999,1.4645967
2021-07-10,0.96,1.0264739
2021-07-11,1.2,1.149333
2021-07-12,1.08,1.1009241
2021-07-13,1.14,1.0957706
2021-07-14,0.96,0.9437214
2021-07-15,1.5,1.511992
2021-07-16,1.6800001,1.7232356
2021-07-17,2.7,2.6708102
2021-07-18,3.12,3.0448694
2021-07-19,0.81,0.91902184
2021-07-20,1.26,1.1496426
2021-07-21,1.62,1.7404011
2021-07-22,1.41,1.5097369
2021-07-23,1.86,1.6837076
2021-07-24,1.38,1.2510698
2021-07-25,0.75,0.9444072
2021-07-26,0.87,1.0236728
2021-07-27,1.83,1.7437923
2021-07-28,2.22,2.0052276
2021-07-29,1.41,1.3965081
2021-07-30,0.6,0.79863864
2021-07-31,1.1700001,1.0848666
2021-08-01,1.32,1.2160838
2021-08-02,0.25,0.28187132
2021-08-03,0.25,0.28242314
2021-08-04,0.22,0.26820013
2021-08-05,0.31,0.2334111
2021-08-06,0.26,0.27721775
2021-08-07,0.33,0.2509282
2021-08-08,0.25,0.3132488
2021-08-09,0.24,0.21063793
2021-08-10,0.22,0.20643881
2021-08-11,0.19,0.26511794
2021-08-12,0.42000002,0.4458787
2021-08-13,0.33,0.35612196
2021-08-14,0.39,0.4798125
2021-08-15,0.31,0.4073787
