stdDay,Delta_origin,Delta_Predicted
2021-06-13,0.42,0.7511242
2021-06-14,0.56,0.90176773
2021-06-15,0.56,0.711019
2021-06-16,0.14,0.6426988
2021-06-17,0.84000003,0.97045577
2021-06-18,0.28,0.3921409
2021-06-19,0.56,0.5882525
2021-06-20,0.42,0.35648277
2021-06-21,0.78,0.6755469
2021-06-22,0.78,1.3098906
2021-06-23,1.5600001,1.7029194
2021-06-24,0.39,0.35153815
2021-06-25,1.95,1.9117295
2021-06-26,3.12,3.1019027
2021-06-27,4.68,4.3780627
2021-06-28,2.73,2.7703605
2021-06-29,0.78,1.065137
2021-06-30,2.34,2.5809648
2021-07-01,2.73,2.8572478
2021-07-02,0.78,0.96829224
2021-07-03,1.17,1.2164379
2021-07-04,1.17,1.1435825
2021-07-05,4.13,4.3278127
2021-07-06,2.36,2.5733368
2021-07-07,6.49,6.662194
2021-07-08,1.1800001,1.3817517
2021-07-09,2.36,2.5002692
2021-07-10,12.39,12.411785
2021-07-11,13.570001,13.794743
2021-07-12,8.26,8.426697
2021-07-13,5.3100004,5.4801545
2021-07-14,8.85,8.937196
2021-07-15,12.39,12.4518
2021-07-16,13.570001,13.644295
2021-07-17,7.0800004,7.1994486
2021-07-18,13.570001,13.657049
2021-07-19,10.780001,10.824129
2021-07-20,19.249998,19.299133
2021-07-21,17.71,17.754812
2021-07-22,8.47,8.535793
2021-07-23,6.9300003,6.983943
2021-07-24,6.9300003,6.9732814
2021-07-25,10.01,10.044616
2021-07-26,13.860001,13.9037
2021-07-27,17.71,17.757484
2021-07-28,20.789999,20.843279
2021-07-29,30.029999,30.07155
2021-07-30,19.249998,19.292242
2021-07-31,16.94,16.97311
2021-08-01,10.780001,10.817067
2021-08-02,16.15,16.185436
2021-08-03,17.099998,17.138065
2021-08-04,15.2,15.239869
2021-08-05,16.15,16.18066
2021-08-06,13.3,13.3299885
2021-08-07,17.099998,17.138327
2021-08-08,30.4,30.434872
2021-08-09,18.05,25.176714
2021-08-10,14.25,15.121718
2021-08-11,19,19.131905
2021-08-12,19,22.384716
2021-08-13,14.25,25.37663
2021-08-14,16.15,13.466565
2021-08-15,27.55,19.897081
