stdDay,Delta_origin,Delta_Predicted
2021-06-13,0.14,0.28668296
2021-06-14,0.14,0.049804922
2021-06-15,1.12,0.8790863
2021-06-16,0.56,0.83453125
2021-06-17,0.28,0.5608516
2021-06-18,0.14,0.14008561
2021-06-19,0.28,0.52550423
2021-06-20,0.42000002,0.5196307
2021-06-21,0.78000003,0.7396733
2021-06-22,2.34,2.1314783
2021-06-23,3.1200001,2.984618
2021-06-24,0.39000002,0.4022
2021-06-25,0.78000003,0.8066001
2021-06-26,0.78000003,0.83463895
2021-06-27,3.1200001,3.1003125
2021-06-28,0,0.14264652
2021-06-29,1.17,1.1837659
2021-06-30,1.17,1.2270205
2021-07-01,1.9499999,2.056596
2021-07-02,0.78000003,0.81850255
2021-07-03,1.17,1.2041467
2021-07-04,1.5600001,1.6623869
2021-07-05,2.3600001,2.4127784
2021-07-06,2.95,3.0153387
2021-07-07,2.95,2.987299
2021-07-08,2.95,2.9808695
2021-07-09,0.59000003,0.59676516
2021-07-10,0,0.05571991
2021-07-11,1.77,1.8125417
2021-07-12,3.54,3.6131885
2021-07-13,4.7200003,4.7665257
2021-07-14,3.54,3.579485
2021-07-15,1.1800001,1.1933105
2021-07-16,4.13,4.155801
2021-07-17,1.1800001,1.1668983
2021-07-18,2.95,3.0188365
2021-07-19,6.16,6.2144547
2021-07-20,10.01,10.056592
2021-07-21,4.62,4.655733
2021-07-22,7.7,7.733937
2021-07-23,6.16,6.207853
2021-07-24,4.62,4.6418123
2021-07-25,6.9300003,6.969795
2021-07-26,3.85,3.8680756
2021-07-27,4.62,4.6575775
2021-07-28,8.47,8.490026
2021-07-29,3.85,3.8521647
2021-07-30,3.08,3.1112714
2021-07-31,9.24,9.259328
2021-08-01,6.9300003,6.967274
2021-08-02,2.8500001,2.8528507
2021-08-03,6.65,6.6867332
2021-08-04,7.6,7.640845
2021-08-05,14.25,14.271435
2021-08-06,19,19.005386
2021-08-07,17.1,17.121841
2021-08-08,6.65,6.6751842
2021-08-09,0.95,7.4119873
2021-08-10,3.8,2.9178126
2021-08-11,7.6,8.782574
2021-08-12,10.45,18.930014
2021-08-13,6.65,15.938531
2021-08-14,9.5,11.8568735
2021-08-15,4.75,10.911157
