stdDay,Delta_origin,Delta_Predicted
2021-06-13,1.12,2.2446985
2021-06-14,1.82,1.4362905
2021-06-15,0.42000002,0.6792351
2021-06-16,0.97999996,1.1583833
2021-06-17,0.7,0.90583664
2021-06-18,1.96,1.9479979
2021-06-19,1.54,1.882902
2021-06-20,1.54,2.2091212
2021-06-21,5.07,4.502482
2021-06-22,4.29,4.8619604
2021-06-23,7.02,6.9066176
2021-06-24,8.97,8.687329
2021-06-25,6.63,7.4050126
2021-06-26,4.68,4.6839213
2021-06-27,5.46,5.5132313
2021-06-28,3.8999999,4.407263
2021-06-29,5.8500004,5.4547296
2021-06-30,6.63,7.2117305
2021-07-01,3.8999999,4.043531
2021-07-02,5.07,5.0680914
2021-07-03,3.8999999,4.1502085
2021-07-04,5.8500004,6.0246477
2021-07-05,12.98,13.230742
2021-07-06,11.21,11.239996
2021-07-07,8.849999,9.195378
2021-07-08,5.9,6.312811
2021-07-09,10.03,10.042558
2021-07-10,21.240002,21.462103
2021-07-11,39.53,39.69517
2021-07-12,23.6,23.705502
2021-07-13,30.090002,30.341446
2021-07-14,52.51,52.569023
2021-07-15,51.92,51.971275
2021-07-16,47.2,47.29689
2021-07-17,52.51,52.56459
2021-07-18,58.41,58.474796
2021-07-19,56.980003,57.005352
2021-07-20,43.89,43.92587
2021-07-21,68.53,68.55571
2021-07-22,70.07,70.09285
2021-07-23,71.61,71.6566
2021-07-24,85.47,85.499886
2021-07-25,91.630005,91.66253
2021-07-26,60.06,60.0849
2021-07-27,67.76,67.78801
2021-07-28,75.46,75.47893
2021-07-29,69.3,69.310776
2021-07-30,76.23,76.25952
2021-07-31,76.23,76.276344
2021-08-01,64.68,64.68171
2021-08-02,79.799995,79.8288
2021-08-03,68.399994,68.41441
2021-08-04,108.3,108.28935
2021-08-05,77.9,77.93232
2021-08-06,93.1,93.12535
2021-08-07,124.450005,124.47532
2021-08-08,112.1,112.121994
2021-08-09,83.6,79.41213
2021-08-10,104.5,116.3021
2021-08-11,133.95,108.293144
2021-08-12,104.5,110.92694
2021-08-13,118.75,115.94734
2021-08-14,97.85,131.31084
2021-08-15,88.350006,112.160545
