stdDay,Alpha_origin,Alpha_Predicted
2021-06-13,0.12,0.1222295
2021-06-14,0.12,0.12178172
2021-06-15,0.96,0.9616066
2021-06-16,0.48,0.48296243
2021-06-17,0.24,0.2426236
2021-06-18,0.12,0.12185424
2021-06-19,0.24,0.24282739
2021-06-20,0.35999998,0.36324903
2021-06-21,0.24,0.24249871
2021-06-22,0.71999997,0.72287285
2021-06-23,0.96,0.96267056
2021-06-24,0.12,0.12280829
2021-06-25,0.24,0.24258848
2021-06-26,0.24,0.24281959
2021-06-27,0.96,0.9632419
2021-06-28,0,0.001896803
2021-06-29,0.35999998,0.36286122
2021-06-30,0.35999998,0.36277887
2021-07-01,0.6,0.6027117
2021-07-02,0.24,0.24251832
2021-07-03,0.35999998,0.36273733
2021-07-04,0.48,0.48252544
2021-07-05,0.24,0.24255118
2021-07-06,0.3,0.30276698
2021-07-07,0.3,0.30241075
2021-07-08,0.3,0.30224308
2021-07-09,0.06,0.061726436
2021-07-10,0,0.001494538
2021-07-11,0.17999999,0.18174079
2021-07-12,0.35999998,0.36249593
2021-07-13,0.48,0.48267356
2021-07-14,0.35999998,0.36249647
2021-07-15,0.12,0.12197182
2021-07-16,0.42000002,0.42175588
2021-07-17,0.12,0.12162318
2021-07-18,0.3,0.30220777
2021-07-19,0.24,0.24231993
2021-07-20,0.39,0.3922367
2021-07-21,0.17999999,0.18236467
2021-07-22,0.3,0.3004727
2021-07-23,0.24,0.2418822
2021-07-24,0.17999999,0.18245593
2021-07-25,0.27,0.27162042
2021-07-26,0.15,0.15177436
2021-07-27,0.17999999,0.18243262
2021-07-28,0.33,0.33126566
2021-07-29,0.15,0.15209843
2021-07-30,0.12,0.12168708
2021-07-31,0.35999998,0.36044556
2021-08-01,0.27,0.2716326
2021-08-02,0.03,0.031639084
2021-08-03,0.07,0.072016254
2021-08-04,0.08,0.08307414
2021-08-05,0.15,0.15132125
2021-08-06,0.19999999,0.20116015
2021-08-07,0.17999999,0.18185909
2021-08-08,0.07,0.07247234
2021-08-09,0.01,0.17815343
2021-08-10,0.04,0.05273177
2021-08-11,0.08,0.2694201
2021-08-12,0.11,0.21240492
2021-08-13,0.07,0.06261082
2021-08-14,0.099999994,0.034498807
2021-08-15,0.049999997,0.1648607
