stdDay,Alpha_origin,Alpha_Predicted
2021-06-13,0.96,0.95730996
2021-06-14,1.5600001,1.557775
2021-06-15,0.35999998,0.35758564
2021-06-16,0.84000003,0.83752483
2021-06-17,0.6,0.5981969
2021-06-18,1.6800001,1.6793069
2021-06-19,1.32,1.3162147
2021-06-20,1.32,1.3139167
2021-06-21,1.5600001,1.5560182
2021-06-22,1.32,1.3150866
2021-06-23,2.16,2.153514
2021-06-24,2.7599998,2.746967
2021-06-25,2.0400002,2.0248406
2021-06-26,1.4399999,1.4324056
2021-06-27,1.6800001,1.6718464
2021-06-28,1.2,1.1954077
2021-06-29,1.8000001,1.796537
2021-06-30,2.0400002,2.034876
2021-07-01,1.2,1.1993142
2021-07-02,1.5600001,1.5473719
2021-07-03,1.2,1.1969101
2021-07-04,1.8000001,1.7889975
2021-07-05,1.32,1.3180304
2021-07-06,1.14,1.1366469
2021-07-07,0.90000004,0.8894013
2021-07-08,0.6,0.60073394
2021-07-09,1.02,1.0100995
2021-07-10,2.16,2.1517036
2021-07-11,4.02,4.014323
2021-07-12,2.3999999,2.3893738
2021-07-13,3.06,3.0417247
2021-07-14,5.34,5.331679
2021-07-15,5.2799997,5.274993
2021-07-16,4.8,4.787206
2021-07-17,5.34,5.334046
2021-07-18,5.94,5.9385276
2021-07-19,2.22,2.2134724
2021-07-20,1.71,1.704708
2021-07-21,2.67,2.6542532
2021-07-22,2.73,2.7277906
2021-07-23,2.79,2.778261
2021-07-24,3.33,3.3224068
2021-07-25,3.5700002,3.5697854
2021-07-26,2.3400002,2.3318355
2021-07-27,2.6399999,2.6293058
2021-07-28,2.94,2.937853
2021-07-29,2.7,2.6841793
2021-07-30,2.9699998,2.956372
2021-07-31,2.9699998,2.9623175
2021-08-01,2.52,2.5109031
2021-08-02,0.84000003,0.8281626
2021-08-03,0.71999997,0.7163485
2021-08-04,1.14,1.1331756
2021-08-05,0.82000005,0.823657
2021-08-06,0.98,0.9691182
2021-08-07,1.3100001,1.2992625
2021-08-08,1.1800001,1.1756302
2021-08-09,0.88000005,0.85126954
2021-08-10,1.1,0.84919643
2021-08-11,1.4100001,0.821347
2021-08-12,1.1,1.0117632
2021-08-13,1.2500001,1.0814143
2021-08-14,1.03,0.87937593
2021-08-15,0.93,1.360605
