,Delta_origin,Delta_Predicted
2021-06-13,1.12,10.048
2021-06-14,1.82,10.901808
2021-06-15,0.42000002,11.676155
2021-06-16,0.97999996,12.335597
2021-06-17,0.7,12.985853
2021-06-18,1.96,13.407956
2021-06-19,1.54,13.776633
2021-06-20,1.54,14.047017
2021-06-21,5.07,14.357103
2021-06-22,4.29,15.293456
2021-06-23,7.02,16.249674
2021-06-24,8.97,17.374454
2021-06-25,6.63,18.278107
2021-06-26,4.68,18.902971
2021-06-27,5.46,19.649935
2021-06-28,3.8999999,20.358608
2021-06-29,5.8500004,20.694683
2021-06-30,6.63,21.039368
2021-07-01,3.8999999,21.596972
2021-07-02,5.07,22.10269
2021-07-03,3.8999999,22.655304
2021-07-04,5.8500004,23.1641
2021-07-05,12.98,23.406414
2021-07-06,11.21,23.733242
2021-07-07,8.849999,24.36878
2021-07-08,5.9,25.545649
2021-07-09,10.03,27.27024
2021-07-10,21.240002,29.675758
2021-07-11,39.53,32.011734
2021-07-12,23.6,34.954453
2021-07-13,30.090002,38.956924
2021-07-14,52.51,42.78479
2021-07-15,51.92,45.620205
2021-07-16,47.2,47.67868
2021-07-17,52.51,49.584587
2021-07-18,58.41,51.288395
2021-07-19,56.980003,53.277702
2021-07-20,43.89,55.438103
2021-07-21,68.53,57.73105
2021-07-22,70.07,60.249405
2021-07-23,71.61,62.658714
2021-07-24,85.47,65.13407
2021-07-25,91.630005,67.21562
2021-07-26,60.06,67.96237
2021-07-27,67.76,67.16714
2021-07-28,75.46,66.40266
2021-07-29,69.3,65.615425
2021-07-30,76.23,65.15249
2021-07-31,76.23,65.506775
2021-08-01,64.68,66.514656
2021-08-02,79.799995,67.84131
2021-08-03,68.399994,70.34898
2021-08-04,108.3,74.08636
2021-08-05,77.9,78.67803
2021-08-06,93.1,83.76961
2021-08-07,124.450005,89.0286
2021-08-08,112.1,93.47404
2021-08-09,83.6,97.27641
2021-08-10,104.5,100.3389
2021-08-11,133.95,103.30691
2021-08-12,104.5,105.94504
2021-08-13,118.75,108.007965
2021-08-14,97.85,110.62582
2021-08-15,88.350006,113.436485
