,Delta_origin,Delta_Predicted
2021-06-13,2.1000001,2.0478404
2021-06-14,2.8,1.7987287
2021-06-15,2.24,1.9867367
2021-06-16,2.24,1.5298734
2021-06-17,0.98,1.3702384
2021-06-18,1.54,1.6532809
2021-06-19,1.8200002,1.8075863
2021-06-20,2.24,1.7270619
2021-06-21,7.02,3.5263636
2021-06-22,1.17,1.8320584
2021-06-23,2.73,2.3622568
2021-06-24,1.17,1.7741439
2021-06-25,1.95,3.151609
2021-06-26,5.07,4.683367
2021-06-27,3.12,3.0232189
2021-06-28,1.95,1.5954281
2021-06-29,3.12,2.1838484
2021-06-30,4.29,3.8165777
2021-07-01,2.73,2.1010501
2021-07-02,3.51,3.0953858
2021-07-03,3.12,3.2141607
2021-07-04,1.17,1.5935557
2021-07-05,3.54,3.1646495
2021-07-06,4.72,4.256865
2021-07-07,7.67,7.7294655
2021-07-08,8.85,7.776611
2021-07-09,11.210001,10.8854885
2021-07-10,8.26,8.281505
2021-07-11,13.570001,12.845958
2021-07-12,21.83,20.432423
2021-07-13,22.42,21.444395
2021-07-14,30.68,29.623226
2021-07-15,30.09,28.757122
2021-07-16,18.88,18.466011
2021-07-17,17.109999,16.955847
2021-07-18,24.779999,23.811287
2021-07-19,25.41,24.540836
2021-07-20,23.1,22.007294
2021-07-21,26.949999,26.368658
2021-07-22,29.260002,28.409622
2021-07-23,46.2,45.67937
2021-07-24,40.04,39.653095
2021-07-25,53.13,51.903255
2021-07-26,46.2,45.30802
2021-07-27,53.13,51.972527
2021-07-28,42.350002,41.478176
2021-07-29,43.120003,41.97159
2021-07-30,47.739998,47.104244
2021-07-31,35.42,34.780384
2021-08-01,17.71,17.168304
2021-08-02,24.699999,24.048565
2021-08-03,35.15,34.515575
2021-08-04,71.25,70.37507
2021-08-05,114.95,114.722595
2021-08-06,79.799995,78.79849
2021-08-07,64.6,63.79802
2021-08-08,59.85,58.802383
2021-08-09,81.700005,61.174755
2021-08-10,76.0,67.370316
2021-08-11,62.7,66.41774
2021-08-12,37.05,54.029575
2021-08-13,54.15,39.630505
2021-08-14,77.9,64.193245
2021-08-15,54.15,59.405308
