,Alpha_origin,Alpha_Predicted
2021-06-13,1.8000001,0.82577467
2021-06-14,2.3999999,1.2063737
2021-06-15,1.9200001,0.94148237
2021-06-16,1.9200001,0.71803063
2021-06-17,0.84,1.0051141
2021-06-18,1.3199999,1.2445499
2021-06-19,1.56,1.1753316
2021-06-20,1.9200001,1.1881145
2021-06-21,2.1599998,1.2563928
2021-06-22,0.35999998,1.4675524
2021-06-23,0.84,1.4938306
2021-06-24,0.35999998,1.7512124
2021-06-25,0.59999996,1.5623404
2021-06-26,1.56,1.1497879
2021-06-27,0.96000004,1.1080331
2021-06-28,0.59999996,1.2064973
2021-06-29,0.96000004,1.1516587
2021-06-30,1.3199999,0.92173153
2021-07-01,0.84,1.0921096
2021-07-02,1.0799999,0.9110869
2021-07-03,0.96000004,0.76550204
2021-07-04,0.35999998,0.90570813
2021-07-05,0.35999998,1.1063193
2021-07-06,0.48000002,1.3173275
2021-07-07,0.78,0.89364594
2021-07-08,0.90000004,0.8961414
2021-07-09,1.14,1.0561987
2021-07-10,0.84,1.2861935
2021-07-11,1.38,1.5072074
2021-07-12,2.22,1.4041728
2021-07-13,2.28,1.9131492
2021-07-14,3.12,2.4708378
2021-07-15,3.06,2.5999827
2021-07-16,1.9200001,1.9669834
2021-07-17,1.74,2.5282125
2021-07-18,2.52,3.1995244
2021-07-19,0.99,1.7421658
2021-07-20,0.90000004,1.5585241
2021-07-21,1.05,1.5318623
2021-07-22,1.14,1.3672056
2021-07-23,1.8000001,1.7365428
2021-07-24,1.56,1.4420485
2021-07-25,2.07,1.7119392
2021-07-26,1.8000001,1.5576435
2021-07-27,2.07,1.4997636
2021-07-28,1.65,1.4540712
2021-07-29,1.68,1.8496165
2021-07-30,1.86,1.5080283
2021-07-31,1.38,1.4609762
2021-08-01,0.69,1.3357731
2021-08-02,0.26,1.113741
2021-08-03,0.37,1.1359537
2021-08-04,0.75,1.0537106
2021-08-05,1.2099999,0.8918868
2021-08-06,0.84,0.90578
2021-08-07,0.68,0.8177921
2021-08-08,0.63,1.0047686
2021-08-09,0.86,1.0216739
2021-08-10,0.8,0.8100939
2021-08-11,0.65999997,0.78889877
2021-08-12,0.39,0.8653921
2021-08-13,0.57,0.95422995
2021-08-14,0.82,0.9040348
2021-08-15,0.57,1.0086495
