,22D_origin,22D_Predicted
2023-02-19,406.80002,406.5953
2023-02-20,162.72,162.52138
2023-02-21,406.80002,406.41144
2023-02-22,433.44,433.36453
2023-02-23,366.48,366.32187
2023-02-24,401.04,400.86154
2023-02-25,362.88,362.75247
2023-02-26,255.6,255.39136
2023-02-27,161.46999,161.16232
2023-02-28,339.69,339.49692
2023-03-01,362.47,362.16827
2023-03-02,227.12999,226.72874
2023-03-03,290.78,290.52502
2023-03-04,337.01,336.9752
2023-03-05,343.71,343.37238
2023-03-06,0.0,-0.0010568239
2023-03-07,429.47,429.31497
2023-03-08,377.88,377.62955
2023-03-09,314.22998,313.79355
2023-03-10,274.03,273.56305
2023-03-11,278.05,277.49533
2023-03-12,240.53001,240.26123
2023-03-13,119.840004,119.690735
2023-03-14,289.52002,289.28824
2023-03-15,239.12,238.78004
2023-03-16,216.16,215.87209
2023-03-17,221.2,220.88023
2023-03-18,211.68001,211.07007
2023-03-19,240.23999,239.82031
2023-03-20,62.72,62.308926
2023-03-21,299.6,299.3113
2023-03-22,280.0,279.5529
2023-03-23,223.44,223.17784
2023-03-24,224.0,223.62723
2023-03-25,197.12,196.64297
2023-03-26,205.52,205.19102
2023-03-27,44.85,44.482166
2023-03-28,173.55,173.01451
2023-03-29,162.24,161.93483
2023-03-30,144.69,144.53284
2023-03-31,144.3,143.76366
2023-04-01,145.08,144.76088
2023-04-02,141.95999,141.55466
2023-04-03,56.160004,55.353443
2023-04-04,160.29001,159.97649
2023-04-05,193.44,193.84775
2023-04-06,145.47,145.18913
2023-04-07,131.43001,132.0681
2023-04-08,122.06999,122.36137
2023-04-09,125.58,125.1452
2023-04-10,23.4,22.915653
2023-04-11,98.02,97.82385
2023-04-12,104.78,104.10968
2023-04-13,88.4,88.706474
2023-04-14,85.28,85.32082
2023-04-15,91.26,91.43453
2023-04-16,74.88,75.00666
2023-04-17,25.740002,26.72408
2023-04-18,113.09999,112.67527
2023-04-19,133.38,132.47415
2023-04-20,103.74,102.803444
2023-04-21,114.920006,113.63808
2023-04-22,128.44,127.46634
2023-04-23,86.840004,86.720726
2023-04-24,31.92,31.771223
2023-04-25,81.51,81.236664
2023-04-26,81.51,81.22059
2023-04-27,75.24,74.9175
2023-04-28,72.01,77.11295
2023-04-29,85.88,79.62662
2023-04-30,75.24,81.95143
2023-05-01,23.18,25.838802
2023-05-02,91.200005,93.459076
2023-05-03,88.16,87.16655
2023-05-04,111.340004,89.75147
