stdDay,incDec,alpha_variants,delta_variants
2021-04-12,162.0,42.120000000000005,3.24
2021-04-13,158.0,41.08,3.16
2021-04-14,247.0,64.22,4.94
2021-04-15,217.0,56.42,4.34
2021-04-16,216.0,56.160000000000004,4.32
2021-04-17,217.0,56.42,4.34
2021-04-18,204.0,53.04,4.08
2021-04-19,137.0,35.620000000000005,2.74
2021-04-20,148.0,38.480000000000004,2.96
2021-04-21,218.0,56.68,4.36
2021-04-22,230.0,59.800000000000004,4.6000000000000005
2021-04-23,204.0,53.04,4.08
2021-04-24,253.0,65.78,5.0600000000000005
2021-04-25,175.0,45.5,3.5
2021-04-26,154.0,47.74,6.16
2021-04-27,116.0,35.96,4.64
2021-04-28,257.0,79.67,10.28
2021-04-29,227.0,70.37,9.08
2021-04-30,227.0,70.37,9.08
2021-05-01,195.0,60.45,7.8
2021-05-02,182.0,56.42,7.28
2021-05-03,127.0,39.37,5.08
2021-05-04,184.0,57.04,7.36
2021-05-05,238.0,73.78,9.52
2021-05-06,212.0,65.72,8.48
2021-05-07,179.0,55.49,7.16
2021-05-08,242.0,75.02,9.68
2021-05-09,195.0,60.45,7.8
2021-05-10,141.0,40.89,4.2299999999999995
2021-05-11,163.0,47.269999999999996,4.89
2021-05-12,222.0,64.38,6.66
2021-05-13,227.0,65.83,6.81
2021-05-14,231.0,66.99,6.93
2021-05-15,254.0,73.66,7.62
2021-05-16,213.0,61.769999999999996,6.39
2021-05-17,195.0,56.55,5.85
2021-05-18,172.0,49.879999999999995,5.16
2021-05-19,249.0,72.21,7.47
2021-05-20,242.0,70.17999999999999,7.26
2021-05-21,172.0,49.879999999999995,5.16
2021-05-22,208.0,60.31999999999999,6.24
2021-05-23,181.0,52.489999999999995,5.43
2021-05-24,139.0,6.95,4.17
2021-05-25,138.0,6.9,4.14
2021-05-26,261.0,13.05,7.83
2021-05-27,218.0,10.9,6.54
2021-05-28,214.0,10.700000000000001,6.42
2021-05-29,194.0,9.700000000000001,5.819999999999999
2021-05-30,160.0,8.0,4.8
2021-05-31,130.0,6.5,3.9
2021-06-01,147.0,7.3500000000000005,4.41
2021-06-02,258.0,12.9,7.739999999999999
2021-06-03,215.0,10.75,6.45
2021-06-04,206.0,10.3,6.18
2021-06-05,277.0,13.850000000000001,8.31
2021-06-06,179.0,8.950000000000001,5.37
2021-06-07,159.0,19.08,22.26
2021-06-08,139.0,16.68,19.46
2021-06-09,183.0,21.96,25.62
2021-06-10,212.0,25.439999999999998,29.680000000000003
2021-06-11,204.0,24.48,28.560000000000002
2021-06-12,208.0,24.96,29.120000000000005
2021-06-13,176.0,21.119999999999997,24.64
2021-06-14,122.0,14.639999999999999,17.080000000000002
2021-06-15,131.0,15.719999999999999,18.340000000000003
2021-06-16,201.0,24.119999999999997,28.140000000000004
2021-06-17,201.0,24.119999999999997,28.140000000000004
2021-06-18,200.0,24.0,28.000000000000004
2021-06-19,197.0,23.64,27.580000000000002
2021-06-20,165.0,19.8,23.1
2021-06-21,134.0,16.08,52.260000000000005
2021-06-22,131.0,15.719999999999999,51.09
2021-06-23,236.0,28.32,92.04
2021-06-24,252.0,30.24,98.28
2021-06-25,269.0,32.28,104.91
2021-06-26,263.0,31.56,102.57000000000001
2021-06-27,242.0,29.04,94.38000000000001
2021-06-28,185.0,22.2,72.15
2021-06-29,205.0,24.599999999999998,79.95
2021-06-30,375.0,45.0,146.25
2021-07-01,333.0,39.96,129.87
2021-07-02,346.0,41.519999999999996,134.94
2021-07-03,359.0,43.08,140.01
2021-07-04,289.0,34.68,112.71000000000001
2021-07-05,307.0,18.419999999999998,181.13
2021-07-06,320.0,19.2,188.79999999999998
2021-07-07,582.0,34.92,343.38
2021-07-08,550.0,33.0,324.5
2021-07-09,503.0,30.18,296.77
2021-07-10,509.0,30.54,300.31
2021-07-11,509.0,30.54,300.31
2021-07-12,403.0,24.18,237.76999999999998
2021-07-13,417.0,25.02,246.03
2021-07-14,637.0,38.22,375.83
2021-07-15,519.0,31.14,306.21
2021-07-16,569.0,34.14,335.71
2021-07-17,559.0,33.54,329.81
2021-07-18,522.0,31.32,307.97999999999996
2021-07-19,419.0,12.57,322.63
2021-07-20,394.0,11.82,303.38
2021-07-21,604.0,18.12,465.08
2021-07-22,499.0,14.969999999999999,384.23
2021-07-23,519.0,15.57,399.63
2021-07-24,465.0,13.95,358.05
2021-07-25,489.0,14.67,376.53000000000003
2021-07-26,341.0,10.23,262.57
2021-07-27,351.0,10.53,270.27
2021-07-28,573.0,17.189999999999998,441.21000000000004
2021-07-29,514.0,15.42,395.78000000000003
2021-07-30,488.0,14.639999999999999,375.76
2021-07-31,475.0,14.25,365.75
2021-08-01,473.0,14.19,364.21000000000004
2021-08-02,364.0,3.64,345.8
2021-08-03,311.0,3.11,295.45
2021-08-04,486.0,4.86,461.7
2021-08-05,466.0,4.66,442.7
2021-08-06,464.0,4.64,440.79999999999995
2021-08-07,503.0,5.03,477.84999999999997
2021-08-08,450.0,4.5,427.5
2021-08-09,415.0,4.15,394.25
2021-08-10,359.0,3.59,341.05
2021-08-11,660.0,6.6000000000000005,627.0
2021-08-12,526.0,5.26,499.7
2021-08-13,524.0,5.24,497.79999999999995
2021-08-14,513.0,5.13,487.34999999999997
2021-08-15,488.0,4.88,463.59999999999997
