stdDay,incDec,alpha_variants,delta_variants
2021-04-12,15.0,3.9000000000000004,0.3
2021-04-13,10.0,2.6,0.2
2021-04-14,14.0,3.64,0.28
2021-04-15,19.0,4.94,0.38
2021-04-16,24.0,6.24,0.48
2021-04-17,29.0,7.54,0.58
2021-04-18,28.0,7.28,0.56
2021-04-19,19.0,4.94,0.38
2021-04-20,21.0,5.46,0.42
2021-04-21,16.0,4.16,0.32
2021-04-22,23.0,5.98,0.46
2021-04-23,22.0,5.720000000000001,0.44
2021-04-24,32.0,8.32,0.64
2021-04-25,24.0,6.24,0.48
2021-04-26,25.0,7.75,1.0
2021-04-27,22.0,6.82,0.88
2021-04-28,25.0,7.75,1.0
2021-04-29,28.0,8.68,1.12
2021-04-30,29.0,8.99,1.16
2021-05-01,12.0,3.7199999999999998,0.48
2021-05-02,30.0,9.3,1.2
2021-05-03,32.0,9.92,1.28
2021-05-04,22.0,6.82,0.88
2021-05-05,38.0,11.78,1.52
2021-05-06,22.0,6.82,0.88
2021-05-07,12.0,3.7199999999999998,0.48
2021-05-08,21.0,6.51,0.84
2021-05-09,19.0,5.89,0.76
2021-05-10,19.0,5.51,0.57
2021-05-11,15.0,4.35,0.44999999999999996
2021-05-12,7.0,2.03,0.21
2021-05-13,23.0,6.67,0.69
2021-05-14,35.0,10.149999999999999,1.05
2021-05-15,19.0,5.51,0.57
2021-05-16,11.0,3.19,0.32999999999999996
2021-05-17,27.0,7.829999999999999,0.8099999999999999
2021-05-18,23.0,6.67,0.69
2021-05-19,24.0,6.959999999999999,0.72
2021-05-20,33.0,9.569999999999999,0.99
2021-05-21,11.0,3.19,0.32999999999999996
2021-05-22,16.0,4.64,0.48
2021-05-23,12.0,3.4799999999999995,0.36
2021-05-24,12.0,0.6000000000000001,0.36
2021-05-25,12.0,0.6000000000000001,0.36
2021-05-26,9.0,0.45,0.27
2021-05-27,12.0,0.6000000000000001,0.36
2021-05-28,14.0,0.7000000000000001,0.42
2021-05-29,13.0,0.65,0.39
2021-05-30,9.0,0.45,0.27
2021-05-31,18.0,0.9,0.54
2021-06-01,9.0,0.45,0.27
2021-06-02,12.0,0.6000000000000001,0.36
2021-06-03,11.0,0.55,0.32999999999999996
2021-06-04,11.0,0.55,0.32999999999999996
2021-06-05,10.0,0.5,0.3
2021-06-06,10.0,0.5,0.3
2021-06-07,9.0,1.08,1.2600000000000002
2021-06-08,7.0,0.84,0.9800000000000001
2021-06-09,13.0,1.56,1.8200000000000003
2021-06-10,11.0,1.3199999999999998,1.54
2021-06-11,6.0,0.72,0.8400000000000001
2021-06-12,5.0,0.6,0.7000000000000001
2021-06-13,7.0,0.84,0.9800000000000001
2021-06-14,4.0,0.48,0.56
2021-06-15,5.0,0.6,0.7000000000000001
2021-06-16,3.0,0.36,0.42000000000000004
2021-06-17,3.0,0.36,0.42000000000000004
2021-06-18,11.0,1.3199999999999998,1.54
2021-06-19,4.0,0.48,0.56
2021-06-20,6.0,0.72,0.8400000000000001
2021-06-21,8.0,0.96,3.12
2021-06-22,11.0,1.3199999999999998,4.29
2021-06-23,21.0,2.52,8.19
2021-06-24,29.0,3.48,11.31
2021-06-25,7.0,0.84,2.73
2021-06-26,9.0,1.08,3.5100000000000002
2021-06-27,4.0,0.48,1.56
2021-06-28,1.0,0.12,0.39
2021-06-29,6.0,0.72,2.34
2021-06-30,4.0,0.48,1.56
2021-07-01,5.0,0.6,1.9500000000000002
2021-07-02,7.0,0.84,2.73
2021-07-03,4.0,0.48,1.56
2021-07-04,9.0,1.08,3.5100000000000002
2021-07-05,13.0,0.78,7.67
2021-07-06,11.0,0.6599999999999999,6.489999999999999
2021-07-07,6.0,0.36,3.54
2021-07-08,4.0,0.24,2.36
2021-07-09,9.0,0.54,5.31
2021-07-10,13.0,0.78,7.67
2021-07-11,12.0,0.72,7.08
2021-07-12,13.0,0.78,7.67
2021-07-13,8.0,0.48,4.72
2021-07-14,22.0,1.3199999999999998,12.979999999999999
2021-07-15,13.0,0.78,7.67
2021-07-16,12.0,0.72,7.08
2021-07-17,16.0,0.96,9.44
2021-07-18,15.0,0.8999999999999999,8.85
2021-07-19,19.0,0.57,14.63
2021-07-20,19.0,0.57,14.63
2021-07-21,25.0,0.75,19.25
2021-07-22,29.0,0.87,22.330000000000002
2021-07-23,16.0,0.48,12.32
2021-07-24,21.0,0.63,16.17
2021-07-25,28.0,0.84,21.560000000000002
2021-07-26,22.0,0.6599999999999999,16.94
2021-07-27,25.0,0.75,19.25
2021-07-28,33.0,0.99,25.41
2021-07-29,22.0,0.6599999999999999,16.94
2021-07-30,37.0,1.1099999999999999,28.490000000000002
2021-07-31,19.0,0.57,14.63
2021-08-01,28.0,0.84,21.560000000000002
2021-08-02,31.0,0.31,29.45
2021-08-03,25.0,0.25,23.75
2021-08-04,48.0,0.48,45.599999999999994
2021-08-05,60.0,0.6,57.0
2021-08-06,56.0,0.56,53.199999999999996
2021-08-07,49.0,0.49,46.55
2021-08-08,56.0,0.56,53.199999999999996
2021-08-09,30.0,0.3,28.5
2021-08-10,59.0,0.59,56.05
2021-08-11,67.0,0.67,63.65
2021-08-12,63.0,0.63,59.849999999999994
2021-08-13,82.0,0.8200000000000001,77.89999999999999
2021-08-14,54.0,0.54,51.3
2021-08-15,76.0,0.76,72.2
