deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,45,충북,Chungcheongbuk-do,0,27,18,0,0,2.81,2020-04-07
0,45,충북,Chungcheongbuk-do,0,27,18,0,0,2.81,2020-04-08
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-09
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-10
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-11
0,45,충북,Chungcheongbuk-do,0,29,16,0,0,2.81,2020-04-12
0,45,충북,Chungcheongbuk-do,0,31,14,0,0,2.81,2020-04-13
0,45,충북,Chungcheongbuk-do,0,31,14,0,0,2.81,2020-04-14
0,45,충북,Chungcheongbuk-do,0,32,13,0,0,2.81,2020-04-15
0,45,충북,Chungcheongbuk-do,0,34,11,0,0,2.81,2020-04-16
0,45,충북,Chungcheongbuk-do,0,37,8,0,0,2.81,2020-04-17
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-18
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-19
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-20
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-21
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-22
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-23
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-24
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-25
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-26
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-27
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-28
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-29
0,45,충북,Chungcheongbuk-do,0,40,5,0,0,2.81,2020-04-30
0,45,충북,Chungcheongbuk-do,0,40,5,0,0,2.81,2020-05-01
0,45,충북,Chungcheongbuk-do,0,40,5,0,0,2.81,2020-05-02
0,45,충북,Chungcheongbuk-do,0,41,4,0,0,2.81,2020-05-03
0,45,충북,Chungcheongbuk-do,0,41,4,0,0,2.81,2020-05-04
0,45,충북,Chungcheongbuk-do,0,41,4,0,0,2.81,2020-05-05
0,45,충북,Chungcheongbuk-do,0,41,4,0,0,2.81,2020-05-06
0,46,충북,Chungcheongbuk-do,1,41,5,0,1,2.88,2020-05-07
0,47,충북,Chungcheongbuk-do,1,41,6,0,1,2.94,2020-05-08
0,47,충북,Chungcheongbuk-do,0,41,6,0,0,2.94,2020-05-09
0,49,충북,Chungcheongbuk-do,2,42,7,2,0,3.06,2020-05-10
0,52,충북,Chungcheongbuk-do,3,42,10,3,0,3.25,2020-05-11
0,52,충북,Chungcheongbuk-do,0,42,10,0,0,3.25,2020-05-12
0,52,충북,Chungcheongbuk-do,0,43,9,0,0,3.25,2020-05-13
0,55,충북,Chungcheongbuk-do,3,43,12,3,0,3.44,2020-05-14
0,55,충북,Chungcheongbuk-do,0,43,12,0,0,3.44,2020-05-15
0,56,충북,Chungcheongbuk-do,1,43,13,1,0,3.5,2020-05-16
0,56,충북,Chungcheongbuk-do,0,43,13,0,0,3.5,2020-05-17
0,59,충북,Chungcheongbuk-do,3,43,16,2,1,3.69,2020-05-18
0,59,충북,Chungcheongbuk-do,0,43,16,0,0,3.69,2020-05-19
0,59,충북,Chungcheongbuk-do,0,44,15,0,0,3.69,2020-05-20
0,59,충북,Chungcheongbuk-do,0,44,15,0,0,3.69,2020-05-21
0,59,충북,Chungcheongbuk-do,0,44,15,0,0,3.69,2020-05-22
0,59,충북,Chungcheongbuk-do,0,45,14,0,0,3.69,2020-05-23
0,59,충북,Chungcheongbuk-do,0,46,13,0,0,3.69,2020-05-24
0,59,충북,Chungcheongbuk-do,0,46,13,0,0,3.69,2020-05-25
0,60,충북,Chungcheongbuk-do,1,46,14,1,0,3.75,2020-05-26
0,60,충북,Chungcheongbuk-do,0,46,14,0,0,3.75,2020-05-27
0,60,충북,Chungcheongbuk-do,0,46,14,0,0,3.75,2020-05-28
0,60,충북,Chungcheongbuk-do,0,46,14,0,0,3.75,2020-05-29
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-05-30
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-05-31
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-01
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-02
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-03
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-04
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-05
0,60,충북,Chungcheongbuk-do,0,49,11,0,0,3.75,2020-06-06
0,61,충북,Chungcheongbuk-do,1,49,12,0,1,3.81,2020-06-07
0,61,충북,Chungcheongbuk-do,0,49,12,0,0,3.81,2020-06-08
0,61,충북,Chungcheongbuk-do,0,49,12,0,0,3.81,2020-06-09
0,61,충북,Chungcheongbuk-do,0,49,12,0,0,3.81,2020-06-10
0,61,충북,Chungcheongbuk-do,0,52,9,0,0,3.81,2020-06-11
0,61,충북,Chungcheongbuk-do,0,52,9,0,0,3.81,2020-06-12
0,61,충북,Chungcheongbuk-do,0,52,9,0,0,3.81,2020-06-13
0,61,충북,Chungcheongbuk-do,0,52,9,0,0,3.81,2020-06-14
0,61,충북,Chungcheongbuk-do,0,52,9,0,0,3.81,2020-06-15
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-16
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-17
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-18
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-19
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-20
0,61,충북,Chungcheongbuk-do,0,55,6,0,0,3.81,2020-06-21
0,61,충북,Chungcheongbuk-do,0,56,5,0,0,3.81,2020-06-22
0,62,충북,Chungcheongbuk-do,1,56,6,0,1,3.88,2020-06-23
0,62,충북,Chungcheongbuk-do,0,56,6,0,0,3.88,2020-06-24
0,62,충북,Chungcheongbuk-do,0,57,5,0,0,3.88,2020-06-25
0,62,충북,Chungcheongbuk-do,0,60,2,0,0,3.88,2020-06-26
0,63,충북,Chungcheongbuk-do,1,60,3,0,1,3.94,2020-06-27
0,64,충북,Chungcheongbuk-do,1,60,4,1,0,4.0,2020-06-28
0,64,충북,Chungcheongbuk-do,0,60,4,0,0,4.0,2020-06-29
0,64,충북,Chungcheongbuk-do,0,60,4,0,0,4.0,2020-06-30
0,64,충북,Chungcheongbuk-do,0,60,4,0,0,4.0,2020-07-01
0,64,충북,Chungcheongbuk-do,0,61,3,0,0,4.0,2020-07-02
0,64,충북,Chungcheongbuk-do,0,61,3,0,0,4.0,2020-07-03
0,66,충북,Chungcheongbuk-do,2,61,5,2,0,4.13,2020-07-04
0,66,충북,Chungcheongbuk-do,0,61,5,0,0,4.13,2020-07-05
0,66,충북,Chungcheongbuk-do,0,61,5,0,0,4.13,2020-07-06
0,66,충북,Chungcheongbuk-do,0,62,4,0,0,4.13,2020-07-07
0,66,충북,Chungcheongbuk-do,0,62,4,0,0,4.13,2020-07-08
0,66,충북,Chungcheongbuk-do,0,63,3,0,0,4.13,2020-07-09
0,68,충북,Chungcheongbuk-do,2,63,5,0,2,4.25,2020-07-10
0,68,충북,Chungcheongbuk-do,0,63,5,0,0,4.25,2020-07-11
0,68,충북,Chungcheongbuk-do,0,63,5,0,0,4.25,2020-07-12
0,69,충북,Chungcheongbuk-do,1,63,6,0,1,4.31,2020-07-13
0,70,충북,Chungcheongbuk-do,1,63,7,1,0,4.38,2020-07-14
0,70,충북,Chungcheongbuk-do,0,63,7,0,0,4.38,2020-07-15
0,71,충북,Chungcheongbuk-do,1,63,8,0,1,4.44,2020-07-16
0,71,충북,Chungcheongbuk-do,0,64,7,0,0,4.44,2020-07-17
0,71,충북,Chungcheongbuk-do,0,64,7,0,0,4.44,2020-07-18
0,71,충북,Chungcheongbuk-do,0,64,7,0,0,4.44,2020-07-19
0,71,충북,Chungcheongbuk-do,0,64,7,0,0,4.44,2020-07-20
0,71,충북,Chungcheongbuk-do,0,66,5,0,0,4.44,2020-07-21
0,72,충북,Chungcheongbuk-do,1,66,6,0,1,4.5,2020-07-22
0,72,충북,Chungcheongbuk-do,0,67,5,0,0,4.5,2020-07-23
0,72,충북,Chungcheongbuk-do,0,67,5,0,0,4.5,2020-07-24
0,72,충북,Chungcheongbuk-do,0,67,5,0,0,4.5,2020-07-25
0,72,충북,Chungcheongbuk-do,0,67,5,0,0,4.5,2020-07-26
0,73,충북,Chungcheongbuk-do,1,67,6,0,1,4.56,2020-07-27
0,73,충북,Chungcheongbuk-do,0,67,6,0,0,4.56,2020-07-28
0,73,충북,Chungcheongbuk-do,0,69,4,0,0,4.56,2020-07-29
0,73,충북,Chungcheongbuk-do,0,70,3,0,0,4.56,2020-07-30
0,73,충북,Chungcheongbuk-do,0,70,3,0,0,4.56,2020-07-31
