,Alpha_origin,Alpha_Predicted
2021-06-13,0.12,0.048583478
2021-06-14,0.24,0.20238836
2021-06-15,0.48,0.4230834
2021-06-16,0.24,0.34283417
2021-06-17,0.84,0.8080634
2021-06-18,0.48,0.63206655
2021-06-19,0.6,0.64763033
2021-06-20,0.36,0.4145184
2021-06-21,0.36,0.32183072
2021-06-22,0.24,0.30513296
2021-06-23,0.24,0.38580564
2021-06-24,0.72,0.44608155
2021-06-25,0.24,0.3536255
2021-06-26,0.6,0.52446216
2021-06-27,0.72,0.6522949
2021-06-28,0.24,0.20795192
2021-06-29,0.84,0.8495258
2021-06-30,1.2,1.2714309
2021-07-01,0.84,0.86331356
2021-07-02,0.84,0.6823973
2021-07-03,0.48,0.45559537
2021-07-04,0.36,0.37735522
2021-07-05,0.36,0.3557235
2021-07-06,0.36,0.39584488
2021-07-07,0.48,0.38284785
2021-07-08,0.18,0.26238433
2021-07-09,0.48,0.4573993
2021-07-10,0.84,0.85954934
2021-07-11,0.12,0.09206883
2021-07-12,0.24,0.13732927
2021-07-13,1.08,1.128627
2021-07-14,0.54,0.57033724
2021-07-15,1.44,1.4840627
2021-07-16,0.78000003,0.76361847
2021-07-17,0.48,0.46307367
2021-07-18,0.3,0.28830335
2021-07-19,0.3,0.27222115
2021-07-20,0.45,0.4342989
2021-07-21,0.57,0.5475859
2021-07-22,0.12,-0.0046772957
2021-07-23,0.3,0.32067132
2021-07-24,1.26,1.3266902
2021-07-25,0.21,0.33496043
2021-07-26,0.72,0.69174385
2021-07-27,0.96,0.76986307
2021-07-28,0.69,0.8336469
2021-07-29,0.93000007,0.8479698
2021-07-30,0.69,0.60530686
2021-07-31,0.42,0.36290962
2021-08-01,0.42,0.39276436
2021-08-02,0.13000001,0.09750345
2021-08-03,0.16,0.07891452
2021-08-04,0.32999998,0.4126234
2021-08-05,0.19000001,0.13292079
2021-08-06,0.34,0.4796529
2021-08-07,0.2,0.22724134
2021-08-08,0.2,0.30272147
2021-08-09,0.21,0.33746302
2021-08-10,0.31,0.33227563
2021-08-11,0.31,0.32064673
2021-08-12,0.24,0.28405392
2021-08-13,0.27,0.26071456
2021-08-14,0.21,0.25647852
2021-08-15,0.12,0.26504925
