,Infected,predicted_Infected
2020-12-26,168,169.79166666666669
2020-12-27,163,169.03067484662577
2020-12-28,164,161.0121951219512
2020-12-29,162,168.0493827160494
2020-12-30,166,158.09638554216866
2020-12-31,162,172.14814814814818
2021-01-01,168,161.03571428571428
2021-01-02,167,173.02994011976045
2021-01-03,172,169.9127906976744
2021-01-04,175,171.01714285714286
2021-01-05,174,148.8505747126437
2021-01-06,148,171.64864864864865
2021-01-07,146,142.93150684931507
2021-01-08,141,139.7872340425532
2021-01-09,135,136.8222222222222
2021-01-10,131,132.93893129770993
2021-01-11,129,107.64341085271319
2021-01-12,106,116.83018867924527
2021-01-13,96,101.58333333333334
2021-01-14,92,87.65217391304347
2021-01-15,84,93.09523809523809
2021-01-16,85,79.05882352941175
2021-01-17,80,80.75
2021-01-18,76,78.94736842105263
2021-01-19,75,67.89333333333332
2021-01-20,67,64.92537313432837
2021-01-21,58,58.91379310344828
2021-01-22,51,53.45098039215686
2021-01-23,47,46.65957446808511
2021-01-24,43,182.53488372093025
2021-01-25,167,42.22754491017964
2021-01-26,164,158.85365853658536
2021-01-27,156,165.05128205128204
2021-01-28,157,154.0127388535032
2021-01-29,155,153.96129032258065
2021-01-30,152,151.94078947368422
2021-01-31,149,150.97986577181206
2021-02-01,148,141.9527027027027
2021-02-02,141,154.29787234042553
2021-02-03,147,142.91836734693877
2021-02-04,149,146.01342281879195
2021-02-05,148,156.04729729729726
2021-02-06,155,153.7290322580645
2021-02-07,161,38.50931677018634
2021-02-08,40,152.95000000000002
2021-02-09,38,38.94736842105263
2021-02-10,37,36.972972972972975
2021-02-11,36,37.0
2021-02-12,36,39.0
2021-02-13,39,37.84615384615385
2021-02-14,41,45.65853658536585
2021-02-15,48,44.416666666666664
2021-02-16,52,48.0
2021-02-17,52,62.0
2021-02-18,62,55.354838709677416
2021-02-19,66,56.36363636363636
2021-02-20,60,59.4
2021-02-21,54,58.8888888888889
2021-02-22,53,52.981132075471706
2021-02-23,52,55.03846153846153
2021-02-24,54,55.52119374628151
2021-02-25,51,57.80628617474632
2021-02-26,56,56.59507049543099
2021-02-27,53,51.63036495446102
2021-02-28,52,50.164787100628224
2021-03-01,44,45.602958770298805
2021-03-02,41,41.60670923309915
2021-03-03,36,34.410844955623894
2021-03-04,27,22.43163964033135
2021-03-05,23,19.34278040612165
2021-03-06,21,17.67455731057781
2021-03-07,22,28.572483855249864
2021-03-08,19,23.82658198530158
