stdDay,Alpha_alpha,predicted_Alpha_alpha,Alpha_Infected,predicted_Alpha_Infected
2021-06-13,0.059814172,0.109340213,40.3,14.20116145
2021-06-14,0.046863308,0.072261177,41.15,15.20095008
2021-06-15,0.047069517,0.092748754,40.97,41.1198682
2021-06-16,0.020608142,0.064703725,40.94,38.10790425
2021-06-17,0.034816545,0.05054738,38.08,38.86504727
2021-06-18,0.0433438,0.060871489,36.15,37.56383956
2021-06-19,0.054079535,0.068755791,35.66,35.76477846
2021-06-20,0.061495191,0.055512048,35.28,34.68965986
2021-06-21,0.010535969,0.063662231,34.32,31.5793007
2021-06-22,0.027464891,0.06419228,30.72,29.3596875
2021-06-23,0.01375936,0.043407448,26.28,26.93260274
2021-06-24,0.026157149,0.069933012,23.04,23.679375
2021-06-25,0.075477898,0.028414968,20.76,21.70820809
2021-06-26,0.049297774,0.044915564,19.56,19.86846626
2021-06-27,0.032193767,0.085547239,18.72,17.67923077
2021-06-28,0.056989936,0.037849985,16.92,17.65787234
2021-06-29,0.083074895,0.046063352,15.96,16.28390977
2021-06-30,0.054931168,0.07602746,15.36,15.96
2021-07-01,0.070625996,0.074588574,15.36,15.12
2021-07-02,0.063775391,0.07567814,15.12,14.75047619
2021-07-03,0.02490411,0.062450018,14.52,13.49553719
2021-07-04,0.027901863,0.084168382,12.96,12.50333333
2021-07-05,0.043202993,0.049988687,11.16,13.09935484
2021-07-06,0.069458237,0.069284923,11.28,11.1006383
2021-07-07,0.080573138,0.069224209,11.22,11.8228877
2021-07-08,0.097373526,0.082413577,11.76,11.73520408
2021-07-09,0.068599509,0.107716441,12.3,11.07160976
2021-07-10,0.119707102,0.076575376,11.58,12.74611399
2021-07-11,0.185834062,0.084909379,12,13.1433
2021-07-12,0.168158214,0.14211376,13.62,13.16299559
2021-07-13,0.209783479,0.129385948,14.94,15.26096386
2021-07-14,0.183629628,0.09008231,16.74,16.92129032
2021-07-15,0.101729987,0.129982606,18.96,17.48164557
2021-07-16,0.088282779,0.13995707,19.8,19.70690909
2021-07-17,0.123013395,0.085939668,20.58,21.87813411
2021-07-18,0.043737065,0.108265065,22.74,21.15015831
2021-07-19,0.038689643,0.101574793,23.37,23.14867779
2021-07-20,0.04434159,0.110981032,23.79,23.63523329
2021-07-21,0.047602749,0.07508114,24.06,24.02730673
2021-07-22,0.074421081,0.091186509,24.3,24.71348148
2021-07-23,0.062794371,0.093882047,24.96,25.00096154
2021-07-24,0.080988904,0.085227937,25.68,25.63065421
2021-07-25,0.068584373,0.092142865,26.37,25.27098976
2021-07-26,0.080150593,0.09827891,25.95,26.15660116
2021-07-27,0.064411255,0.08281979,25.74,24.46800699
2021-07-28,0.06955621,0.079160236,24.27,24.27641533
2021-07-29,0.081653308,0.097218901,22.89,24.2063827
2021-07-30,0.060742286,0.081844606,22.83,22.52905388
2021-07-31,0.030858327,0.085746408,22.47,20.97068091
2021-08-01,0.012658849,0.083164938,20.64,21.67527616
2021-08-02,0.018675222,0.058541633,19.91,20.09056755
2021-08-03,0.038891041,0.035254452,19.38,19.60179567
2021-08-04,0.063732767,0.051334292,19.08,19.45110063
2021-08-05,0.04408475,0.075073726,19.15,18.12350914
2021-08-06,0.037572443,0.057461616,18.19,18.2235569
2021-08-07,0.036580457,0.066269614,17.31,16.67679376
2021-08-08,0.054467656,0.075560786,15.87,16.28470699
2021-08-09,0.053859591,0.076635003,14.93,14.52004019
2021-08-10,0.048566938,0.084607162,13.66,13.84795754
2021-08-11,0.03094194,0.074947849,12.67,12.26920284
2021-08-12,0.050349976,0.091366068,11.38,11.23376977
2021-08-13,0.081695809,0.057317238,10.09,10.74840436
2021-08-14,0.060127622,0.031565666,9.53,9.962948583
2021-08-15,0,0.076498665,9.41,9.53
