stdDay,Alpha_alpha,predicted_Alpha_alpha,Alpha_Infected,predicted_Alpha_Infected
2021-06-13,0.07507199,0.098299973,195.61,57.54806003
2021-06-14,0.070891915,0.097586073,203.75,61.27547573
2021-06-15,0.107700638,0.09193822,212.35,216.4154109
2021-06-16,0.097663283,0.110991098,225.55,223.0922456
2021-06-17,0.077722246,0.098433234,236.96,233.0791209
2021-06-18,0.071279772,0.086942978,244.87,243.5887254
2021-06-19,0.054038001,0.088256434,251.72,250.278697
2021-06-20,0.042577245,0.082672819,257.28,244.675597
2021-06-21,0.044284729,0.08578968,250.08,252.588714
2021-06-22,0.093647152,0.080895066,245.52,253.7468622
2021-06-23,0.089395852,0.095196746,249.12,246.1113295
2021-06-24,0.088218152,0.070284717,249.72,250.3171168
2021-06-25,0.090196287,0.095684886,250.92,251.3919656
2021-06-26,0.082448906,0.092483275,252.6,253.7808456
2021-06-27,0.076337129,0.087167524,255.48,257.3458901
2021-06-28,0.106382446,0.088968165,260.28,268.4365698
2021-06-29,0.105651584,0.090383984,273.48,265.9903993
2021-06-30,0.107262196,0.076664038,279.48,281.2299699
2021-07-01,0.110591883,0.099028029,287.4,292.4329353
2021-07-02,0.100891092,0.105979323,300.72,299.671269
2021-07-03,0.088698043,0.091817595,313.56,314.3001607
2021-07-04,0.040412888,0.093076527,327.72,315.7414866
2021-07-05,0.041776186,0.077015966,330,330.4013455
2021-07-06,0.066409144,0.079283603,332.7,329.1073039
2021-07-07,0.071127268,0.083229363,331.8,334.0235805
2021-07-08,0.073197018,0.08453887,333.12,334.1307277
2021-07-09,0.080944607,0.073513113,335.46,337.5886103
2021-07-10,0.072083064,0.07704775,339.96,339.0715531
2021-07-11,0.057299269,0.075106367,343.62,340.1380828
2021-07-12,0.055694402,0.079161882,343.8,335.1044607
2021-07-13,0.083331822,0.071882233,335.28,342.8156049
2021-07-14,0.089337709,0.086036496,334.32,335.1596554
2021-07-15,0.08216557,0.078726523,334.2,329.9984488
2021-07-16,0.071743529,0.074539453,329.88,327.4527828
2021-07-17,0.069497541,0.077574849,323.22,324.4299684
2021-07-18,0.032207467,0.076626815,317.88,320.1696036
2021-07-19,0.036627351,0.06838093,314.88,315.6085633
2021-07-20,0.044790556,0.078164063,312.63,306.7519202
2021-07-21,0.036882055,0.077037089,304.56,299.973289
2021-07-22,0.042767559,0.066790335,292.23,292.2100154
2021-07-23,0.049839708,0.070319466,280.38,278.5346501
2021-07-24,0.036063511,0.070861541,267.24,264.8313112
2021-07-25,0.041761308,0.050440643,252.42,257.5845496
2021-07-26,0.046175096,0.059099477,243.3,244.2342466
2021-07-27,0.07113822,0.06589748,235.41,231.7659615
2021-07-28,0.062995775,0.076656945,224.25,218.9391732
2021-07-29,0.075680923,0.058881328,208.56,211.7343211
2021-07-30,0.060424117,0.07254266,196.92,196.1366362
2021-07-31,0.066042618,0.063874051,185.19,186.0739284
2021-08-01,0.019338567,0.074462228,174.99,177.9618858
2021-08-02,0.021498011,0.051593445,168.16,166.7795391
2021-08-03,0.030514538,0.050063979,160.27,158.6329968
2021-08-04,0.032281892,0.056930389,151.19,153.5598399
2021-08-05,0.032029853,0.05470854,144.86,143.0178496
2021-08-06,0.037672445,0.057843007,137.03,135.578304
2021-08-07,0.036180747,0.059789732,128.25,131.709069
2021-08-08,0.033243794,0.059230484,123.27,121.5706376
2021-08-09,0.036102855,0.058548547,116.85,115.8959538
2021-08-10,0.06089325,0.051207878,109.86,106.1924631
2021-08-11,0.057852119,0.050619941,99.84,100.705
2021-08-12,0.05927237,0.044982001,91.52,88.58181818
2021-08-13,0.07089091,0.056559019,81.2,84.62218719
2021-08-14,0.068242724,0.060035951,75.08,73.54288759
2021-08-15,0,0.067462079,68,75.08
