stdDay,23A_origin,23A_Predicted
2023-02-19,52.320004,50.40585
2023-02-20,23.52,21.104939
2023-02-21,65.6,59.182156
2023-02-22,76.479996,75.70019
2023-02-23,58.88,53.41462
2023-02-24,49.36,47.98915
2023-02-25,56,55.48542
2023-02-26,44,43.14128
2023-02-27,41.850002,39.430702
2023-02-28,92.25,91.52133
2023-03-01,125.399994,118.72421
2023-03-02,69.75,69.271385
2023-03-03,93.149994,89.696945
2023-03-04,103.799995,99.42768
2023-03-05,94.5,86.5621
2023-03-06,35.25,33.202187
2023-03-07,102.15,99.29929
2023-03-08,104.7,102.132645
2023-03-09,82.799995,81.503624
2023-03-10,77.99999,73.4283
2023-03-11,82.05,78.364975
2023-03-12,68.549995,67.14009
2023-03-13,56.84,49.63296
2023-03-14,137.17,135.57463
2023-03-15,169.65,167.06035
2023-03-16,121.8,115.93959
2023-03-17,122.67,122.79804
2023-03-18,120.06,116.89421
2023-03-19,116.579994,114.87215
2023-03-20,0,2.1022732
2023-03-21,186.47,182.05
2023-03-22,154.56999,153.00954
2023-03-23,153.40999,152.38591
2023-03-24,109.04,104.62772
2023-03-25,111.07,109.46198
2023-03-26,113.39,109.26344
2023-03-27,70.840004,67.88022
2023-03-28,212.98,211.46576
2023-03-29,229.08,226.37917
2023-03-30,158.7,157.0072
2023-03-31,154.56,152.34836
2023-04-01,162.38,159.10156
2023-04-02,126.04,124.71955
2023-04-03,69,66.04007
2023-04-04,210.68,208.42111
2023-04-05,210.22,207.97484
2023-04-06,201.02,198.50792
2023-04-07,143.52,141.43779
2023-04-08,173.42,171.09377
2023-04-09,149.95999,148.17949
2023-04-10,70,68.30163
2023-04-11,215.6,214.70415
2023-04-12,244.16,242.84181
2023-04-13,221.2,218.87047
2023-04-14,211.12,209.6321
2023-04-15,217.28,215.94177
2023-04-16,192.08,190.0654
2023-04-17,67.76,66.10962
2023-04-18,261.52002,259.4826
2023-04-19,315.84,314.01016
2023-04-20,271.6,270.41693
2023-04-21,280,278.48907
2023-04-22,282.24,280.50476
2023-04-23,263.2,261.79288
2023-04-24,106.880005,105.34778
2023-04-25,366.08,364.80817
2023-04-26,400.63998,399.32248
2023-04-27,366.08,364.81332
2023-04-28,358.4,327.9926
2023-04-29,444.16,338.40472
2023-04-30,363.52002,322.08505
2023-05-01,110.08,170.17664
2023-05-02,425.6,415.25897
2023-05-03,560,473.25964
2023-05-04,576.64,418.76514
