stdDay,23A_origin,23A_Predicted
2023-02-19,6.96,5.2490892
2023-02-20,3.7600002,1.9631468
2023-02-21,7.6,7.627822
2023-02-22,7.76,7.695253
2023-02-23,7.2000003,5.6402063
2023-02-24,6.64,5.2809987
2023-02-25,6.16,5.885613
2023-02-26,5.8399997,6.30292
2023-02-27,4.2,2.2517135
2023-02-28,8.85,11.807103
2023-03-01,15.75,13.49182
2023-03-02,8.85,8.660415
2023-03-03,12.9,10.392471
2023-03-04,11.849999,8.765153
2023-03-05,9.75,8.977772
2023-03-06,0,3.1371331
2023-03-07,24.75,19.922283
2023-03-08,16.2,16.450298
2023-03-09,14.85,14.20555
2023-03-10,13.35,12.83242
2023-03-11,16.35,16.385979
2023-03-12,15.75,14.117575
2023-03-13,13.629999,12.916943
2023-03-14,36.829998,34.31112
2023-03-15,36.25,34.08023
2023-03-16,24.939999,23.852772
2023-03-17,24.939999,24.385487
2023-03-18,31.61,30.90227
2023-03-19,28.710001,28.026798
2023-03-20,8.7,7.8453975
2023-03-21,44.08,44.16642
2023-03-22,39.73,38.736465
2023-03-23,35.09,33.70368
2023-03-24,40.89,39.65094
2023-03-25,32.77,31.943611
2023-03-26,31.899998,30.697159
2023-03-27,30.36,29.385813
2023-03-28,74.06,73.49195
2023-03-29,68.08,67.39146
2023-03-30,55.659996,55.041355
2023-03-31,63.48,62.82701
2023-04-01,50.600002,49.53136
2023-04-02,59.8,59.243504
2023-04-03,20.24,19.425003
2023-04-04,80.04,79.70653
2023-04-05,67.16,66.61547
2023-04-06,57.500004,56.919445
2023-04-07,55.199997,54.57409
2023-04-08,51.06,50.727108
2023-04-09,45.539997,45.162262
2023-04-10,18.480001,18.046286
2023-04-11,75.04,74.684395
2023-04-12,73.920006,73.47832
2023-04-13,53.76,53.448074
2023-04-14,56.559998,56.3139
2023-04-15,64.96,64.47741
2023-04-16,61.04,60.553177
2023-04-17,29.68,29.348743
2023-04-18,89.04,88.583885
2023-04-19,82.880005,82.574425
2023-04-20,66.64,66.359245
2023-04-21,68.32,67.97873
2023-04-22,66.079994,65.69042
2023-04-23,62.719997,62.47998
2023-04-24,22.4,22.171871
2023-04-25,89.6,89.29213
2023-04-26,77.44,77.10025
2023-04-27,61.44,61.10846
2023-04-28,65.28,61.0408
2023-04-29,48,67.3345
2023-04-30,61.44,61.52735
2023-05-01,29.44,20.904589
2023-05-02,79.36,92.99678
2023-05-03,97.28,76.83816
2023-05-04,85.759995,64.01414
