stdDay,23A_origin,23A_Predicted
2023-02-19,45.2,45.225506
2023-02-20,18.08,13.115902
2023-02-21,45.2,44.23034
2023-02-22,48.159996,46.568855
2023-02-23,40.719997,38.03688
2023-02-24,44.559998,40.198284
2023-02-25,40.32,40.65911
2023-02-26,28.4,28.159143
2023-02-27,36.15,31.529814
2023-02-28,76.05,77.56868
2023-03-01,81.15,72.136314
2023-03-02,50.85,50.98884
2023-03-03,65.1,65.33986
2023-03-04,75.45,68.22463
2023-03-05,76.95,69.569626
2023-03-06,0,6.1103024
2023-03-07,96.15,90.76633
2023-03-08,84.6,82.94366
2023-03-09,70.35,65.32804
2023-03-10,61.35,58.074444
2023-03-11,62.25,59.75466
2023-03-12,53.85,52.00336
2023-03-13,62.06,59.764378
2023-03-14,149.93,146.70268
2023-03-15,123.83,123.042404
2023-03-16,111.939995,107.20832
2023-03-17,114.549995,111.22547
2023-03-18,109.619995,109.641174
2023-03-19,124.409996,121.95327
2023-03-20,32.48,27.6805
2023-03-21,155.15,154.74103
2023-03-22,145,142.14366
2023-03-23,115.71,115.21679
2023-03-24,116,111.56901
2023-03-25,102.08,97.8504
2023-03-26,106.42999,103.78581
2023-03-27,52.9,51.032486
2023-03-28,204.7,199.70671
2023-03-29,191.35999,189.66966
2023-03-30,170.66,168.33168
2023-03-31,170.2,167.24673
2023-04-01,171.12,168.66634
2023-04-02,167.44,166.12657
2023-04-03,66.24,63.305733
2023-04-04,189.06,190.8789
2023-04-05,228.16,226.95122
2023-04-06,171.58,168.39952
2023-04-07,155.01999,153.48695
2023-04-08,143.98,141.61877
2023-04-09,148.12001,145.42993
2023-04-10,50.399998,47.934586
2023-04-11,211.12001,213.83765
2023-04-12,225.68,223.56078
2023-04-13,190.4,188.28394
2023-04-14,183.68,181.45348
2023-04-15,196.56001,195.0465
2023-04-16,161.28,159.82938
2023-04-17,55.44,53.787514
2023-04-18,243.59999,239.06012
2023-04-19,287.28,286.29715
2023-04-20,223.44,222.02312
2023-04-21,247.51999,246.30739
2023-04-22,276.63998,275.5444
2023-04-23,187.04001,185.13647
2023-04-24,107.520004,105.729744
2023-04-25,274.56,273.63376
2023-04-26,274.56,273.61514
2023-04-27,253.43999,252.13315
2023-04-28,242.56,266.34055
2023-04-29,289.28,283.9987
2023-04-30,253.43999,200.89034
2023-05-01,78.08,88.821724
2023-05-02,307.19998,265.3199
2023-05-03,296.96002,304.80057
2023-05-04,375.04,270.879
