stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-04-12,13496743,471.8499999999999,1965.83,30.29,0.09278137012517014,0.05118151955070487,0.0008901133834905198,3.52,0.0,0.0,0.9567065011704878,0.0,0.0
2021-04-13,13496575,490.96000000000004,1989.98,30.71,0.12632569954920797,0.046195209385693464,0.0012832002607137017,6.88,0.0,0.0,0.693435436613139,0.0,0.0
2021-04-14,13496337,529.5299999999997,2012.66,31.34,0.11023664119870846,0.05076199648745137,0.0007931561951164209,11.64,0.0,0.0,0.38576267918287116,0.0,0.0
2021-04-15,13496113,560.4699999999998,2039.5400000000002,31.759999999999998,0.10275799790476885,0.05994968508573107,0.0,16.12,0.0,0.0,0.2748271382214439,0.0,0.0
2021-04-16,13495892,584.3299999999999,2073.14,31.759999999999998,0.09321181091446852,0.05211096469460797,0.0007187719268221754,20.54,0.0,0.0,0.20397894341866288,0.0,0.0
2021-04-17,13495683,607.8000000000002,2103.59,32.18,0.07889449420028798,0.05113524185587351,0.0006910167818361329,24.72,0.0,0.0,0.14921606165961862,0.0,0.0
2021-04-18,13495499,624.1399999999999,2134.67,32.6,0.06096299982549579,0.036338001089498896,0.0010093889191527471,28.4,0.0,0.0,0.10305917310694727,0.0,0.0
2021-04-19,13495353,638.79,2157.35,33.23,0.07710878924392552,0.03484713286056485,0.0003287465364204212,31.32,0.0,0.0,0.12097534993891143,0.0,0.0
2021-04-20,13495164,665.4599999999996,2179.61,33.44,0.09164318460957406,0.05459381480479661,0.0006311423676855138,35.1,0.0,0.0,0.13365082978366669,0.0,0.0
2021-04-21,13494930,689.5499999999997,2215.94,33.86,0.08390754470667498,0.06974113552316687,0.0003045464433326096,39.78,0.0,0.0,0.11188159386720754,0.0,0.0
2021-04-22,13494708,698.9700000000003,2264.0299999999997,34.07,0.11111653082416435,0.060689299969955875,0.0003004420790591882,44.22,0.0,0.0,0.1351061502803573,0.0,0.0
2021-04-23,13494410,733.8200000000002,2306.45,34.28,0.08666242124917123,0.05780709165735475,0.0,50.18,0.0,0.0,0.09748692087112065,0.0,0.0
2021-04-24,13494166,754.8399999999997,2348.87,34.28,0.06595031138680335,0.05174606539134116,0.0,55.06,0.0,0.0,0.06954920932020262,0.0,0.0
2021-04-25,13493975,765.44,2387.93,34.28,0.06089939631665231,0.059103260869564925,0.0006793478260869513,58.88,0.0,0.0,0.1021538260795458,0.059103260869565216,0.0006793478260869565
2021-04-26,13493825,766.1800000000003,2433.1699999999996,34.8,0.07909363038072982,0.056670756219165876,0.00033934584562375034,61.35999999999999,3.48,0.04,0.1274339860476671,0.05443285528031292,0.0003259452411994785
2021-04-27,13493630,782.9499999999998,2476.59,35.06,0.07700371666910134,0.07870234370010787,0.00033207739957851466,65.80000000000001,6.82,0.06,0.11822739477610132,0.07203647416413372,0.00030395136778115504
2021-04-28,13493436,781.21,2538.2099999999996,35.32,0.07240254361955951,0.07388538293160642,0.0006656340804649238,68.8,11.56,0.08,0.10607950319024023,0.06453488372093023,0.0005813953488372092
2021-04-29,13493254,779.3899999999999,2595.93,35.84,0.06021132796628438,0.07339072864676258,0.00033359422112164394,71.6,16.0,0.12,0.08457038548142434,0.06145251396648043,0.00027932960893854773
2021-04-30,13493103,768.7399999999998,2653.13,36.1,0.07681306051845976,0.07034888258709049,0.00033821578166870215,73.22,20.4,0.14,0.10405983230910071,0.05681507784758263,0.0002731494127287625
2021-05-01,13492913,773.2999999999997,2707.21,36.36,0.0582756404764147,0.061528514160093035,0.00033622138885296534,76.64,24.56,0.16,0.07587135965454149,0.04775574112734864,0.0002609603340292274
2021-05-02,13492768,770.4100000000003,2754.79,36.62,0.05244368152065945,0.04893498267156424,0.0003374826391142444,78.75999999999999,28.22,0.18,0.06619233060884235,0.036820721178263106,0.0002539360081259525
2021-05-03,13492638,772.75,2792.49,36.88,0.04987220684391608,0.062245228081526896,0.0013458427693303127,81.03999999999999,31.12,0.2,0.06136157029366008,0.04565646594274432,0.0009871668311944722
2021-05-04,13492514,762.0500000000002,2840.5899999999997,37.92,0.06851816449534621,0.07813135621022296,0.001705924808083455,82.22,34.82,0.28,0.08194265150725213,0.05570420822184381,0.0012162490878131838
2021-05-05,13492346,753.29,2900.13,39.22,0.0585883754278583,0.07558841880285157,0.001035457791819885,84.26,39.4,0.38,0.06758502840830818,0.051981960598148615,0.0007120816520294327
2021-05-06,13492204,739.5899999999997,2957.07,40.0,0.05841355719582848,0.10335456131099675,0.0014061845076326067,85.5,43.78,0.44,0.0651983893853428,0.06877192982456135,0.0009356725146198832
2021-05-07,13492065,705.1999999999998,3033.51,41.04,0.08550347881111733,0.0895916052183769,0.0003686897334089593,85.1,49.66,0.52,0.09142496987619866,0.0571092831962398,0.00023501762632197436
2021-05-08,13491871,701.9000000000001,3096.6899999999996,41.3,0.06597989639555675,0.06926912665621932,0.0014816925487961335,87.97999999999999,54.52,0.54,0.06792055273565296,0.042509661286656085,0.0009092975676290063
2021-05-09,13491722,698.4299999999998,3145.31,42.34,0.05703472937060764,0.0661340434975589,0.00044385264092320666,90.12,58.260000000000005,0.62,0.045726119236780244,0.06613404349755873,0.00044385264092321387
2021-05-10,13491585,691.6599999999999,3191.5,42.65,0.057593572760546746,0.08695023566492191,0.0004481970910563027,88.23000000000002,64.22,0.66,0.0467061057528635,0.0879519437832937,0.00045336053496543034
2021-05-11,13491448,670.94,3251.64,42.96,0.08104168194376543,0.08824932184696102,0.0013861150028318472,84.53999999999999,71.98,0.7,0.06653545689453266,0.09037142181215994,0.0014194464158978012
2021-05-12,13491261,665.0300000000002,3310.85,43.89,0.09881519802968976,0.08343984481903037,0.0013984331533915754,82.38999999999999,79.62,0.8200000000000001,0.08251135827375009,0.08690375045515229,0.0014564874377958478
2021-05-13,13491035,674.1500000000001,3366.3399999999997,44.82,0.07461968007734411,0.06897574723726173,0.00045983831491508154,81.88999999999999,86.78,0.94,0.06354806151752125,0.07326901941629016,0.0004884601294419348
2021-05-14,13490862,677.5099999999998,3412.8399999999997,45.13,0.07296298601567351,0.08647842836268124,0.0004575578220247602,81.04,92.78,0.98,0.06310185602956259,0.09328726554787761,0.0004935834155972363
2021-05-15,13490692,667.9099999999999,3471.43,45.44,0.07009431411435561,0.06683535206839296,0.00046413438936383994,78.54,100.34,1.02,0.061664199230946556,0.07333842627960263,0.0005092946269416862
2021-05-16,13490531,669.6500000000001,3516.07,45.75,0.06513635156276058,0.06018069140595792,0.0,77.57,106.1,1.06,0.058170228213008005,0.06703622534484986,0.0
2021-05-17,13490381,672.8500000000004,3556.37,45.75,0.05920892587619134,0.057130118154120585,0.0,76.86999999999999,111.3,1.06,0.05361321053789249,0.06452452192012481,0.0
2021-05-18,13490244,674.1399999999999,3594.81,45.75,0.07074292847209214,0.07541460230812613,0.0018393805441006353,76.02000000000001,116.25999999999999,1.06,0.06489758294120809,0.0862930807682191,0.002104709287029728
2021-05-19,13490080,669.6200000000003,3645.65,46.99,0.08120967122324117,0.06481287894626746,0.0009258982706609676,74.21999999999998,122.82000000000001,1.22,0.07579463669682879,0.07545136081918595,0.0010778765831312327
2021-05-20,13489893,679.8299999999999,3689.0499999999997,47.61,0.07015265387783516,0.06292749658002766,0.0004559963520291872,74.15,128.42,1.3,0.06653597603055596,0.07444369521240742,0.000539447066756575
2021-05-21,13489729,684.3000000000002,3731.83,47.92,0.07012021944856522,0.08743241268449498,0.00045301768230307624,73.50999999999999,133.94,1.34,0.06752531839719655,0.10501972520745477,0.0005441436539246336
