stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-04-12,1438670,6.9199999999999875,152.71,1.41,0.33867631676993315,0.03034682080924976,0.0,0.08,0.0,0.0,2.253500107738397,0.0,0.0
2021-04-13,1438661,9.049999999999983,152.92000000000002,1.41,0.14387076571096924,0.04640883977900423,0.0,0.26,0.0,0.0,0.38521610345688434,0.0,0.0
2021-04-14,1438656,9.930000000000007,153.34,1.41,0.10489707591917383,0.0634441087613288,0.0,0.36,0.0,0.0,0.2225700777515805,0.0,0.0
2021-04-15,1438652,10.340000000000003,153.97,1.41,0.27702948404242,0.02030947775628703,0.0,0.44,0.0,0.0,0.5007840673074517,0.0,0.0
2021-04-16,1438641,12.990000000000009,154.18,1.41,0.08018774629856211,0.04849884526558853,0.0,0.66,0.0,0.0,0.12140312638908188,0.0,0.0
2021-04-17,1438637,13.400000000000006,154.81,1.41,0.25263698447407906,0.06268656716417934,0.0,0.74,0.0,0.0,0.3519059866894658,0.0,0.0
2021-04-18,1438624,15.939999999999998,155.65,1.41,0.17970769238326137,0.0,0.0,1.0,0.0,0.0,0.2203492781991681,0.0,0.0
2021-04-19,1438613,18.80000000000001,155.65,1.41,0.0554073988315962,0.06702127659574415,0.0,1.22,0.0,0.0,0.06567837944728935,0.0,0.0
2021-04-20,1438609,18.580000000000013,156.91,1.41,0.2382703700699293,0.022604951560818924,0.0,1.3,0.0,0.0,0.26195641869226566,0.0,0.0
2021-04-21,1438592,22.579999999999984,157.33,1.41,0.10379836950700981,0.0,0.0,1.6400000000000001,0.0,0.0,0.10993279472177672,0.0,0.0
2021-04-22,1438583,24.919999999999987,157.33,1.41,0.16720398405150358,0.0421348314606735,0.0,1.82,0.0,0.0,0.17610833823176106,0.0,0.0
2021-04-23,1438567,28.03,158.38,1.41,0.1393630582949048,0.0074919728861936475,0.0,2.14,0.0,0.0,0.14041504399734653,0.0,0.0
2021-04-24,1438552,31.72,158.59,1.41,0.06568116445690061,0.0,0.0,2.44,0.0,0.0,0.0656811644569006,0.0,0.0
2021-04-25,1438544,33.80000000000001,158.59,1.41,0.13780004367993115,0.030769230769230525,0.0,2.6,0.0,0.0,0.2311484603663362,0.030769230769230767,0.0
2021-04-26,1438529,37.41,159.63,1.41,0.04980155084835746,0.055600106923282884,0.006950013365410319,3.12,0.08,0.0,0.07705029020831482,0.05128205128205129,0.00641025641025641
2021-04-27,1438523,36.93000000000001,161.71,1.67,0.10089812012045729,0.03520173300839456,0.0,3.1799999999999997,0.24000000000000002,0.02,0.15119365291330852,0.03144654088050313,0.0
