stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-04-12,1833044,12.54,47.51,0.36,0.124467879919123,0.0,0.0,0.06,0.0,0.0,2.0010605310074387,0.0,0.0
2021-04-13,1833038,14.100000000000001,47.51,0.36,0.018449554647406684,-0.02978723404255331,0.029787234042553193,0.18,0.0,0.0,0.11117039338821975,0.0,0.0
2021-04-14,1833037,14.36,47.089999999999996,0.78,0.19927071635775961,0.014623955431754935,0.0,0.19999999999999998,0.0,0.0,1.1005874949605492,0.0,0.0
2021-04-15,1833026,17.010000000000005,47.3,0.78,0.09176029049033212,0.012345679012345725,0.0,0.42,0.0,0.0,0.285868597296804,0.0,0.0
2021-04-16,1833020,18.360000000000007,47.51,0.78,0.0850134885798307,0.011437908496732069,0.0,0.54,0.0,0.0,0.22234297013186494,0.0,0.0
2021-04-17,1833014,19.709999999999994,47.72,0.78,0.026396968703607,0.010654490106544947,0.0,0.6599999999999999,0.0,0.0,0.060639190343600685,0.0,0.0
2021-04-18,1833012,20.020000000000003,47.93,0.78,0.038982379183098,0.052447552447552295,0.0,0.7,0.0,0.0,0.0857612342028156,0.0,0.0
2021-04-19,1833009,19.750000000000007,48.98,0.78,0.0526871566943006,0.15949367088607583,0.0,0.76,0.0,0.0,0.10532098630692685,0.0,0.0
2021-04-20,1833005,17.64,52.129999999999995,0.78,0.05898943398279968,0.08333333333333326,0.0,0.84,0.0,0.0,0.09529062412606101,0.0,0.0
2021-04-21,1833001,17.210000000000008,53.599999999999994,0.78,0.12092688973976123,0.012202208018593884,0.0,0.9199999999999999,0.0,0.0,0.17400934552017489,0.0,0.0
2021-04-22,1832993,19.080000000000005,53.809999999999995,0.78,0.08180663740161134,0.12106918238993719,0.0,1.08,0.0,0.0,0.11117312262270261,0.0,0.0
2021-04-23,1832987,18.330000000000005,56.12,0.78,0.014192359982650027,0.08019639934533543,0.0,1.2,0.0,0.0,0.016676022979613785,0.0,0.0
2021-04-24,1832986,17.119999999999997,57.589999999999996,0.78,0.1367590481109772,0.07359813084112139,0.0,1.22,0.0,0.0,0.14762389052080263,0.0,0.0
2021-04-25,1832977,18.200000000000003,58.849999999999994,0.78,0.0,0.04285714285714291,0.0,1.4,0.0,0.0,0.0,0.04285714285714286,0.0
2021-04-26,1832977,17.42,59.629999999999995,0.78,0.03561144886429936,0.08955223880597027,0.0,1.3399999999999999,0.06,0.0,0.05973533357882475,0.08955223880597016,0.0
2021-04-27,1832975,16.480000000000004,61.19,0.78,0.09410681372806713,0.01577669902912609,0.0,1.3,0.18,0.0,0.1539335275671014,0.015384615384615377,0.0
2021-04-28,1832970,17.770000000000003,61.449999999999996,0.78,0.03491017491841251,0.1609454136184584,0.0,1.48,0.19999999999999998,0.0,0.05408490046209158,0.14864864864864866,0.0
2021-04-29,1832968,15.530000000000001,64.31,0.78,0.09986389008124341,0.10045074050225385,0.0,1.34,0.42,0.0,0.14933906720863843,0.08955223880597019,0.0
2021-04-30,1832963,15.519999999999996,65.87,0.78,0.039971403183143094,0.10051546391752503,0.0,1.42,0.54,0.0,0.056370393221479395,0.08450704225352106,0.0
2021-05-01,1832961,14.580000000000013,67.42999999999999,0.78,0.021274240544994646,0.035665294924554856,0.0,1.3800000000000001,0.6599999999999999,0.0,0.029002190476486413,0.028985507246376836,0.0
