stdDay,Susceptible,22D_Infected,22D_Recovered,22D_dead,22D_alpha,22D_beta,22D_gamma,23A_Infected,23A_Recovered,23A_dead,23A_alpha,23A_beta,23A_gamma
2022-12-19,839480,374.4,0.0,0.0,6.287338315660611,0.0,0.0,7.8,0.0,0.0,6.28733831566061,0.0,0.0
2022-12-20,837176,1480.3200000000002,0.0,0.0,2.1897505677074784,0.0,0.0,30.84,0.0,0.0,2.1897505677074793,0.0,0.0
2022-12-21,834012,2999.04,0.0,0.0,0.8761266601048612,0.0,0.0,62.480000000000004,0.0,0.0,0.8761266601048606,0.0,0.0
2022-12-22,831457,4225.4400000000005,0.0,0.0,0.5573457931264376,0.0,0.0,88.03,0.0,0.0,0.557345793126438,0.0,0.0
2022-12-23,829174,5321.28,0.0,0.0,0.36700396119765,0.0,0.0,110.86,0.0,0.0,0.36700396119764983,0.0,0.0
2022-12-24,827286,6227.52,0.0,0.0,0.30898522657273847,0.0,0.0,129.74,0.0,0.0,0.3089852265727388,0.0,0.0
2022-12-25,825430,7118.4,0.0,0.0,0.130644444589493,0.052596089008766014,0.00013486176668914363,148.3,0.0,0.0,0.13064444458949231,0.05259608900876601,0.00013486176668914363
2022-12-26,824537,7172.64,374.4,0.96,0.3177486719287918,0.15418590644448907,0.00020076289901626177,149.42999999999998,7.8,0.02,0.3177486719287921,0.15418590644448907,0.00020076289901626185
2022-12-27,822349,7116.960000000001,1480.3200000000002,2.4,0.37018021365903075,0.21339448303770142,6.744452687664394e-05,148.27,30.84,0.05,0.37018021365903075,0.2133944830377015,6.744452687664392e-05
2022-12-28,819824,6810.240000000001,2999.04,2.88,0.3207583703402284,0.18008175923315484,0.00014096419509444598,141.88,62.480000000000004,0.06,0.3207583703402288,0.18008175923315475,0.00014096419509444604
2022-12-29,817738,6585.119999999999,4225.4400000000005,3.84,0.3129790230701937,0.16641154603105174,7.289161017566885e-05,137.19,88.03,0.08,0.3129790230701933,0.16641154603105182,7.289161017566874e-05
2022-12-30,815774,6432.000000000001,5321.28,4.32,0.2937397567748953,0.1408955223880598,0.0,134.0,110.86,0.09,0.2937397567748953,0.14089552238805977,0.0
2022-12-31,813977,6388.32,6227.52,4.32,0.31355510075032134,0.13945450447065882,7.513712525358773e-05,133.08999999999997,129.74,0.09,0.3135551007503214,0.139454504470659,7.513712525358788e-05
2023-01-01,812077,6409.4400000000005,7118.4,4.8,0.13521501417450585,0.06687635737287506,0.0,133.52999999999997,148.3,0.1,0.11386527509432143,0.06687635737287487,0.0
2023-01-02,811386,6374.669999999999,7547.04,4.8,0.43337897314092777,0.16475205775357796,7.529801542668084e-05,131.51000000000002,157.23,0.1,0.3685726172533052,0.16637518059463174,7.60398448787164e-05
2023-01-03,809186,6578.4299999999985,8597.28,5.279999999999999,0.4962615726977368,0.18423848851473684,0.00014593147605127685,131.63,179.11,0.11,0.4351670879714729,0.19182557167818887,0.000151941046873813
