stdDay,Susceptible,22D_Infected,22D_Recovered,22D_dead,22D_alpha,22D_beta,22D_gamma,23A_Infected,23A_Recovered,23A_dead,23A_alpha,23A_beta,23A_gamma
2022-12-19,1695382,582.24,0.0,0.0,10.705057440828522,0.0,0.0,12.13,0.0,0.0,10.705057440828524,0.0,0.0
2022-12-20,1688817,3733.4399999999996,0.0,0.0,1.404089523693515,0.0,0.0,77.78,0.0,0.0,1.4040895236935145,0.0,0.0
2022-12-21,1683317,6373.44,0.0,0.0,0.7710147460797379,0.0,0.0,132.78,0.0,0.0,0.771014746079738,0.0,0.0
2022-12-22,1678178,8840.16,0.0,0.0,0.5135257591108857,0.0,0.0,184.17000000000002,0.0,0.0,0.5135257591108854,0.0,0.0
2022-12-23,1673445,11112.0,0.0,0.0,0.40986438775530143,0.0,0.0,231.5,0.0,0.0,0.4098643877553017,0.0,0.0
2022-12-24,1668710,13384.8,0.0,0.0,0.28761587328899807,0.0,0.0,278.85,0.0,0.0,0.2876158732889978,0.0,0.0
2022-12-25,1664719,15300.48,0.0,0.0,0.07703384784946433,0.03805370811896098,9.411469444095872e-05,318.76,0.0,0.0,0.07703384784946468,0.03805370811896098,9.411469444095872e-05
2022-12-26,1663503,15301.919999999998,582.24,1.44,0.43170220312404073,0.20593494149753758,3.1368612566266194e-05,318.79,12.13,0.03,0.4317022031240401,0.20593494149753758,3.13686125662662e-05
2022-12-27,1656677,15427.2,3733.4399999999996,1.92,0.38726069277946046,0.17112632233976352,0.00018668326073428747,321.4,77.78,0.04,0.387260692779461,0.17112632233976355,0.00018668326073428753
2022-12-28,1650534,15735.84,6373.44,4.8,0.2998301732218617,0.15675807583198612,3.0503614678339355e-05,327.83000000000004,132.78,0.1,0.2998301732218618,0.15675807583198612,3.0503614678339365e-05
2022-12-29,1645697,15590.879999999997,8840.16,5.279999999999999,0.3016880781472527,0.14571595702102771,0.00015393614728610578,324.81,184.17000000000002,0.11,0.3016880781472522,0.14571595702102763,0.00015393614728610573
2022-12-30,1640893,15624.96,11112.0,7.68,0.28144493673436816,0.14545957237650525,9.216023593020396e-05,325.52,231.5,0.16,0.28144493673436893,0.14545957237650536,9.216023593020399e-05
2022-12-31,1636413,15502.559999999998,13384.8,9.12,0.25792182063716756,0.12357184877852435,3.096262810787383e-05,322.97,278.85,0.19,0.2579218206371672,0.12357184877852422,3.0962628107873824e-05
2023-01-01,1632349,15537.599999999999,15300.48,9.6,0.08902005334587296,0.03756564720420132,0.00015446400988569666,323.70000000000005,318.76,0.2,0.07501435854730418,0.03756564720420149,0.00015446400988569658
2023-01-02,1631172,15624.81,15884.159999999998,12.0,0.4972803953057687,0.2096972699188023,6.144074711948491e-05,323.31,330.92,0.25,0.4216409398561722,0.21112863814914476,6.186013423649134e-05
2023-01-03,1624543,16126.86,19160.64,12.959999999999999,0.39209485560558893,0.18284030493226824,0.0001488200430834025,321.34,399.18,0.27,0.3452749796812785,0.19116823302421115,0.00015559843156780977
2023-01-04,1619173,16239.119999999995,22109.28,15.36,0.3264634961769152,0.1429732645611338,0.00020690776347486811,313.61,460.61,0.32,0.29664650238510837,0.15423615318389083,0.0002232071681387711
2023-01-05,1614688,16473.81,24431.039999999997,18.72,0.28436838359887046,0.13997490562292522,0.00011654863082674873,310.09000000000003,508.98,0.39,0.26508310650567085,0.15492276435873442,0.00012899480795897957
2023-01-06,1610734,16421.67,26736.96,20.64,0.2592950734141057,0.13094892297799177,0.0001461483515379373,301.59000000000003,557.02,0.43,0.24775095391880358,0.1485460393249115,0.00016578799031798149
2023-01-07,1607150,16314.149999999998,28887.359999999997,23.04,0.22159762415934678,0.11957227314938268,5.884462261288519e-05,292.63,601.82,0.48000000000000004,0.21676090919902855,0.13887844718586606,6.834569251272926e-05
2023-01-08,1604112,16095.09,30838.079999999998,24.0,0.06899939950657849,0.04168289832489284,0.00010624358111697424,282.37,642.46,0.5,0.06899939950657837,0.0416828983248928,0.00010624358111697428
2023-01-09,1603183,15953.73,31508.969999999998,25.71,0.3512448919305127,0.23684304548215387,0.00010718496552216925,279.89,654.23,0.53,0.3512448919305128,0.2368430454821536,0.00010718496552216952
2023-01-10,1598486,14852.489999999998,35287.5,27.419999999999998,0.2911238675627048,0.20608665617684271,7.675480676977401e-05,260.57000000000005,720.52,0.56,0.29112386756270514,0.2060866561768432,7.675480676977401e-05
2023-01-11,1594872,13851.57,38348.399999999994,28.56,0.24719683261017242,0.18456030616024063,0.00012345170980618088,243.01,774.22,0.5800000000000001,0.24719683261017122,0.1845603061602404,0.00012345170980618047
2023-01-12,1592018,12921.900000000001,40904.85,30.27,0.26666440148815024,0.17441552712836336,4.4111160123511264e-05,226.69999999999993,819.07,0.61,0.2666644014881518,0.17441552712836336,4.41111601235113e-05
2023-01-13,1589149,12303.449999999997,43158.63,30.84,0.23570195174732228,0.16604123233727108,0.00032429928190873286,215.85000000000002,858.61,0.62,0.23570195174732078,0.1660412323372714,0.0003242992819087332
2023-01-14,1586745,11630.850000000006,45201.509999999995,34.83,0.22298873948520534,0.1488850771869642,9.8015192354815e-05,204.04999999999995,894.45,0.6900000000000001,0.2229887394852054,0.14888507718696398,9.801519235481456e-05
2023-01-15,1584594,11125.260000000002,46933.17,35.97,0.1031692143415404,0.04759708986576482,5.123475765959629e-05,195.17999999999995,924.83,0.71,0.08402935345866458,0.04759708986576476,5.123475765959633e-05
2023-01-16,1583820,11137.529999999999,47462.7,36.54,0.39253704174879733,0.24038453768474707,5.1178313324408584e-05,193.63,934.12,0.72,0.3225716443033457,0.24257604710013958,5.1644889738160456e-05
2023-01-17,1580871,10524.54,50139.99,37.11,0.34111755005555383,0.1957311198399166,5.415913664635226e-05,176.14999999999998,981.09,0.73,0.29117887021415334,0.20516605166051655,5.67697984672155e-05
2023-01-18,1578454,10156.46,52199.969999999994,37.68,0.2761247331798875,0.16017194967537965,5.612191649452667e-05,164.18000000000006,1017.23,0.74,0.24404625487014206,0.17383359727128733,6.0908758679498145e-05
2023-01-19,1576569,9849.179999999993,53826.75,38.25,0.2758584522443687,0.1660371726377217,5.7872838144901476e-05,154.49,1045.77,0.75,0.25126508993242996,0.18570781280341803,6.472910868017353e-05
2023-01-20,1574745,9490.650000000001,55462.079999999994,38.82,0.3055283420163196,0.14438210238497953,0.00024023644323623784,144.03999999999996,1074.46,0.76,0.2876948750139886,0.16689808386559268,0.0002777006387114694
2023-01-21,1572803,9479.76999999999,56832.36,41.1,0.13980461784506126,0.12933541636558704,0.0,139.42000000000007,1098.5,0.8,0.13579888334416504,0.15428202553435647,0.0
2023-01-22,1571915,8875.299999999996,58058.43,41.1,0.09775629035069923,0.06104582380313859,0.0,126.78999999999996,1120.01,0.8,0.09775629035070281,0.06104582380313914,0.0
2023-01-23,1571334,8740.199999999997,58600.229999999996,41.1,0.13622258690020725,0.23618452666987066,0.00032035880185808083,124.86000000000013,1127.75,0.8,0.13622258690020286,0.23618452666987008,0.0003203588018580801
2023-01-24,1570541,7231.0,60664.53,43.9,0.28503441942003394,0.23397870280735641,0.0,103.29999999999995,1157.24,0.84,0.28503441942003716,0.23397870280735802,0.0
2023-01-25,1569162,6504.400000000009,62356.42999999999,43.9,0.6209682866210176,0.20286267757210477,0.0003228583727938009,92.92000000000007,1181.41,0.84,0.6209682866210153,0.2028626775721039,0.0003228583727938012
2023-01-26,1566465,7072.800000000003,63675.92999999999,46.0,0.47395225192466156,0.1805225653206654,0.0002969121140142509,101.03999999999996,1200.26,0.87,0.47395225192466417,0.18052256532066524,0.0002969121140142522
2023-01-27,1564231,7359.800000000003,64952.729999999996,48.099999999999994,0.33357775264271383,0.18470610614418784,9.51112801978318e-05,105.1400000000001,1218.5,0.9,0.33357775264271183,0.18470610614418922,9.511128019783145e-05
2023-01-28,1562596,7144.900000000009,66312.12999999999,48.8,0.25797782684045717,0.08699911825218058,0.00019594396002743173,102.06999999999994,1237.92,0.91,0.25797782684045756,0.08699911825217878,0.00019594396002743246
2023-01-29,1561371,7380.800000000003,66933.73,50.199999999999996,0.08807002548437848,0.05510242792109215,0.0,105.44000000000005,1246.8,0.93,0.24992845069890857,0.055102427921094176,0.0
2023-01-30,1560962,7276.760000000009,67340.43,50.199999999999996,0.35215548103691596,0.07628395054942105,9.619665895261105e-05,111.89999999999986,1252.6100000000001,0.93,0.9280403711861057,0.07086684539767513,8.936550491510296e-05
2023-01-31,1559351,7913.800000000003,67895.53,50.9,0.30621301796159817,0.12197680002021817,0.00035381232783239356,152.30000000000018,1260.54,0.9400000000000001,0.6440193646263767,0.09054497701904252,0.00026263952724885016
2023-02-01,1557832,8072.559999999998,68860.83,53.699999999999996,0.23737149807750085,0.23386633236544477,8.671350847810398e-05,184.07999999999993,1274.3300000000002,0.98,0.421795125388646,0.14651238591916455,5.432420686657982e-05
2023-02-02,1556630,7074.139999999999,70748.73,54.4,0.2588892661626702,0.22105867285634764,0.0002968558722332328,193.17000000000007,1301.3,0.99,0.38374456450429795,0.11564942796500563,0.00015530361857431287
2023-02-03,1555484,6358.37999999999,72312.53,56.5,0.2616761447345219,0.17999867890877894,0.00011009093511240235,205.21000000000004,1323.64,1.02,0.32850838029121354,0.07967447980117882,4.87305686857366e-05
2023-02-04,1554442,5984.959999999992,73457.03,57.199999999999996,0.2661718233539815,0.14327581136716055,0.00023391969202801697,220.12000000000012,1339.99,1.03,0.293035207114922,0.055651462838451723,9.085953116481922e-05
2023-02-05,1553446,5864.5,74314.53,58.599999999999994,0.09179459480398298,0.05160883280757157,0.0,237.75,1352.24,1.05,0.09179459480398779,0.0516088328075709,0.0
2023-02-06,1553109,5811.219999999987,74617.19,58.599999999999994,0.38437247297420185,0.20514453075257902,0.0,235.59000000000015,1364.51,1.05,0.3843724729741976,0.20514453075257916,0.0
2023-02-07,1551711,5653.599999999991,75809.33,58.599999999999994,0.3801698851591286,0.1988219895287957,0.0,229.19999999999982,1412.8400000000001,1.05,0.3801698851591308,0.19882198952879568,0.0
2023-02-08,1550367,5524.099999999991,76933.39,58.599999999999994,0.3271238843130077,0.16101808439383744,0.0001339584728734098,223.95000000000005,1458.41,1.05,0.3271238843130059,0.16101808439383763,0.00013395847287340934
2023-02-09,1549239,5469.3399999999965,77822.87,59.339999999999996,0.31658235889537306,0.15505344337707916,0.0002705993776214311,221.73000000000002,1494.47,1.08,0.3165823588953693,0.1550534433770807,0.0002705993776214317
2023-02-10,1548160,5419.760000000009,78670.90999999999,60.81999999999999,0.27829671870727724,0.14227198252321144,0.0,219.7199999999998,1528.8500000000001,1.1400000000000001,0.27829671870727957,0.14227198252321144,0.0
2023-02-11,1547219,5345.020000000004,79441.98999999999,60.81999999999999,0.25895483916198364,0.1378928423092912,0.0,216.68999999999983,1560.1100000000001,1.1400000000000001,0.25895483916198697,0.13789284230928933,0.0
2023-02-12,1546356,5246.599999999991,80179.03,60.81999999999999,0.09017171434103552,0.047531734837797913,0.0,212.70000000000005,1589.99,1.1400000000000001,0.24713729115690783,0.04753173483780031,0.0
2023-02-13,1546053,5215.380000000005,80428.40999999999,60.81999999999999,0.3554311777640279,0.19835946757475068,0.0,226.82999999999993,1600.1000000000001,1.1400000000000001,0.9080264005285211,0.18489617775426462,0.0
2023-02-14,1544866,5035.5,81462.93,60.81999999999999,0.30354324741854005,0.197509681263032,0.0,279.85000000000014,1642.04,1.1400000000000001,0.6068695620177675,0.14407718420582508,0.0
2023-02-15,1543888,4745.100000000006,82457.48999999999,60.81999999999999,0.3018996567545693,0.17591199342479613,0.00015595034878084784,317.77,1682.3600000000001,1.1400000000000001,0.5005448401697642,0.10649211693992486,9.440790508858548e-05
2023-02-16,1542973,4569.180000000008,83292.20999999999,61.559999999999995,0.27227066114995324,0.1747490797035803,0.00016195466144910045,357.1299999999999,1716.2,1.17,0.386735050608588,0.09063926301346821,8.400302410886802e-05
2023-02-17,1542179,4342.399999999994,84090.67,62.3,0.26031813955581645,0.16035832719233545,0.00017041267501842367,388.28,1748.57,1.2,0.3231870189333273,0.07270526424229942,7.726383022561046e-05
2023-02-18,1541458,4165.180000000008,84787.01,63.04,0.23879398968195537,0.15332350582687762,0.0,417.73000000000025,1776.8,1.23,0.2645568376020367,0.0619778325712783,0.0
2023-02-19,1540823,3983.7600000000093,85425.62999999999,63.04,0.07945488199041105,0.05476233508042728,0.00018073377914332118,442.6399999999999,1802.69,1.23,0.07945488199041024,0.05476233508042657,0.0001807337791433221
2023-02-20,1540622,3910.320000000007,85643.79,63.76,0.34787760175893223,0.2185601178420175,0.0,434.4799999999998,1826.93,1.31,0.34787760175893784,0.21856011784201823,0.0
