,22D_origin,22D_Predicted
2023-02-19,62.639996,59.716103
2023-02-20,33.84,31.298328
2023-02-21,68.4,64.88777
2023-02-22,69.840004,69.750656
2023-02-23,64.799995,60.709877
2023-02-24,59.760002,58.156715
2023-02-25,55.44,52.76584
2023-02-26,52.559998,51.611515
2023-02-27,18.76,13.969847
2023-02-28,39.53,40.80224
2023-03-01,70.35,64.02178
2023-03-02,39.53,38.8584
2023-03-03,57.620003,51.96347
2023-03-04,52.93,48.700695
2023-03-05,43.55,39.788013
2023-03-06,0.0,0.8284126
2023-03-07,110.55,97.63821
2023-03-08,72.36,73.125755
2023-03-09,66.33,61.60554
2023-03-10,59.629997,59.11783
2023-03-11,73.03,70.40066
2023-03-12,70.35,65.04058
2023-03-13,26.32,22.69156
2023-03-14,71.119995,70.876396
2023-03-15,70.0,65.66115
2023-03-16,48.16,47.18628
2023-03-17,48.16,47.494537
2023-03-18,61.04,56.812954
2023-03-19,55.44,53.674435
2023-03-20,16.8,14.489159
2023-03-21,85.119995,79.68092
2023-03-22,76.72,76.836044
2023-03-23,67.76,65.824425
2023-03-24,78.96,72.92772
2023-03-25,63.280003,62.478416
2023-03-26,61.6,60.528908
2023-03-27,25.74,22.114162
2023-03-28,62.79,61.36791
2023-03-29,57.72,54.730618
2023-03-30,47.19,42.54712
2023-03-31,53.82,48.59949
2023-04-01,42.9,42.427532
2023-04-02,50.7,49.840775
2023-04-03,17.16,13.959268
2023-04-04,67.86,61.237514
2023-04-05,56.94,53.310722
2023-04-06,48.75,44.11982
2023-04-07,46.800003,44.3874
2023-04-08,43.29,40.46057
2023-04-09,38.61,33.505314
2023-04-10,8.58,10.431495
2023-04-11,34.84,39.045925
2023-04-12,34.32,31.907766
2023-04-13,24.960001,25.290886
2023-04-14,26.26,27.8013
2023-04-15,30.16,26.891418
2023-04-16,28.34,31.031494
2023-04-17,13.78,12.531775
2023-04-18,41.34,37.59501
2023-04-19,38.48,34.120934
2023-04-20,30.94,27.895588
2023-04-21,31.72,28.618837
2023-04-22,30.68,26.036303
2023-04-23,29.12,22.567596
2023-04-24,6.6499996,4.8985453
2023-04-25,26.599998,24.850348
2023-04-26,22.99,21.730587
2023-04-27,18.24,16.726006
2023-04-28,19.38,22.91736
2023-04-29,14.25,20.651266
2023-04-30,18.24,25.442839
2023-05-01,8.74,7.6875334
2023-05-02,23.560001,34.005802
2023-05-03,28.88,27.838326
2023-05-04,25.46,25.248302
