,Alpha_origin,Alpha_Predicted
2021-06-13,0.12,0.08272613
2021-06-14,0.12,0.089065745
2021-06-15,0.96,0.096117765
2021-06-16,0.48,0.08958138
2021-06-17,0.24,0.06982965
2021-06-18,0.12,0.050980236
2021-06-19,0.24,0.07179677
2021-06-20,0.35999998,0.069278784
2021-06-21,0.24,0.07182009
2021-06-22,0.71999997,0.06933055
2021-06-23,0.96,0.07983304
2021-06-24,0.12,0.088928126
2021-06-25,0.24,0.099426255
2021-06-26,0.24,0.11893146
2021-06-27,0.96,0.13560484
2021-06-28,0.0,0.15301307
2021-06-29,0.35999998,0.19840777
2021-06-30,0.35999998,0.19801994
2021-07-01,0.6,0.19257987
2021-07-02,0.24,0.1939737
2021-07-03,0.35999998,0.17910095
2021-07-04,0.48,0.16816315
2021-07-05,0.24,0.17751361
2021-07-06,0.3,0.17945993
2021-07-07,0.3,0.17129183
2021-07-08,0.3,0.15241821
2021-07-09,0.06,0.1365535
2021-07-10,0.0,0.11277618
2021-07-11,0.17999999,0.089593664
2021-07-12,0.35999998,0.07287647
2021-07-13,0.48,0.0582291
2021-07-14,0.35999998,0.03774884
2021-07-15,0.12,0.033556122
2021-07-16,0.42000002,0.028940251
2021-07-17,0.12,0.03384687
2021-07-18,0.3,0.01674859
2021-07-19,0.24,0.011970559
2021-07-20,0.39,0.013001139
2021-07-21,0.17999999,0.022861203
2021-07-22,0.3,0.036646307
2021-07-23,0.24,0.052390598
2021-07-24,0.17999999,0.07315378
2021-07-25,0.27,0.08716849
2021-07-26,0.15,0.11808204
2021-07-27,0.17999999,0.13513903
2021-07-28,0.33,0.15781227
2021-07-29,0.15,0.16025966
2021-07-30,0.12,0.15517813
2021-07-31,0.35999998,0.14634241
2021-08-01,0.27,0.13991538
2021-08-02,0.03,0.13619146
2021-08-03,0.07,0.12330085
2021-08-04,0.08,0.11273394
2021-08-05,0.15,0.11217795
2021-08-06,0.19999999,0.110230595
2021-08-07,0.17999999,0.10918915
2021-08-08,0.07,0.09650936
2021-08-09,0.01,0.09965583
2021-08-10,0.04,0.10582212
2021-08-11,0.08,0.11008362
2021-08-12,0.11,0.103724495
2021-08-13,0.07,0.09863245
2021-08-14,0.099999994,0.09189561
2021-08-15,0.049999997,0.08257823
