,23A_origin,23A_Predicted
2023-02-19,6.96,3.9963477
2023-02-20,3.7600002,4.501051
2023-02-21,7.6,7.0762677
2023-02-22,7.76,6.969483
2023-02-23,7.2000003,7.143546
2023-02-24,6.64,7.453183
2023-02-25,6.16,7.9498224
2023-02-26,5.8399997,8.595425
2023-02-27,4.2,9.289997
2023-02-28,8.85,10.775147
2023-03-01,15.75,10.598953
2023-03-02,8.85,11.094642
2023-03-03,12.9,8.739779
2023-03-04,11.849999,7.525271
2023-03-05,9.75,6.173756
2023-03-06,0.0,7.7929397
2023-03-07,24.75,21.667538
2023-03-08,16.2,16.971628
2023-03-09,14.85,13.983
2023-03-10,13.35,14.8788185
2023-03-11,16.35,15.406992
2023-03-12,15.75,15.763169
2023-03-13,13.629999,13.740602
2023-03-14,36.829998,36.18172
2023-03-15,36.25,32.603878
2023-03-16,24.939999,25.673615
2023-03-17,24.939999,28.753971
2023-03-18,31.61,29.088453
2023-03-19,28.710001,26.160995
2023-03-20,8.7,8.58065
2023-03-21,44.08,44.30507
2023-03-22,39.73,42.359898
2023-03-23,35.09,35.688393
2023-03-24,40.89,35.878017
2023-03-25,32.77,33.783646
2023-03-26,31.899998,31.918098
2023-03-27,30.36,29.932095
2023-03-28,74.06,73.846825
2023-03-29,68.08,67.520004
2023-03-30,55.659996,55.55669
2023-03-31,63.48,58.715855
2023-04-01,50.600002,55.6745
2023-04-02,59.8,56.79685
2023-04-03,20.24,20.09073
2023-04-04,80.04,79.21197
2023-04-05,67.16,68.84742
2023-04-06,57.500004,56.34843
2023-04-07,55.199997,54.946007
2023-04-08,51.06,50.626385
2023-04-09,45.539997,47.085556
2023-04-10,18.480001,18.52754
2023-04-11,75.04,74.492744
2023-04-12,73.920006,70.70144
2023-04-13,53.76,55.479477
2023-04-14,56.559998,62.630894
2023-04-15,64.96,61.96012
2023-04-16,61.04,59.96061
2023-04-17,29.68,29.389297
2023-04-18,89.04,88.92742
2023-04-19,82.880005,79.94339
2023-04-20,66.64,63.17249
2023-04-21,68.32,65.715485
2023-04-22,66.079994,62.513485
2023-04-23,62.719997,59.01614
2023-04-24,22.4,28.076954
2023-04-25,89.6,83.86598
2023-04-26,77.44,69.86604
2023-04-27,61.44,55.638447
2023-04-28,65.28,60.004944
2023-04-29,48.0,57.45321
2023-04-30,61.44,55.011322
2023-05-01,29.44,41.132416
2023-05-02,79.36,62.956367
2023-05-03,97.28,81.74593
2023-05-04,85.759995,67.571526
