,Delta_origin,Delta_Predicted
2021-06-13,1.12,0.33927393
2021-06-14,1.82,0.35203212
2021-06-15,0.42000002,0.35158777
2021-06-16,0.97999996,0.83771855
2021-06-17,0.7,0.59904313
2021-06-18,1.96,0.6335802
2021-06-19,1.54,0.6225118
2021-06-20,1.54,0.7075866
2021-06-21,5.07,0.7736786
2021-06-22,4.29,1.0532777
2021-06-23,7.02,3.8566394
2021-06-24,8.97,4.723798
2021-06-25,6.63,4.191839
2021-06-26,4.68,4.734603
2021-06-27,5.46,4.7270904
2021-06-28,3.8999999,5.121582
2021-06-29,5.8500004,4.817312
2021-06-30,6.63,5.762142
2021-07-01,3.8999999,6.0576825
2021-07-02,5.07,6.4809294
2021-07-03,3.8999999,6.604514
2021-07-04,5.8500004,6.8955936
2021-07-05,12.98,7.157461
2021-07-06,11.21,7.539268
2021-07-07,8.849999,8.013712
2021-07-08,5.9,8.6753235
2021-07-09,10.03,9.514078
2021-07-10,21.240002,10.067667
2021-07-11,39.53,10.58963
2021-07-12,23.6,10.932103
2021-07-13,30.090002,10.826216
2021-07-14,52.51,10.496771
2021-07-15,51.92,10.281457
2021-07-16,47.2,10.076221
2021-07-17,52.51,9.925376
2021-07-18,58.41,9.898979
2021-07-19,56.980003,10.033201
2021-07-20,43.89,10.3427925
2021-07-21,68.53,11.094584
2021-07-22,70.07,11.996124
2021-07-23,71.61,13.038293
2021-07-24,85.47,14.105386
2021-07-25,91.630005,15.195082
2021-07-26,60.06,16.24981
2021-07-27,67.76,17.204107
2021-07-28,75.46,18.069967
2021-07-29,69.3,18.725462
2021-07-30,76.23,19.275373
2021-07-31,76.23,19.78051
2021-08-01,64.68,20.232597
2021-08-02,79.799995,20.655197
2021-08-03,68.399994,21.06534
2021-08-04,108.3,21.439547
2021-08-05,77.9,21.765553
2021-08-06,93.1,22.01506
2021-08-07,124.450005,22.159502
2021-08-08,112.1,22.24403
2021-08-09,83.6,22.285131
2021-08-10,104.5,22.319502
2021-08-11,133.95,22.34297
2021-08-12,104.5,22.358852
2021-08-13,118.75,22.369926
2021-08-14,97.85,22.377735
2021-08-15,88.350006,22.382114
