,Infected,predicted_Infected
2021-01-02,82,83.41463414634147
2021-01-03,90,76.53333333333333
2021-01-04,84,88.92857142857143
2021-01-05,83,72.86746987951807
2021-01-06,72,81.84722222222223
2021-01-07,71,66.92957746478874
2021-01-08,66,69.92424242424242
2021-01-09,65,64.98461538461538
2021-01-10,64,60.9375
2021-01-11,60,61.86666666666666
2021-01-12,58,58.96551724137932
2021-01-13,57,59.017543859649116
2021-01-14,58,63.87931034482758
2021-01-15,65,59.78461538461538
2021-01-16,67,67.91044776119402
2021-01-17,70,67.95714285714287
2021-01-18,71,71.97183098591549
2021-01-19,73,78.78082191780823
2021-01-20,81,84.71604938271605
2021-01-21,94,87.03191489361701
2021-01-22,101,98.65346534653463
2021-01-23,106,98.14150943396227
2021-01-24,103,106.0
2021-01-25,103,110.0
2021-01-26,110,114.23636363636362
2021-01-27,122,111.80327868852461
2021-01-28,124,114.12903225806451
2021-01-29,116,111.17241379310344
2021-01-30,104,100.38461538461539
2021-01-31,90,100.53333333333333
2021-02-01,87,86.89655172413794
2021-02-02,84,83.89285714285714
2021-02-03,81,71.55555555555554
2021-02-04,69,72.78260869565217
2021-02-05,62,58.983870967741936
2021-02-06,53,65.50943396226415
2021-02-07,56,50.16071428571429
2021-02-08,53,46.49056603773585
2021-02-09,44,40.95454545454545
2021-02-10,34,33.64705882352941
2021-02-11,26,32.692307692307686
2021-02-12,25,24.96
2021-02-13,24,26.041666666666668
2021-02-14,25,27.839999999999996
2021-02-15,29,24.137931034482758
2021-02-16,28,38.32142857142857
2021-02-17,37,29.513513513513516
2021-02-18,39,46.48717948717949
2021-02-19,49,46.16326530612245
2021-02-20,58,52.379310344827594
2021-02-21,62,60.806451612903224
2021-02-22,65,67.72307692307692
2021-02-23,71,64.08450704225352
2021-02-24,70,66.98309085425734
2021-02-25,81,70.58259159756587
2021-02-26,82,71.70746678156618
2021-02-27,87,77.6275899308579
2021-02-28,85,80.43998216931297
2021-03-01,82,80.28231617974096
2021-03-02,87,83.63607661084653
2021-03-03,75,74.13549139144045
2021-03-04,72,75.67973110555938
2021-03-05,62,70.30751294078644
2021-03-06,55,64.20481258622578
2021-03-07,53,59.2245095864094
2021-03-08,56,61.302898461426466
