기간,관내 서울,관내 부산,관내 대구,관내 인천,관내 광주,관내 대전,관내 울산,관내 세종,관내 경기,관내 강원,관내 충북,관내 충남,관내 전북,관내 전남,관내 경북,관내 경남,관내 제주
'21.03 3주차,13788048,5126744,3578328,4224227,2304464,2172621,1763763,402785,17709635,2426933,2210684,2982738,2896591,2673407,3965648,4924394,1141730
'21.03 4주차,13695382,5153363,3574195,4190330,2270968,2156041,1772359,402217,17593772,2407780,2201764,2968881,2867239,2680444,3972343,4958121,1151296
'21.04 1주차,13939946,5170823,3605534,4265630,2294301,2178497,1791794,406696,17924344,2475568,2241385,3025823,2911395,2710556,4019122,5031987,1155582
'21.04 2주차,14034633,5213500,3649741,4301530,2328231,2177185,1818556,413489,18104612,2544242,2285003,3074363,2922962,2765668,4092351,5138935,1189568
'21.04 3주차,13877185,5157595,3619524,4256818,2317248,2153780,1778301,412690,17859163,2515911,2247650,3026941,2881910,2729379,4053758,5102110,1175805
'21.04 4주차,13893758,5064201,3601019,4263441,2323483,2167198,1736558,414006,17887436,2511103,2253266,3037210,2924293,2743938,4041063,5049313,1186361
'21.04 5주차,13840947,5067638,3598274,4251337,2312904,2175444,1722373,411692,17823688,2489326,2247577,3022004,2929965,2729307,4020886,5064563,1172236
'21.05 1주차,13831893,5110430,3614785,4261165,2299099,2181016,1727016,406929,17828261,2523935,2262014,3030210,2951014,2723868,4048795,5089810,1180688
'21.05 2주차,13840735,5086003,3615474,4244771,2295891,2187376,1746828,411747,17858047,2505486,2257495,3029107,2938999,2685446,4024906,5083052,1134980
'21.05 3주차,13766257,5063401,3564411,4227334,2246130,2172570,1731923,409997,17801441,2445109,2239275,3006507,2899621,2657349,3970668,5059409,1143019
'21.05 4주차,13812584,5077370,3579101,4233276,2266118,2190497,1753496,412491,17823822,2431510,2254390,3015804,2923758,2702857,4010493,5071967,1153033
'21.06 1주차,14018322,5112723,3616988,4298897,2308063,2219061,1756159,420602,18133836,2521811,2290089,3076006,2970198,2757429,4076276,5098602,1169987
'21.06 2주차,13975047,5075190,3576262,4301727,2307442,2210861,1744349,419720,18104657,2540755,2284625,3072082,2962459,2750122,4062062,5040299,1157942
'21.06 3주차,13934975,5066374,3578806,4312407,2300624,2194179,1742899,417816,18054589,2515766,2282682,3047033,2949350,2734550,4054826,5036061,1158812
