stdDay,22D_origin,22D_Predicted
2023-02-19,470.87997,470.99393
2023-02-20,211.68001,213.5103
2023-02-21,590.4,590.51984
2023-02-22,688.32,687.45264
2023-02-23,529.92,531.25507
2023-02-24,444.24,445.98438
2023-02-25,504,504.0584
2023-02-26,396,399.92117
2023-02-27,186.93001,187.0674
2023-02-28,412.05,419.9776
2023-03-01,560.12,562.46436
2023-03-02,311.55,313.3117
2023-03-03,416.07,414.83597
2023-03-04,463.64,464.45956
2023-03-05,422.1,419.47803
2023-03-06,157.45,159.50966
2023-03-07,456.27002,452.59424
2023-03-08,467.65997,470.19336
2023-03-09,369.84,368.86444
2023-03-10,348.4,352.34128
2023-03-11,366.49,366.278
2023-03-12,306.19,308.95386
2023-03-13,109.76,110.17073
2023-03-14,264.88,266.32327
2023-03-15,327.6,330.95078
2023-03-16,235.20001,235.89075
2023-03-17,236.87999,240.57411
2023-03-18,231.84001,235.10185
2023-03-19,225.12001,221.74373
2023-03-20,0,3.0243719
2023-03-21,360.08,354.9363
2023-03-22,298.48,300.3364
2023-03-23,296.24,295.25055
2023-03-24,210.56001,208.9686
2023-03-25,214.48,214.87914
2023-03-26,218.95999,214.70071
2023-03-27,60.059998,52.925297
2023-03-28,180.56999,181.49985
2023-03-29,194.21999,200.43652
2023-03-30,134.55,137.29292
2023-03-31,131.04001,129.50494
2023-04-01,137.67,139.011
2023-04-02,106.86,120.916534
2023-04-03,58.5,41.019764
2023-04-04,178.62001,171.59853
2023-04-05,178.23,177.34766
2023-04-06,170.43,151.5733
2023-04-07,121.67999,125.16246
2023-04-08,147.03,143.71312
2023-04-09,127.14001,125.12144
2023-04-10,32.5,36.451622
2023-04-11,100.1,118.598885
2023-04-12,113.36,138.84302
2023-04-13,102.7,118.80482
2023-04-14,98.020004,104.033066
2023-04-15,100.880005,118.22011
2023-04-16,89.18,104.16452
2023-04-17,31.460001,41.6432
2023-04-18,121.42,117.63467
2023-04-19,146.64,137.29129
2023-04-20,126.09999,119.218346
2023-04-21,130,115.26459
2023-04-22,131.04001,117.710976
2023-04-23,122.2,114.35225
2023-04-24,31.73,31.567827
2023-04-25,108.68,110.74018
2023-04-26,118.939995,117.23961
2023-04-27,108.68,111.80616
2023-04-28,106.4,90.79617
2023-04-29,131.86,111.24818
2023-04-30,107.92,99.52084
2023-05-01,32.68,51.730244
2023-05-02,126.35,110.83788
2023-05-03,166.25,116.78113
2023-05-04,171.19,105.05457
