stdDay,22D_origin,22D_Predicted
2023-02-19,406.80002,404.03677
2023-02-20,162.72,155.78316
2023-02-21,406.80002,404.23413
2023-02-22,433.44,425.93936
2023-02-23,366.48,366.86478
2023-02-24,401.04,395.0802
2023-02-25,362.88,358.9623
2023-02-26,255.6,257.80762
2023-02-27,161.46999,158.10678
2023-02-28,339.69,339.29495
2023-03-01,362.47,358.30087
2023-03-02,227.12999,225.12007
2023-03-03,290.78,287.7564
2023-03-04,337.01,329.06915
2023-03-05,343.71,334.43533
2023-03-06,0,5.3234363
2023-03-07,429.47,417.92685
2023-03-08,377.88,373.37314
2023-03-09,314.22998,308.26047
2023-03-10,274.03,269.36627
2023-03-11,278.05,269.82794
2023-03-12,240.53001,238.31178
2023-03-13,119.840004,112.09036
2023-03-14,289.52002,285.61523
2023-03-15,239.12,242.315
2023-03-16,216.16,212.19058
2023-03-17,221.2,222.89821
2023-03-18,211.68001,212.61116
2023-03-19,240.23999,235.87616
2023-03-20,62.72,60.28092
2023-03-21,299.6,290.4636
2023-03-22,280,274.61154
2023-03-23,223.44,222.12372
2023-03-24,224,216.9481
2023-03-25,197.12,193.05507
2023-03-26,205.52,201.2027
2023-03-27,44.85,41.26424
2023-03-28,173.55,173.2554
2023-03-29,162.24,165.82494
2023-03-30,144.69,141.70432
2023-03-31,144.3,140.73935
2023-04-01,145.08,145.45753
2023-04-02,141.95999,138.89302
2023-04-03,56.160004,48.04505
2023-04-04,160.29001,158.29639
2023-04-05,193.44,181.4281
2023-04-06,145.47,134.4118
2023-04-07,131.43001,127.46869
2023-04-08,122.06999,121.065544
2023-04-09,125.58,118.25585
2023-04-10,23.4,27.942005
2023-04-11,98.02,102.761894
2023-04-12,104.78,97.58756
2023-04-13,88.4,87.215485
2023-04-14,85.28,86.43967
2023-04-15,91.26,92.654396
2023-04-16,74.88,78.36451
2023-04-17,25.740002,34.115833
2023-04-18,113.09999,106.15813
2023-04-19,133.38,121.74005
2023-04-20,103.74,89.88415
2023-04-21,114.920006,96.493126
2023-04-22,128.44,110.4708
2023-04-23,86.840004,85.682785
2023-04-24,31.92,27.928444
2023-04-25,81.51,79.77607
2023-04-26,81.51,80.34033
2023-04-27,75.24,72.49558
2023-04-28,72.01,69.43854
2023-04-29,85.88,74.96534
2023-04-30,75.24,76.66362
2023-05-01,23.18,30.90998
2023-05-02,91.200005,88.305244
2023-05-03,88.16,82.97516
2023-05-04,111.340004,76.60932
