stdDay,incDec,22D_variants,23A_variants
2023-04-24,167.0,31.73,106.88
2023-04-25,572.0,108.68,366.08
2023-04-26,626.0,118.94,400.64
2023-04-27,572.0,108.68,366.08
2023-04-28,560.0,106.4,358.40000000000003
2023-04-29,694.0,131.86,444.16
2023-04-30,568.0,107.92,363.52
2023-05-01,172.0,32.68,110.08
2023-05-02,665.0,126.35000000000001,425.6
2023-05-03,875.0,166.25,560.0
2023-05-04,901.0,171.19,576.64
