stdDay,incDec,22D_variants,23A_variants
2022-12-19,8035,3856.7999999999997,80.35000000000001
2022-12-20,24630,11822.4,246.3
2022-12-21,23742,11396.16,237.42000000000002
2022-12-22,20927,10044.96,209.27
2022-12-23,18800,9024.0,188.0
2022-12-24,18522,8890.56,185.22
2022-12-25,16445,7893.599999999999,164.45000000000002
2022-12-26,7746,3718.08,77.46000000000001
2022-12-27,24362,11693.76,243.62
2022-12-28,24122,11578.56,241.22
2022-12-29,19657,9435.359999999999,196.57
2022-12-30,17945,8613.6,179.45000000000002
2022-12-31,16748,8039.04,167.48
2023-01-01,15639,7506.719999999999,156.39000000000001
2023-01-02,6665,3799.0499999999997,66.65
2023-01-03,22381,12757.169999999998,223.81
2023-01-04,20975,11955.749999999998,209.75
2023-01-05,17060,9724.199999999999,170.6
2023-01-06,15403,8779.71,154.03
2023-01-07,14444,8233.08,144.44
2023-01-08,12298,7009.86,122.98
2023-01-09,5855,3337.35,58.550000000000004
2023-01-10,16108,9181.56,161.08
2023-01-11,14391,8202.869999999999,143.91
2023-01-12,11606,6615.419999999999,116.06
2023-01-13,10300,5870.999999999999,103.0
2023-01-14,9594,5468.58,95.94
2023-01-15,8235,4693.95,82.35000000000001
2023-01-16,3993,2795.1,39.93
2023-01-17,10569,7398.299999999999,105.69
2023-01-18,9837,6885.9,98.37
2023-01-19,7939,5557.299999999999,79.39
2023-01-20,7107,4974.9,71.07000000000001
2023-01-21,7120,4984.0,71.2
2023-01-22,4145,2901.5,41.45
2023-01-23,2356,1649.1999999999998,23.56
2023-01-24,3281,2296.7,32.81
2023-01-25,5194,3635.7999999999997,51.94
2023-01-26,9314,6519.799999999999,93.14
2023-01-27,7836,5485.2,78.36
2023-01-28,5674,3971.7999999999997,56.74
2023-01-29,4447,3112.8999999999996,44.47
2023-01-30,1929,1427.46,57.87
2023-01-31,4737,3505.38,142.10999999999999
2023-02-01,4735,3503.9,142.04999999999998
2023-02-02,4091,3027.34,122.72999999999999
2023-02-03,3567,2639.58,107.00999999999999
2023-02-04,3435,2541.9,103.05
2023-02-05,3120,2308.8,93.6
2023-02-06,1545,1143.3,46.35
2023-02-07,3853,2851.22,115.58999999999999
2023-02-08,4253,3147.22,127.58999999999999
2023-02-09,3463,2562.62,103.89
2023-02-10,3128,2314.72,93.84
2023-02-11,2780,2057.2,83.39999999999999
2023-02-12,2679,1982.46,80.36999999999999
2023-02-13,1285,925.1999999999999,102.8
2023-02-14,3452,2485.44,276.16
2023-02-15,3360,2419.2,268.8
2023-02-16,2935,2113.2,234.8
2023-02-17,2763,1989.36,221.04
2023-02-18,2602,1873.4399999999998,208.16
2023-02-19,2489,1792.08,199.12
2023-02-20,1197,861.8399999999999,95.76
2023-02-21,3160,2275.2,252.8
2023-02-22,3302,2377.44,264.16
2023-02-23,2793,2010.96,223.44
2023-02-24,2487,1790.6399999999999,198.96
