stdDay,incDec,22D_variants,23A_variants
2022-12-19,4191.0,2011.6799999999998,41.910000000000004
2022-12-20,18223.0,8747.039999999999,182.23
2022-12-21,15564.0,7470.719999999999,155.64000000000001
2022-12-22,13946.0,6694.08,139.46
2022-12-23,12414.0,5958.719999999999,124.14
2022-12-24,12032.0,5775.36,120.32000000000001
2022-12-25,10508.0,5043.84,105.08
2022-12-26,3585.0,1720.8,35.85
2022-12-27,18725.0,8988.0,187.25
2022-12-28,15783.0,7575.84,157.83
2022-12-29,13396.0,6430.08,133.96
2022-12-30,11668.0,5600.639999999999,116.68
2022-12-31,11552.0,5544.96,115.52
2023-01-01,9990.0,4795.2,99.9
2023-01-02,3304.0,1883.2799999999997,33.04
2023-01-03,16966.0,9670.619999999999,169.66
2023-01-04,13915.0,7931.549999999999,139.15
2023-01-05,11510.0,6560.7,115.10000000000001
2023-01-06,10411.0,5934.2699999999995,104.11
2023-01-07,9897.0,5641.29,98.97
2023-01-08,7824.0,4459.679999999999,78.24
2023-01-09,2850.0,1624.4999999999998,28.5
2023-01-10,12140.0,6919.799999999999,121.4
2023-01-11,9534.0,5434.379999999999,95.34
2023-01-12,7948.0,4530.36,79.48
2023-01-13,7203.0,4105.71,72.03
2023-01-14,6607.0,3765.99,66.07000000000001
2023-01-15,5749.0,3276.93,57.49
2023-01-16,2139.0,1497.3,21.39
2023-01-17,8550.0,5985.0,85.5
2023-01-18,6637.0,4645.9,66.37
2023-01-19,5501.0,3850.7,55.01
2023-01-20,5016.0,3511.2,50.160000000000004
2023-01-21,5139.0,3597.2999999999997,51.39
2023-01-22,2315.0,1620.5,23.150000000000002
2023-01-23,1439.0,1007.3,14.39
2023-01-24,2127.0,1488.8999999999999,21.27
2023-01-25,3187.0,2230.8999999999996,31.87
2023-01-26,6815.0,4770.5,68.15
2023-01-27,5081.0,3556.7,50.81
2023-01-28,4042.0,2829.3999999999996,40.42
2023-01-29,2924.0,2046.8,29.240000000000002
2023-01-30,922.0,682.28,27.66
2023-01-31,3696.0,2735.04,110.88
2023-02-01,3276.0,2424.24,98.28
2023-02-02,2884.0,2134.16,86.52
2023-02-03,2551.0,1887.74,76.53
2023-02-04,2428.0,1796.72,72.84
2023-02-05,2299.0,1701.26,68.97
2023-02-06,815.0,603.1,24.45
2023-02-07,3046.0,2254.04,91.38
2023-02-08,2904.0,2148.96,87.11999999999999
2023-02-09,2460.0,1820.4,73.8
2023-02-10,2370.0,1753.8,71.1
2023-02-11,2248.0,1663.52,67.44
2023-02-12,2126.0,1573.24,63.78
2023-02-13,746.0,537.12,59.68
2023-02-14,2703.0,1946.1599999999999,216.24
2023-02-15,2570.0,1850.3999999999999,205.6
2023-02-16,2282.0,1643.04,182.56
2023-02-17,2097.0,1509.84,167.76
2023-02-18,1962.0,1412.6399999999999,156.96
2023-02-19,1906.0,1372.32,152.48
2023-02-20,704.0,506.88,56.32
2023-02-21,2503.0,1802.1599999999999,200.24
2023-02-22,2354.0,1694.8799999999999,188.32
2023-02-23,2116.0,1523.52,169.28
2023-02-24,1959.0,1410.48,156.72
2023-02-25,1911.0,1375.9199999999998,152.88
2023-02-26,1767.0,1272.24,141.36
2023-02-27,623.0,417.41,93.45
2023-02-28,2326.0,1558.42,348.9
2023-03-01,2301.0,1541.67,345.15
2023-03-02,1200.0,804.0,180.0
2023-03-03,2296.0,1538.3200000000002,344.4
2023-03-04,2143.0,1435.8100000000002,321.45
2023-03-05,2008.0,1345.3600000000001,301.2
2023-03-06,734.0,491.78000000000003,110.1
