stdDay,incDec,22D_variants,23A_variants
2022-12-19,1213.0,582.24,12.13
2022-12-20,6565.0,3151.2,65.65
2022-12-21,5500.0,2640.0,55.0
2022-12-22,5139.0,2466.72,51.39
2022-12-23,4733.0,2271.8399999999997,47.33
2022-12-24,4735.0,2272.7999999999997,47.35
2022-12-25,3991.0,1915.6799999999998,39.910000000000004
2022-12-26,1216.0,583.68,12.16
2022-12-27,6826.0,3276.48,68.26
2022-12-28,6143.0,2948.64,61.43
2022-12-29,4837.0,2321.7599999999998,48.370000000000005
2022-12-30,4804.0,2305.92,48.04
2022-12-31,4480.0,2150.4,44.800000000000004
2023-01-01,4064.0,1950.72,40.64
2023-01-02,1177.0,670.89,11.77
2023-01-03,6629.0,3778.5299999999997,66.29
2023-01-04,5370.0,3060.8999999999996,53.7
2023-01-05,4485.0,2556.45,44.85
2023-01-06,3954.0,2253.7799999999997,39.54
2023-01-07,3584.0,2042.8799999999999,35.84
2023-01-08,3038.0,1731.6599999999999,30.38
2023-01-09,929.0,529.53,9.290000000000001
2023-01-10,4697.0,2677.29,46.97
2023-01-11,3614.0,2059.98,36.14
2023-01-12,2854.0,1626.78,28.54
2023-01-13,2869.0,1635.33,28.69
2023-01-14,2404.0,1370.28,24.04
2023-01-15,2151.0,1226.07,21.51
2023-01-16,774.0,541.8,7.74
2023-01-17,2949.0,2064.2999999999997,29.490000000000002
2023-01-18,2417.0,1691.8999999999999,24.17
2023-01-19,1885.0,1319.5,18.85
2023-01-20,1824.0,1276.8,18.240000000000002
2023-01-21,1942.0,1359.3999999999999,19.42
2023-01-22,888.0,621.5999999999999,8.88
2023-01-23,581.0,406.7,5.8100000000000005
2023-01-24,793.0,555.0999999999999,7.930000000000001
2023-01-25,1379.0,965.3,13.790000000000001
2023-01-26,2697.0,1887.8999999999999,26.97
2023-01-27,2234.0,1563.8,22.34
2023-01-28,1635.0,1144.5,16.35
2023-01-29,1225.0,857.5,12.25
2023-01-30,409.0,302.65999999999997,12.27
2023-01-31,1611.0,1192.1399999999999,48.33
2023-02-01,1519.0,1124.06,45.57
2023-02-02,1202.0,889.48,36.059999999999995
2023-02-03,1146.0,848.04,34.379999999999995
2023-02-04,1042.0,771.08,31.259999999999998
2023-02-05,996.0,737.04,29.88
2023-02-06,337.0,249.38,10.11
2023-02-07,1398.0,1034.52,41.94
2023-02-08,1344.0,994.56,40.32
2023-02-09,1128.0,834.72,33.839999999999996
2023-02-10,1079.0,798.46,32.37
2023-02-11,941.0,696.34,28.23
2023-02-12,863.0,638.62,25.89
2023-02-13,303.0,218.16,24.240000000000002
2023-02-14,1187.0,854.64,94.96000000000001
2023-02-15,978.0,704.16,78.24
2023-02-16,915.0,658.8,73.2
2023-02-17,794.0,571.68,63.52
2023-02-18,721.0,519.12,57.68
2023-02-19,635.0,457.2,50.800000000000004
2023-02-20,201.0,144.72,16.080000000000002
2023-02-21,868.0,624.9599999999999,69.44
2023-02-22,802.0,577.4399999999999,64.16
2023-02-23,599.0,431.28,47.92
2023-02-24,667.0,480.24,53.36
2023-02-25,611.0,439.91999999999996,48.88
2023-02-26,538.0,387.36,43.04
2023-02-27,218.0,146.06,32.699999999999996
2023-02-28,734.0,491.78000000000003,110.1
2023-03-01,688.0,460.96000000000004,103.2
2023-03-02,429.0,287.43,64.35
2023-03-03,641.0,429.47,96.14999999999999
2023-03-04,624.0,418.08000000000004,93.6
2023-03-05,553.0,370.51000000000005,82.95
2023-03-06,174.0,116.58000000000001,26.099999999999998
2023-03-07,704.0,471.68,105.6
2023-03-08,685.0,458.95000000000005,102.75
2023-03-09,577.0,386.59000000000003,86.55
2023-03-10,532.0,356.44,79.8
2023-03-11,430.0,288.1,64.5
2023-03-12,438.0,293.46000000000004,65.7
2023-03-13,144.0,80.64000000000001,41.76
2023-03-14,540.0,302.40000000000003,156.6
2023-03-15,542.0,303.52000000000004,157.17999999999998
2023-03-16,437.0,244.72000000000003,126.72999999999999
2023-03-17,369.0,206.64000000000001,107.00999999999999
2023-03-18,328.0,183.68,95.11999999999999
2023-03-19,330.0,184.8,95.69999999999999
2023-03-20,82.0,45.92,23.779999999999998
2023-03-21,410.0,229.60000000000002,118.89999999999999
2023-03-22,427.0,239.12000000000003,123.83
2023-03-23,423.0,236.88000000000002,122.66999999999999
2023-03-24,313.0,175.28000000000003,90.77
2023-03-25,296.0,165.76000000000002,85.83999999999999
2023-03-26,278.0,155.68,80.61999999999999
2023-03-27,98.0,38.22,45.080000000000005
2023-03-28,396.0,154.44,182.16
2023-03-29,360.0,140.4,165.6
2023-03-30,311.0,121.29,143.06
2023-03-31,348.0,135.72,160.08
2023-04-01,236.0,92.04,108.56
2023-04-02,252.0,98.28,115.92
2023-04-03,107.0,41.730000000000004,49.22
2023-04-04,434.0,169.26000000000002,199.64000000000001
2023-04-05,410.0,159.9,188.6
2023-04-06,326.0,127.14,149.96
2023-04-07,310.0,120.9,142.6
2023-04-08,207.0,80.73,95.22
2023-04-09,258.0,100.62,118.68
2023-04-10,108.0,28.080000000000002,60.480000000000004
2023-04-11,378.0,98.28,211.68
2023-04-12,420.0,109.2,235.20000000000002
2023-04-13,359.0,93.34,201.04000000000002
2023-04-14,362.0,94.12,202.72000000000003
2023-04-15,299.0,77.74000000000001,167.44000000000003
2023-04-16,305.0,79.3,170.8
2023-04-17,125.0,32.5,70.0
2023-04-18,415.0,107.9,232.40000000000003
2023-04-19,437.0,113.62,244.72000000000003
2023-04-20,405.0,105.3,226.8
2023-04-21,384.0,99.84,215.04000000000002
2023-04-22,392.0,101.92,219.52
2023-04-23,368.0,95.68,206.08
2023-04-24,126.0,23.94,80.64
2023-04-25,486.0,92.34,311.04
2023-04-26,536.0,101.84,343.04
2023-04-27,487.0,92.53,311.68
2023-04-28,510.0,96.9,326.40000000000003
2023-04-29,558.0,106.02,357.12
2023-04-30,523.0,99.37,334.72
2023-05-01,184.0,34.96,117.76
2023-05-02,719.0,136.61,460.16
2023-05-03,759.0,144.21,485.76
2023-05-04,775.0,147.25,496.0
