stdDay,23A_origin,23A_Predicted
2023-02-19,21.76,25.663755
2023-02-20,10.88,11.206557
2023-02-21,22.32,23.908617
2023-02-22,32.559998,32.503452
2023-02-23,26.64,26.31051
2023-02-24,24.16,24.988657
2023-02-25,20.960001,25.310823
2023-02-26,24.800001,23.221502
2023-02-27,16.2,15.462829
2023-02-28,39.75,43.999615
2023-03-01,51.600002,50.926075
2023-03-02,35.55,38.153458
2023-03-03,37.35,40.29644
2023-03-04,46.95,45.74992
2023-03-05,40.2,39.808613
2023-03-06,14.1,19.39734
2023-03-07,44.399998,42.802795
2023-03-08,52.95,58.50423
2023-03-09,47.7,50.341267
2023-03-10,51,46.262196
2023-03-11,42.6,45.811428
2023-03-12,42.3,42.10834
2023-03-13,31.320002,33.77165
2023-03-14,77.43,77.78555
2023-03-15,102.37,100.49775
2023-03-16,77.72,80.35165
2023-03-17,67.57,70.56749
2023-03-18,82.65,84.49774
2023-03-19,71.34,73.62773
2023-03-20,39.149998,40.42155
2023-03-21,81.78,83.62098
2023-03-22,118.61,120.96505
2023-03-23,102.37,102.2506
2023-03-24,78.299995,81.718216
2023-03-25,83.229996,83.87657
2023-03-26,66.12,69.235664
2023-03-27,65.78,65.846146
2023-03-28,135.24,138.23048
2023-03-29,181.70001,183.56604
2023-03-30,149.95999,151.74991
2023-03-31,154.56,154.85612
2023-04-01,155.01999,156.72893
2023-04-02,154.1,154.05899
2023-04-03,71.76,73.486824
2023-04-04,185.37999,185.83134
2023-04-05,256.68,257.205
2023-04-06,196.41998,197.13734
2023-04-07,157.32,159.0483
2023-04-08,154.1,155.23383
2023-04-09,146.73999,147.1028
2023-04-10,80.64,81.81644
2023-04-11,179.76,180.85274
2023-04-12,254.79999,255.4862
2023-04-13,189.28,189.7074
2023-04-14,207.76,208.72726
2023-04-15,221.76,222.35303
2023-04-16,161.28,162.05377
2023-04-17,109.759995,110.582504
2023-04-18,216.72,217.21268
2023-04-19,314.72,315.23193
2023-04-20,242.48,243.48668
2023-04-21,238.56,239.07199
2023-04-22,239.68,240.39816
2023-04-23,198.23999,199.0277
2023-04-24,122.880005,123.349976
2023-04-25,260.47998,261.1609
2023-04-26,352.63998,353.26273
2023-04-27,262.4,262.94617
2023-04-28,260.47998,278.3731
2023-04-29,307.2,284.5901
2023-04-30,253.44,217.84995
2023-05-01,172.8,121.33283
2023-05-02,244.48,275.38855
2023-05-03,367.36,379.59543
2023-05-04,391.03998,273.86008
