,22D_origin,22D_Predicted
2023-02-19,382.31998,385.77106
2023-02-20,130.32,117.72035
2023-02-21,404.64,405.9828
2023-02-22,426.96,443.99893
2023-02-23,442.08,435.71625
2023-02-24,351.36002,352.72394
2023-02-25,300.96,304.27777
2023-02-26,334.8,337.0718
2023-02-27,123.28001,115.93587
2023-02-28,395.97,395.38046
2023-03-01,406.69,413.2114
2023-03-02,233.15999,225.56543
2023-03-03,388.59998,394.5652
2023-03-04,335.66998,337.53067
2023-03-05,339.69,339.01343
2023-03-06,0.0,-11.905718
2023-03-07,570.17,567.581
2023-03-08,424.78,429.3597
2023-03-09,430.13998,414.24722
2023-03-10,335.0,343.76782
2023-03-11,328.30002,333.68143
2023-03-12,353.09,355.776
2023-03-13,142.23999,132.38507
2023-03-14,361.75998,359.47278
2023-03-15,346.64,351.3297
2023-03-16,295.68,290.7661
2023-03-17,273.28,274.86954
2023-03-18,192.64,190.28517
2023-03-19,282.24,288.8969
2023-03-20,126.560005,125.0684
2023-03-21,400.4,397.8706
2023-03-22,418.88,422.1256
2023-03-23,349.44,340.9297
2023-03-24,333.75998,339.66776
2023-03-25,313.04,313.31403
2023-03-26,328.72,330.61667
2023-03-27,110.76,107.612656
2023-03-28,281.19,270.19617
2023-03-29,308.88,313.79874
2023-03-30,294.84,289.57785
2023-03-31,243.75,249.10318
2023-04-01,232.04999,230.79282
2023-04-02,258.57,262.2685
2023-04-03,99.060005,92.71771
2023-04-04,320.58002,319.32507
2023-04-05,369.72,372.71857
2023-04-06,303.03,299.35245
2023-04-07,291.72,299.6195
2023-04-08,250.37999,248.43593
2023-04-09,269.88,267.3769
2023-04-10,59.02,55.410652
2023-04-11,218.14,214.53954
2023-04-12,250.12,247.10248
2023-04-13,205.14,198.77682
2023-04-14,195.26,202.28804
2023-04-15,187.45999,186.44409
2023-04-16,192.92,197.96628
2023-04-17,81.12,79.59174
2023-04-18,278.72,275.13922
2023-04-19,281.58002,282.91656
2023-04-20,230.62,226.19855
2023-04-21,218.14,224.82915
2023-04-22,197.34,196.00334
2023-04-23,213.46,214.84267
2023-04-24,55.1,51.535152
2023-04-25,196.84001,193.59865
2023-04-26,199.69,203.35043
2023-04-27,183.73,180.7214
2023-04-28,175.94,193.16136
2023-04-29,194.18001,185.95168
2023-04-30,186.77,202.83385
2023-05-01,68.59,74.4127
2023-05-02,193.98999,223.93752
2023-05-03,242.82,227.81203
2023-05-04,232.56001,195.46509
