,23A_origin,23A_Predicted
2023-02-19,42.48,65.34345
2023-02-20,14.4800005,35.982372
2023-02-21,44.96,82.14802
2023-02-22,47.44,78.45297
2023-02-23,49.12,70.71698
2023-02-24,39.04,63.9658
2023-02-25,33.44,71.61806
2023-02-26,37.2,73.29721
2023-02-27,27.599998,39.684605
2023-02-28,88.65,87.42886
2023-03-01,91.049995,85.998276
2023-03-02,52.2,79.23325
2023-03-03,87.0,70.0895
2023-03-04,75.15,76.81649
2023-03-05,76.049995,82.00397
2023-03-06,0.0,43.522015
2023-03-07,127.65,107.55513
2023-03-08,95.1,106.41354
2023-03-09,96.299995,83.72356
2023-03-10,75.0,95.19476
2023-03-11,73.5,98.76797
2023-03-12,79.049995,108.10057
2023-03-13,73.66,32.668297
2023-03-14,187.34,157.11612
2023-03-15,179.51,130.0565
2023-03-16,153.12,115.30251
2023-03-17,141.51999,112.902985
2023-03-18,99.76,126.7118
2023-03-19,146.16,131.39969
2023-03-20,65.54,48.022797
2023-03-21,207.34999,216.89319
2023-03-22,216.92,180.60574
2023-03-23,180.95999,160.79932
2023-03-24,172.84,154.94267
2023-03-25,162.11,156.34001
2023-03-26,170.23,197.21227
2023-03-27,130.64,61.273506
2023-03-28,331.66,286.0701
2023-03-29,364.32,254.00067
2023-03-30,347.76,227.35574
2023-03-31,287.5,208.42276
2023-04-01,273.69998,234.83658
2023-04-02,304.98,273.15616
2023-04-03,116.840004,93.068344
2023-04-04,378.12,402.82986
2023-04-05,436.08002,381.85663
2023-04-06,357.42,357.9652
2023-04-07,344.08,301.91925
2023-04-08,295.32,333.168
2023-04-09,318.32,413.41135
2023-04-10,127.119995,140.59972
2023-04-11,469.84003,519.8924
2023-04-12,538.72003,525.64343
2023-04-13,441.84,482.9877
2023-04-14,420.56,395.9172
2023-04-15,403.76,445.3579
2023-04-16,415.52,520.23413
2023-04-17,174.72,193.2386
2023-04-18,600.32,613.29736
2023-04-19,606.48,651.165
2023-04-20,496.72003,588.97
2023-04-21,469.84003,491.5796
2023-04-22,425.04,534.7596
2023-04-23,459.75998,629.5625
2023-04-24,185.6,208.54344
2023-04-25,663.04004,710.203
2023-04-26,672.63995,719.28186
2023-04-27,618.88,674.37964
2023-04-28,592.63995,543.4542
2023-04-29,654.08,621.5308
2023-04-30,629.12,675.05756
2023-05-01,231.04,277.2825
2023-05-02,653.44,731.0181
2023-05-03,817.92,771.59766
2023-05-04,783.36005,699.50665
